# object name: SVM
-3.141593 -1.570796 1.000000
-2.879793 -1.570796 1.000000
-2.617994 -1.570796 1.000000
-2.356194 -1.570796 1.000000
-2.094395 -1.570796 1.000000
-1.832596 -1.570796 1.000000
-1.570796 -1.570796 1.000000
-1.308997 -1.570796 1.000000
-1.047198 -1.570796 1.000000
-0.785398 -1.570796 1.000000
-0.523599 -1.570796 1.000000
-0.261799 -1.570796 1.000000
0.000000 -1.570796 1.000000
0.261799 -1.570796 1.000000
0.523599 -1.570796 1.000000
0.785398 -1.570796 1.000000
1.047198 -1.570796 1.000000
1.308997 -1.570796 1.000000
1.570796 -1.570796 1.000000
1.832596 -1.570796 1.000000
2.094395 -1.570796 1.000000
2.356194 -1.570796 1.000000
2.617994 -1.570796 1.000000
2.879793 -1.570796 1.000000
3.141593 -1.570796 1.000000

-3.141593 -1.308997 1.000000
-2.879793 -1.308997 1.000000
-2.617994 -1.308997 1.000000
-2.356194 -1.308997 1.000000
-2.094395 -1.308997 1.000000
-1.832596 -1.308997 1.000000
-1.570796 -1.308997 1.000000
-1.308997 -1.308997 0.964371
-1.047198 -1.308997 0.932886
-0.785398 -1.308997 0.911447
-0.523599 -1.308997 0.900208
-0.261799 -1.308997 0.883475
0.000000 -1.308997 0.875817
0.261799 -1.308997 0.883475
0.523599 -1.308997 0.900208
0.785398 -1.308997 0.911447
1.047198 -1.308997 0.932886
1.308997 -1.308997 0.964371
1.570796 -1.308997 1.000000
1.832596 -1.308997 1.000000
2.094395 -1.308997 1.000000
2.356194 -1.308997 1.000000
2.617994 -1.308997 1.000000
2.879793 -1.308997 1.000000
3.141593 -1.308997 1.000000

-3.141593 -1.047198 1.000000
-2.879793 -1.047198 1.000000
-2.617994 -1.047198 1.000000
-2.356194 -1.047198 1.000000
-2.094395 -1.047198 1.000000
-1.832596 -1.047198 1.000000
-1.570796 -1.047198 1.000000
-1.308997 -1.047198 0.939583
-1.047198 -1.047198 0.885768
-0.785398 -1.047198 0.860177
-0.523599 -1.047198 0.832496
-0.261799 -1.047198 0.806838
0.000000 -1.047198 0.804233
0.261799 -1.047198 0.806838
0.523599 -1.047198 0.832496
0.785398 -1.047198 0.860177
1.047198 -1.047198 0.885768
1.308997 -1.047198 0.939583
1.570796 -1.047198 1.000000
1.832596 -1.047198 1.000000
2.094395 -1.047198 1.000000
2.356194 -1.047198 1.000000
2.617994 -1.047198 1.000000
2.879793 -1.047198 1.000000
3.141593 -1.047198 1.000000

-3.141593 -0.785398 0.988728
-2.879793 -0.785398 0.972393
-2.617994 -0.785398 0.992548
-2.356194 -0.785398 1.000000
-2.094395 -0.785398 1.000000
-1.832596 -0.785398 1.000000
-1.570796 -0.785398 1.000000
-1.308997 -0.785398 0.910891
-1.047198 -0.785398 0.846287
-0.785398 -0.785398 0.806090
-0.523599 -0.785398 0.763040
-0.261799 -0.785398 0.733129
0.000000 -0.785398 0.739130
0.261799 -0.785398 0.733129
0.523599 -0.785398 0.763040
0.785398 -0.785398 0.806090
1.047198 -0.785398 0.846287
1.308997 -0.785398 0.910891
1.570796 -0.785398 1.000000
1.832596 -0.785398 1.000000
2.094395 -0.785398 1.000000
2.356194 -0.785398 1.000000
2.617994 -0.785398 0.992548
2.879793 -0.785398 0.972393
3.141593 -0.785398 0.988728

-3.141593 -0.523599 0.973765
