#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS-RPU.46bd662e-534d-4e92-a802-86a723e35b28_Trajectory.txt
# RunID         : PySara
# ObjectID      : 46bd662e-534d-4e92-a802-86a723e35b28
# ObjectName    : ADCS-RPU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.496      0.000      0.000    0.00891   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      1.496      0.000      0.000    0.00890   24.79794           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.127        16077.753      1.496      0.000      0.000    0.00883   24.78942           -0.90655       83.67383         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.121        16084.790      1.496      0.000      0.000    0.00868   24.76956           -0.91187       83.66327         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.114        16091.821      1.496      0.000      0.000    0.00852   24.74772           -0.91732       83.65274         2.647e-05 
  2228.750          77.559     -8.412   -128.442            7.107        16098.845      1.496      0.000      0.000    0.00836   24.72533           -0.92291       83.64223         2.696e-05 
  2229.750          77.444     -8.405   -128.379            7.100        16105.863      1.496      0.000      0.000    0.00821   24.70239           -0.92862       83.63173         2.747e-05 
  2230.750          77.329     -8.398   -128.316            7.093        16112.874      1.496      0.000      0.000    0.00806   24.67888           -0.93448       83.62125         2.799e-05 
  2231.750          77.213     -8.391   -128.253            7.086        16119.878      1.496      0.000      0.000    0.00791   24.65479           -0.94047       83.61080         2.853e-05 
  2232.750          77.096     -8.384   -128.189            7.079        16126.876      1.496      0.000      0.000    0.00776   24.63010           -0.94661       83.60037         2.907e-05 
  2233.750          76.979     -8.377   -128.126            7.072        16133.866      1.496      0.000      0.000    0.00761   24.60480           -0.95289       83.58995         2.963e-05 
  2234.750          76.861     -8.370   -128.063            7.064        16140.849      1.496      0.000      0.000    0.00747   24.57888           -0.95932       83.57956         3.020e-05 
  2235.750          76.742     -8.362   -128.000            7.057        16147.825      1.496      0.000      0.000    0.00733   24.55233           -0.96590       83.56919         3.078e-05 
  2236.750          76.623     -8.355   -127.938            7.049        16154.793      1.496      0.000      0.000    0.00719   24.52512           -0.97263       83.55884         3.138e-05 
  2237.750          76.503     -8.348   -127.875            7.041        16161.754      1.496      0.000      0.000    0.00705   24.49724           -0.97952       83.54852         3.200e-05 
  2238.750          76.382     -8.341   -127.812            7.033        16168.707      1.496      0.000      0.000    0.00691   24.46869           -0.98656       83.53822         3.263e-05 
  2239.750          76.261     -8.334   -127.749            7.025        16175.652      1.496      0.000      0.000    0.00678   24.43943           -0.99377       83.52794         3.327e-05 
  2240.750          76.139     -8.327   -127.687            7.017        16182.590      1.496      0.000      0.000    0.00665   24.40946           -1.00115       83.51768         3.393e-05 
  2241.750          76.016     -8.320   -127.624            7.009        16189.519      1.496      0.000      0.000    0.00652   24.37875           -1.00869       83.50745         3.461e-05 
  2242.750          75.892     -8.313   -127.562            7.000        16196.440      1.496      0.000      0.000    0.00639   24.34730           -1.01641       83.49724         3.531e-05 
  2243.750          75.767     -8.306   -127.500            6.991        16203.352      1.496      0.000      0.000    0.00626   24.31508           -1.02430       83.48705         3.602e-05 
  2244.750          75.642     -8.299   -127.437            6.983        16210.256      1.496      0.000      0.000    0.00614   24.28207           -1.03236       83.47689         3.675e-05 
  2245.750          75.516     -8.292   -127.375            6.974        16217.152      1.496      0.000      0.000    0.00601   24.24826           -1.04061       83.46675         3.750e-05 
  2246.750          75.389     -8.285   -127.313            6.964        16224.038      1.496      0.000      0.000    0.00589   24.21362           -1.04905       83.45664         3.827e-05 
  2247.750          75.261     -8.278   -127.251            6.955        16230.915      1.496      0.000      0.000    0.00577   24.17814           -1.05767       83.44655         3.906e-05 
  2248.750          75.132     -8.270   -127.189            6.945        16237.784      1.496      0.000      0.000    0.00566   24.14179           -1.06649       83.43649         3.987e-05 
  2249.750          75.002     -8.263   -127.127            6.936        16244.642      1.496      0.000      0.000    0.00554   24.10456           -1.07550       83.42646         4.070e-05 
  2250.750          74.872     -8.256   -127.065            6.926        16251.492      1.496      0.000      0.000    0.00543   24.06642           -1.08471       83.41645         4.156e-05 
  2251.750          74.740     -8.249   -127.004            6.916        16258.331      1.496      0.000      0.000    0.00532   24.02735           -1.09413       83.40646         4.243e-05 
  2252.750          74.607     -8.242   -126.942            6.906        16265.161      1.496      0.000      0.000    0.00521   23.98733           -1.10375       83.39651         4.333e-05 
  2253.750          74.474     -8.235   -126.881            6.895        16271.980      1.496      0.000      0.000    0.00510   23.94635           -1.11359       83.38658         4.426e-05 
  2254.750          74.339     -8.228   -126.819            6.885        16278.790      1.496      0.000      0.000    0.00499   23.90428           -1.12364       83.37667         4.521e-05 
  2255.750          74.204     -8.221   -126.758            6.873        16285.588      1.496      0.000      0.000    0.00488   23.86006           -1.13392       83.36680         4.619e-05 
  2256.750          74.067     -8.214   -126.697            6.861        16292.375      1.496      0.000      0.000    0.00478   23.81336           -1.14444       83.35695         4.719e-05 
  2257.750          73.930     -8.207   -126.636            6.849        16299.151      1.496      0.000      0.000    0.00468   23.76403           -1.15521       83.34714         4.822e-05 
  2258.750          73.791     -8.200   -126.575            6.836        16305.913      1.496      0.000      0.000    0.00458   23.71184           -1.16625       83.33736         4.928e-05 
  2259.750          73.652     -8.192   -126.514            6.822        16312.663      1.496      0.000      0.000    0.00448   23.65658           -1.17757       83.32761         5.037e-05 
  2260.750          73.511     -8.185   -126.453            6.807        16319.398      1.496      0.000      0.000    0.00438   23.59799           -1.18919       83.31790         5.149e-05 
  2261.750          73.369     -8.178   -126.393            6.791        16326.118      1.496      0.000      0.000    0.00428   23.53578           -1.20113       83.30823         5.264e-05 
  2262.750          73.226     -8.171   -126.332            6.774        16332.822      1.496      0.000      0.000    0.00419   23.46964           -1.21341       83.29860         5.383e-05 
  2263.750          73.082     -8.164   -126.272            6.756        16339.509      1.496      0.000      0.000    0.00410   23.39919           -1.22606       83.28902         5.504e-05 
  2264.750          72.937     -8.157   -126.212            6.737        16346.178      1.496      0.000      0.000    0.00401   23.32400           -1.23910       83.27947         5.630e-05 
  2265.750          72.791     -8.150   -126.152            6.716        16352.827      1.496      0.000      0.000    0.00392   23.24361           -1.25256       83.26998         5.758e-05 
  2266.750          72.643     -8.143   -126.092            6.694        16359.454      1.496      0.000      0.000    0.00383   23.15743           -1.26647       83.26054         5.891e-05 
  2267.453          72.539     -8.138   -126.050            6.677        16364.102      1.496      0.000      0.000    0.00377   23.08919           -1.27656       83.25393         5.991e-05 
  2268.453          72.390     -8.131   -125.991            6.651        16370.690      1.496      0.000      0.000    0.00370   22.99509           -1.29134       83.24458         6.095e-05 
  2269.453          72.239     -8.124   -125.932            6.624        16377.252      1.496      0.000      0.000    0.00362   22.89024           -1.30668       83.23530         6.237e-05 
  2270.453          72.088     -8.117   -125.873            6.594        16383.785      1.496      0.000      0.000    0.00353   22.77642           -1.32265       83.22608         6.383e-05 
  2271.453          71.935     -8.110   -125.814            6.561        16390.287      1.496      0.000      0.000    0.00345   22.65252           -1.33929       83.21694         6.534e-05 
  2272.453          71.781     -8.103   -125.756            6.525        16396.756      1.496      0.000      0.000    0.00337   22.51703           -1.35668       83.20788         6.689e-05 
