#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATRFU2.47f10662-ff1d-49f1-a914-6c3ea10deb35_Trajectory.txt
# RunID         : PySara
# ObjectID      : 47f10662-ff1d-49f1-a914-6c3ea10deb35
# ObjectName    : ASCATRFU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.178      0.000      0.000    0.01259   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.129        16074.585      1.178      0.000      0.000    0.01257   24.79674           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.125        16077.753      1.178      0.000      0.000    0.01247   24.78263           -0.90656       83.67382         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.114        16084.786      1.178      0.000      0.000    0.01226   24.74984           -0.91195       83.66325         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.104        16091.808      1.178      0.000      0.000    0.01204   24.71394           -0.91756       83.65271         2.647e-05 
  2228.750          77.559     -8.412   -128.443            7.093        16098.821      1.178      0.000      0.000    0.01182   24.67730           -0.92337       83.64219         2.696e-05 
  2229.750          77.445     -8.405   -128.379            7.082        16105.822      1.177      0.000      0.000    0.01160   24.63992           -0.92940       83.63170         2.747e-05 
  2230.750          77.330     -8.398   -128.316            7.071        16112.813      1.177      0.000      0.000    0.01138   24.60177           -0.93565       83.62124         2.799e-05 
  2231.750          77.214     -8.391   -128.253            7.059        16119.792      1.177      0.000      0.000    0.01117   24.56284           -0.94213       83.61081         2.852e-05 
  2232.750          77.098     -8.384   -128.191            7.048        16126.761      1.177      0.000      0.000    0.01096   24.52312           -0.94883       83.60040         2.906e-05 
  2233.750          76.980     -8.377   -128.128            7.036        16133.718      1.177      0.000      0.000    0.01076   24.48259           -0.95577       83.59002         2.962e-05 
  2234.750          76.863     -8.370   -128.065            7.024        16140.664      1.177      0.000      0.000    0.01055   24.44123           -0.96294       83.57967         3.019e-05 
  2235.750          76.744     -8.363   -128.003            7.012        16147.598      1.177      0.000      0.000    0.01035   24.39904           -0.97035       83.56935         3.078e-05 
  2236.750          76.625     -8.356   -127.940            7.000        16154.520      1.177      0.000      0.000    0.01015   24.35598           -0.97801       83.55905         3.137e-05 
  2237.750          76.505     -8.349   -127.878            6.988        16161.430      1.177      0.000      0.000    0.00996   24.31204           -0.98592       83.54879         3.199e-05 
  2238.750          76.385     -8.342   -127.816            6.975        16168.328      1.177      0.000      0.000    0.00977   24.26720           -0.99408       83.53856         3.262e-05 
