#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.CentCone.803466b8-4d34-45ca-a949-95be2cbeeca4_Trajectory.txt
# RunID         : PySara
# ObjectID      : 803466b8-4d34-45ca-a949-95be2cbeeca4
# ObjectName    : CentCone
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      1.132      0.000      0.000    0.02288   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      1.132      0.000      0.000    0.02286   24.79148           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.329        14842.764      1.131      0.000      0.000    0.02277   24.79224           -0.50527       85.64399         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.328        14849.987      1.130      0.000      0.000    0.02255   24.79396           -0.50645       85.63184         2.562e-06 
  2055.650          92.094     -9.466   -139.683            7.326        14857.209      1.129      0.000      0.000    0.02232   24.79579           -0.50767       85.61970         2.588e-06 
  2056.650          92.030     -9.461   -139.618            7.325        14864.429      1.128      0.000      0.000    0.02209   24.79759           -0.50891       85.60757         2.615e-06 
  2057.650          91.964     -9.456   -139.552            7.323        14871.648      1.127      0.000      0.000    0.02186   24.79936           -0.51019       85.59545         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.322        14878.866      1.126      0.000      0.000    0.02164   24.80111           -0.51149       85.58334         2.671e-06 
  2059.650          91.834     -9.446   -139.421            7.320        14886.082      1.126      0.000      0.000    0.02141   24.80283           -0.51283       85.57124         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.318        14893.297      1.125      0.000      0.000    0.02119   24.80452           -0.51419       85.55914         2.727e-06 
  2061.650          91.702     -9.436   -139.290            7.317        14900.510      1.124      0.000      0.000    0.02097   24.80617           -0.51559       85.54706         2.756e-06 
  2062.650          91.636     -9.431   -139.225            7.315        14907.722      1.123      0.000      0.000    0.02075   24.80779           -0.51702       85.53498         2.786e-06 
  2063.650          91.570     -9.426   -139.159            7.314        14914.932      1.122      0.000      0.000    0.02053   24.80937           -0.51848       85.52291         2.815e-06 
  2064.650          91.504     -9.421   -139.094            7.312        14922.140      1.121      0.000      0.000    0.02031   24.81091           -0.51997       85.51085         2.846e-06 
  2065.650          91.438     -9.415   -139.028            7.310        14929.347      1.120      0.000      0.000    0.02010   24.81241           -0.52149       85.49881         2.876e-06 
  2066.650          91.371     -9.410   -138.963            7.309        14936.553      1.120      0.000      0.000    0.01989   24.81387           -0.52305       85.48677         2.907e-06 
  2067.650          91.304     -9.405   -138.898            7.307        14943.757      1.119      0.000      0.000    0.01967   24.81528           -0.52464       85.47474         2.939e-06 
  2068.650          91.237     -9.400   -138.832            7.305        14950.959      1.118      0.000      0.000    0.01946   24.81664           -0.52626       85.46272         2.971e-06 
  2069.650          91.170     -9.395   -138.767            7.303        14958.160      1.117      0.000      0.000    0.01925   24.81795           -0.52792       85.45071         3.003e-06 
  2070.650          91.103     -9.390   -138.702            7.302        14965.359      1.117      0.000      0.000    0.01905   24.81921           -0.52961       85.43870         3.036e-06 
  2071.650          91.035     -9.385   -138.636            7.300        14972.556      1.116      0.000      0.000    0.01884   24.82041           -0.53133       85.42671         3.069e-06 
  2072.650          90.967     -9.379   -138.571            7.298        14979.752      1.115      0.000      0.000    0.01864   24.82155           -0.53309       85.41473         3.103e-06 
  2073.650          90.899     -9.374   -138.506            7.296        14986.946      1.115      0.000      0.000    0.01844   24.82264           -0.53488       85.40276         3.137e-06 
  2074.650          90.831     -9.369   -138.440            7.295        14994.139      1.114      0.000      0.000    0.01823   24.82366           -0.53671       85.39079         3.172e-06 
  2075.650          90.762     -9.364   -138.375            7.293        15001.329      1.113      0.000      0.000    0.01803   24.82462           -0.53858       85.37884         3.207e-06 
  2076.650          90.694     -9.358   -138.310            7.291        15008.518      1.113      0.000      0.000    0.01784   24.82551           -0.54048       85.36690         3.243e-06 
  2077.650          90.625     -9.353   -138.245            7.289        15015.705      1.112      0.000      0.000    0.01764   24.82633           -0.54242       85.35496         3.279e-06 
