#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EIU-Internal.32c03fa3-4d0d-4221-b830-9f6c97bbc5c3_Trajectory.txt
# RunID         : PySara
# ObjectID      : 32c03fa3-4d0d-4221-b830-9f6c97bbc5c3
# ObjectName    : EIU-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2187.388          81.381     -8.701   -131.146            7.085        15799.448      1.467      0.000      0.000    0.01130   24.54356           -0.86881       84.09692         1.442e-05 
  2187.488          81.370     -8.700   -131.140            7.085        15800.147      1.467      0.000      0.000    0.01128   24.54156           -0.86941       84.09584         1.444e-05 
  2187.938          81.322     -8.697   -131.112            7.081        15803.294      1.467      0.000      0.000    0.01120   24.53222           -0.87215       84.09095         1.455e-05 
  2188.938          81.214     -8.691   -131.049            7.073        15810.281      1.467      0.000      0.000    0.01102   24.51048           -0.87834       84.08010         1.479e-05 
  2189.938          81.105     -8.684   -130.985            7.065        15817.260      1.467      0.000      0.000    0.01082   24.48661           -0.88470       84.06927         1.506e-05 
  2190.938          80.995     -8.678   -130.922            7.056        15824.231      1.467      0.000      0.000    0.01063   24.46219           -0.89122       84.05846         1.533e-05 
  2191.938          80.885     -8.671   -130.860            7.048        15831.194      1.467      0.000      0.000    0.01044   24.43722           -0.89791       84.04766         1.562e-05 
  2192.938          80.775     -8.665   -130.797            7.039        15838.148      1.467      0.000      0.000    0.01025   24.41167           -0.90477       84.03688         1.590e-05 
  2193.938          80.663     -8.658   -130.734            7.030        15845.094      1.467      0.000      0.000    0.01006   24.38555           -0.91181       84.02611         1.620e-05 
  2194.938          80.551     -8.652   -130.671            7.021        15852.032      1.467      0.000      0.000    0.00988   24.35884           -0.91902       84.01536         1.650e-05 
  2195.938          80.438     -8.645   -130.609            7.012        15858.960      1.467      0.000      0.000    0.00969   24.33154           -0.92641       84.00463         1.681e-05 
  2196.938          80.324     -8.639   -130.546            7.003        15865.880      1.467      0.000      0.000    0.00951   24.30362           -0.93399       83.99392         1.713e-05 
  2197.938          80.209     -8.632   -130.484            6.994        15872.791      1.467      0.000      0.000    0.00934   24.27509           -0.94175       83.98322         1.746e-05 
  2198.938          80.094     -8.626   -130.421            6.984        15879.692      1.467      0.000      0.000    0.00916   24.24593           -0.94970       83.97255         1.779e-05 
  2199.938          79.978     -8.619   -130.359            6.975        15886.584      1.467      0.000      0.000    0.00899   24.21614           -0.95784       83.96189         1.814e-05 
  2200.938          79.861     -8.612   -130.297            6.965        15893.467      1.467      0.000      0.000    0.00882   24.18569           -0.96618       83.95125         1.849e-05 
  2201.938          79.743     -8.606   -130.235            6.955        15900.340      1.467      0.000      0.000    0.00865   24.15457           -0.97473       83.94063         1.885e-05 
  2202.938          79.624     -8.599   -130.173            6.945        15907.203      1.467      0.000      0.000    0.00848   24.12277           -0.98347       83.93003         1.922e-05 
  2203.938          79.505     -8.593   -130.111            6.934        15914.056      1.467      0.000      0.000    0.00831   24.09027           -0.99243       83.91945         1.961e-05 
  2204.938          79.384     -8.586   -130.049            6.924        15920.899      1.467      0.000      0.000    0.00815   24.05705           -1.00159       83.90890         2.000e-05 
  2205.938          79.263     -8.580   -129.987            6.911        15927.730      1.467      0.000      0.000    0.00799   24.01683           -1.01099       83.89835         2.040e-05 
  2206.938          79.140     -8.573   -129.926            6.889        15934.545      1.467      0.000      0.000    0.00783   23.94811           -1.02071       83.88775         2.081e-05 
  2207.938          79.018     -8.567   -129.865            6.822        15941.316      1.467      0.000      0.000    0.00767   23.73674           -1.03124       83.87686         2.124e-05 
