#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Gyrosbl.ba953c16-e673-4025-a7f3-c6ad8e7b1de0_Trajectory.txt
# RunID         : PySara
# ObjectID      : ba953c16-e673-4025-a7f3-c6ad8e7b1de0
# ObjectName    : Gyrosbl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      2.565      0.000      0.000    0.10570   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      2.564      0.000      0.000    0.10560   24.79161           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.329        14842.764      2.561      0.000      0.000    0.10516   24.79296           -0.50527       85.64399         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.328        14849.987      2.553      0.000      0.000    0.10416   24.79604           -0.50645       85.63183         2.562e-06 
  2055.650          92.094     -9.466   -139.683            7.327        14857.210      2.545      0.000      0.000    0.10309   24.79935           -0.50765       85.61969         2.588e-06 
  2056.650          92.029     -9.461   -139.618            7.326        14864.432      2.537      0.000      0.000    0.10203   24.80267           -0.50887       85.60755         2.615e-06 
  2057.650          91.964     -9.456   -139.552            7.325        14871.653      2.529      0.000      0.000    0.10098   24.80598           -0.51011       85.59542         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.324        14878.873      2.520      0.000      0.000    0.09994   24.80928           -0.51137       85.58330         2.671e-06 
  2059.650          91.834     -9.446   -139.421            7.323        14886.091      2.512      0.000      0.000    0.09890   24.81258           -0.51266       85.57119         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.322        14893.309      2.504      0.000      0.000    0.09787   24.81588           -0.51396       85.55908         2.727e-06 
  2061.650          91.702     -9.436   -139.290            7.321        14900.526      2.496      0.000      0.000    0.09685   24.81916           -0.51529       85.54699         2.756e-06 
