#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PCU-internal.25d4c5dd-be9f-44b8-9620-4258c3b44b3f_Trajectory.txt
# RunID         : PySara
# ObjectID      : 25d4c5dd-be9f-44b8-9620-4258c3b44b3f
# ObjectName    : PCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2275.489          71.300     -8.082   -125.578            6.464        16416.501      1.372      0.000      0.000    0.00236   22.25120           -1.40718       83.17986         7.214e-05 
  2275.589          71.284     -8.081   -125.573            6.461        16417.140      1.372      0.000      0.000    0.00235   22.23883           -1.40909       83.17897         7.230e-05 
  2276.039          71.213     -8.078   -125.547            6.444        16420.010      1.372      0.000      0.000    0.00233   22.18117           -1.41782       83.17497         7.300e-05 
  2277.039          71.053     -8.072   -125.490            6.406        16426.363      1.372      0.000      0.000    0.00228   22.04778           -1.43781       83.16611         7.465e-05 
  2278.039          70.891     -8.065   -125.433            6.368        16432.678      1.372      0.000      0.000    0.00222   21.90267           -1.45864       83.15731         7.648e-05 
  2279.039          70.728     -8.058   -125.376            6.330        16438.956      1.372      0.000      0.000    0.00217   21.75559           -1.48034       83.14858         7.836e-05 
  2280.039          70.564     -8.051   -125.320            6.291        16445.196      1.372      0.000      0.000    0.00212   21.60656           -1.50291       83.13990         8.030e-05 
  2281.039          70.398     -8.045   -125.264            6.252        16451.396      1.372      0.000      0.000    0.00207   21.45557           -1.52638       83.13128         8.230e-05 
  2282.039          70.231     -8.038   -125.209            6.212        16457.558      1.372      0.000      0.000    0.00202   21.30262           -1.55076       83.12273         8.436e-05 
  2283.039          70.062     -8.031   -125.153            6.171        16463.681      1.372      0.000      0.000    0.00197   21.14771           -1.57607       83.11423         8.648e-05 
  2284.039          69.892     -8.025   -125.099            6.131        16469.763      1.372      0.000      0.000    0.00192   20.99083           -1.60234       83.10580         8.868e-05 
  2285.039          69.719     -8.018   -125.044            6.089        16475.804      1.372      0.000      0.000    0.00187   20.83198           -1.62957       83.09742         9.094e-05 
  2286.039          69.546     -8.012   -124.990            5.988        16481.776      1.372      0.000      0.000    0.00182   20.49377           -1.65855       83.08967         9.327e-05 
