#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PDU1.0537ea03-4670-49e4-b264-15d92bab84c4_Trajectory.txt
# RunID         : PySara
# ObjectID      : 0537ea03-4670-49e4-b264-15d92bab84c4
# ObjectName    : PDU1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.568      0.000      0.000    0.00814   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      1.568      0.000      0.000    0.00813   24.79782           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.127        16077.753      1.568      0.000      0.000    0.00807   24.78873           -0.90655       83.67383         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.120        16084.790      1.568      0.000      0.000    0.00793   24.76755           -0.91188       83.66327         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.113        16091.820      1.568      0.000      0.000    0.00779   24.74428           -0.91735       83.65274         2.647e-05 
  2228.750          77.559     -8.412   -128.442            7.106        16098.843      1.568      0.000      0.000    0.00764   24.72044           -0.92295       83.64222         2.696e-05 
  2229.750          77.444     -8.405   -128.379            7.099        16105.859      1.568      0.000      0.000    0.00750   24.69602           -0.92870       83.63173         2.747e-05 
  2230.750          77.329     -8.398   -128.316            7.091        16112.868      1.568      0.000      0.000    0.00736   24.67102           -0.93460       83.62125         2.799e-05 
  2231.750          77.213     -8.391   -128.253            7.084        16119.870      1.568      0.000      0.000    0.00723   24.64541           -0.94064       83.61080         2.852e-05 
  2232.750          77.096     -8.384   -128.190            7.076        16126.864      1.568      0.000      0.000    0.00709   24.61918           -0.94683       83.60037         2.907e-05 
  2233.750          76.979     -8.377   -128.127            7.068        16133.851      1.568      0.000      0.000    0.00696   24.59232           -0.95318       83.58996         2.963e-05 
  2234.750          76.861     -8.370   -128.064            7.060        16140.830      1.568      0.000      0.000    0.00683   24.56481           -0.95969       83.57957         3.020e-05 
  2235.750          76.743     -8.362   -128.001            7.052        16147.802      1.568      0.000      0.000    0.00670   24.53665           -0.96635       83.56921         3.078e-05 
  2236.750          76.623     -8.355   -127.938            7.044        16154.765      1.568      0.000      0.000    0.00657   24.50781           -0.97318       83.55887         3.138e-05 
