#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PMC2.a917bf4a-b649-489d-9dc4-1adccbcbbd4e_Trajectory.txt
# RunID         : PySara
# ObjectID      : a917bf4a-b649-489d-9dc4-1adccbcbbd4e
# ObjectName    : PMC2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.246      0.000      0.000    0.00974   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      1.246      0.000      0.000    0.00973   24.79741           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.126        16077.753      1.246      0.000      0.000    0.00966   24.78643           -0.90656       83.67382         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.118        16084.788      1.246      0.000      0.000    0.00949   24.76086           -0.91191       83.66326         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.109        16091.815      1.246      0.000      0.000    0.00932   24.73281           -0.91743       83.65273         2.647e-05 
  2228.750          77.559     -8.412   -128.443            7.101        16098.834      1.246      0.000      0.000    0.00915   24.70413           -0.92311       83.64221         2.696e-05 
  2229.750          77.445     -8.405   -128.379            7.092        16105.845      1.246      0.000      0.000    0.00898   24.67480           -0.92897       83.63172         2.747e-05 
  2230.750          77.329     -8.398   -128.316            7.083        16112.847      1.246      0.000      0.000    0.00881   24.64481           -0.93500       83.62125         2.799e-05 
  2231.750          77.213     -8.391   -128.253            7.074        16119.840      1.246      0.000      0.000    0.00865   24.61415           -0.94120       83.61080         2.852e-05 
  2232.750          77.097     -8.384   -128.190            7.065        16126.825      1.246      0.000      0.000    0.00848   24.58279           -0.94759       83.60038         2.907e-05 
  2233.750          76.980     -8.377   -128.127            7.056        16133.801      1.246      0.000      0.000    0.00833   24.55074           -0.95416       83.58998         2.963e-05 
  2234.750          76.862     -8.370   -128.064            7.047        16140.767      1.246      0.000      0.000    0.00817   24.51796           -0.96092       83.57961         3.020e-05 
  2235.750          76.743     -8.363   -128.001            7.037        16147.724      1.246      0.000      0.000    0.00801   24.48445           -0.96786       83.56926         3.078e-05 
  2236.750          76.624     -8.356   -127.939            7.027        16154.672      1.246      0.000      0.000    0.00786   24.45020           -0.97501       83.55894         3.138e-05 
  2237.750          76.504     -8.348   -127.876            7.018        16161.611      1.246      0.000      0.000    0.00771   24.41517           -0.98234       83.54864         3.199e-05 
  2238.750          76.383     -8.341   -127.814            7.007        16168.539      1.246      0.000      0.000    0.00756   24.37936           -0.98988       83.53837         3.262e-05 
  2239.750          76.262     -8.334   -127.751            6.997        16175.458      1.246      0.000      0.000    0.00741   24.34275           -0.99763       83.52812         3.327e-05 
  2240.750          76.140     -8.327   -127.689            6.987        16182.366      1.246      0.000      0.000    0.00727   24.30532           -1.00558       83.51791         3.393e-05 
  2241.750          76.017     -8.320   -127.627            6.976        16189.265      1.246      0.000      0.000    0.00713   24.26706           -1.01375       83.50771         3.461e-05 
  2242.750          75.893     -8.313   -127.565            6.966        16196.152      1.246      0.000      0.000    0.00699   24.22793           -1.02213       83.49755         3.530e-05 
  2243.750          75.768     -8.306   -127.502            6.955        16203.030      1.246      0.000      0.000    0.00685   24.18793           -1.03074       83.48742         3.601e-05 
  2244.750          75.643     -8.299   -127.441            6.943        16209.896      1.246      0.000      0.000    0.00671   24.14704           -1.03956       83.47731         3.675e-05 
  2245.750          75.516     -8.292   -127.379            6.932        16216.752      1.246      0.000      0.000    0.00658   24.10522           -1.04862       83.46723         3.750e-05 
  2246.750          75.389     -8.285   -127.317            6.921        16223.596      1.246      0.000      0.000    0.00645   24.06247           -1.05791       83.45718         3.827e-05 
  2247.750          75.261     -8.278   -127.255            6.909        16230.429      1.246      0.000      0.000    0.00631   24.01876           -1.06744       83.44716         3.906e-05 
  2248.750          75.132     -8.271   -127.194            6.897        16237.250      1.246      0.000      0.000    0.00619   23.97406           -1.07721       83.43717         3.987e-05 
  2249.750          75.001     -8.264   -127.132            6.885        16244.060      1.246      0.000      0.000    0.00606   23.92835           -1.08723       83.42721         4.071e-05 
  2250.750          74.870     -8.257   -127.071            6.872        16250.858      1.246      0.000      0.000    0.00593   23.88162           -1.09750       83.41728         4.156e-05 
  2251.750          74.738     -8.250   -127.010            6.860        16257.643      1.246      0.000      0.000    0.00581   23.83383           -1.10803       83.40738         4.244e-05 
  2252.750          74.605     -8.243   -126.949            6.847        16264.416      1.246      0.000      0.000    0.00569   23.78497           -1.11882       83.39751         4.335e-05 
  2253.750          74.471     -8.236   -126.888            6.834        16271.177      1.246      0.000      0.000    0.00557   23.73501           -1.12988       83.38767         4.428e-05 
  2254.750          74.335     -8.229   -126.827            6.821        16277.924      1.246      0.000      0.000    0.00545   23.68393           -1.14122       83.37786         4.524e-05 
  2255.750          74.199     -8.222   -126.766            6.807        16284.658      1.246      0.000      0.000    0.00534   23.63031           -1.15283       83.36809         4.622e-05 
  2256.750          74.062     -8.215   -126.706            6.792        16291.378      1.246      0.000      0.000    0.00522   23.57339           -1.16474       83.35835         4.723e-05 
  2257.750          73.923     -8.208   -126.645            6.776        16298.083      1.246      0.000      0.000    0.00511   23.51282           -1.17698       83.34865         4.827e-05 
  2258.750          73.783     -8.201   -126.585            6.759        16304.772      1.246      0.000      0.000    0.00500   23.44826           -1.18955       83.33899         4.934e-05 
  2259.750          73.642     -8.194   -126.525            6.741        16311.444      1.246      0.000      0.000    0.00489   23.37931           -1.20249       83.32938         5.044e-05 
  2260.750          73.500     -8.187   -126.465            6.722        16318.098      1.246      0.000      0.000    0.00478   23.30553           -1.21582       83.31981         5.157e-05 
  2261.750          73.357     -8.180   -126.405            6.701        16324.732      1.246      0.000      0.000    0.00468   23.22640           -1.22958       83.31029         5.274e-05 
  2262.750          73.213     -8.173   -126.346            6.679        16331.344      1.246      0.000      0.000    0.00457   23.14130           -1.24380       83.30082         5.394e-05 
  2263.750          73.067     -8.166   -126.286            6.654        16337.934      1.246      0.000      0.000    0.00447   23.04952           -1.25851       83.29141         5.517e-05 
  2264.750          72.920     -8.159   -126.227            6.628        16344.499      1.246      0.000      0.000    0.00437   22.95020           -1.27376       83.28206         5.644e-05 
  2265.750          72.772     -8.152   -126.168            6.599        16351.036      1.246      0.000      0.000    0.00427   22.84233           -1.28960       83.27278         5.775e-05 
  2266.750          72.623     -8.145   -126.110            6.568        16357.544      1.246      0.000      0.000    0.00417   22.72466           -1.30609       83.26358         5.909e-05 
  2267.369          72.530     -8.141   -126.073            6.546        16361.558      1.246      0.000      0.000    0.00411   22.63926           -1.31666       83.25792         6.001e-05 
  2268.369          72.379     -8.134   -126.015            6.509        16368.011      1.246      0.000      0.000    0.00404   22.50838           -1.33436       83.24886         6.104e-05 
  2269.369          72.227     -8.127   -125.957            6.468        16374.425      1.246      0.000      0.000    0.00395   22.35770           -1.35292       83.23989         6.248e-05 
  2270.369          72.074     -8.120   -125.900            6.422        16380.796      1.246      0.000      0.000    0.00386   22.18950           -1.37243       83.23103         6.397e-05 
  2271.369          71.920     -8.114   -125.843            6.370        16387.119      1.246      0.000      0.000    0.00377   22.00034           -1.39304       83.22231         6.549e-05 
  2272.369          71.764     -8.107   -125.787            6.310        16393.387      1.246      0.000      0.000    0.00368   21.78536           -1.41490       83.21375         6.705e-05 
  2273.369          71.608     -8.100   -125.731            6.241        16399.591      1.246      0.000      0.000    0.00359   21.53785           -1.43824       83.20537         6.866e-05 
