#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SADM1_internal.40e2ffab-db50-4f10-af07-844ac3cd46d1_Trajectory.txt
# RunID         : PySara
# ObjectID      : 40e2ffab-db50-4f10-af07-844ac3cd46d1
# ObjectName    : SADM1_internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2192.409          80.913     -8.667   -130.820            7.081        15835.536      1.049      0.000      0.000    0.00893   24.54847           -0.88019       84.04116         1.558e-05 
  2192.509          80.902     -8.667   -130.814            7.080        15836.235      1.049      0.000      0.000    0.00892   24.54686           -0.88080       84.04008         1.561e-05 
  2192.959          80.853     -8.664   -130.786            7.077        15839.380      1.049      0.000      0.000    0.00885   24.53936           -0.88357       84.03521         1.572e-05 
  2193.959          80.743     -8.657   -130.722            7.071        15846.365      1.049      0.000      0.000    0.00870   24.52187           -0.88983       84.02441         1.599e-05 
  2194.959          80.633     -8.650   -130.659            7.064        15853.343      1.049      0.000      0.000    0.00855   24.50263           -0.89622       84.01363         1.628e-05 
  2195.959          80.522     -8.644   -130.596            7.057        15860.315      1.049      0.000      0.000    0.00839   24.48291           -0.90275       84.00286         1.658e-05 
  2196.959          80.411     -8.637   -130.533            7.050        15867.280      1.049      0.000      0.000    0.00824   24.46270           -0.90942       83.99210         1.689e-05 
  2197.959          80.298     -8.631   -130.471            7.043        15874.238      1.049      0.000      0.000    0.00809   24.44199           -0.91622       83.98137         1.720e-05 
  2198.959          80.185     -8.624   -130.408            7.036        15881.189      1.049      0.000      0.000    0.00794   24.42078           -0.92317       83.97064         1.753e-05 
  2199.959          80.072     -8.617   -130.345            7.028        15888.133      1.049      0.000      0.000    0.00779   24.39906           -0.93027       83.95994         1.786e-05 
  2200.959          79.957     -8.611   -130.282            7.021        15895.070      1.049      0.000      0.000    0.00765   24.37681           -0.93752       83.94925         1.820e-05 
  2201.959          79.842     -8.604   -130.220            7.013        15901.999      1.049      0.000      0.000    0.00750   24.35403           -0.94491       83.93858         1.855e-05 
  2202.959          79.726     -8.598   -130.157            7.006        15908.921      1.049      0.000      0.000    0.00736   24.33070           -0.95246       83.92792         1.891e-05 
  2203.959          79.609     -8.591   -130.095            6.998        15915.836      1.049      0.000      0.000    0.00722   24.30681           -0.96017       83.91728         1.927e-05 
  2204.959          79.491     -8.584   -130.032            6.990        15922.742      1.049      0.000      0.000    0.00708   24.28235           -0.96804       83.90666         1.965e-05 
  2205.959          79.373     -8.578   -129.970            6.982        15929.641      1.049      0.000      0.000    0.00695   24.25729           -0.97607       83.89606         2.004e-05 
  2206.959          79.254     -8.571   -129.908            6.973        15936.532      1.049      0.000      0.000    0.00681   24.23163           -0.98427       83.88548         2.043e-05 
  2207.959          79.133     -8.565   -129.846            6.965        15943.415      1.049      0.000      0.000    0.00668   24.20535           -0.99264       83.87492         2.084e-05 
  2208.959          79.012     -8.558   -129.784            6.956        15950.289      1.049      0.000      0.000    0.00655   24.17842           -1.00117       83.86438         2.126e-05 
  2209.959          78.890     -8.551   -129.722            6.948        15957.155      1.049      0.000      0.000    0.00642   24.15085           -1.00989       83.85385         2.169e-05 
  2210.959          78.767     -8.545   -129.660            6.939        15964.013      1.049      0.000      0.000    0.00629   24.12259           -1.01878       83.84335         2.213e-05 
  2211.959          78.643     -8.538   -129.598            6.930        15970.861      1.049      0.000      0.000    0.00616   24.09365           -1.02786       83.83287         2.258e-05 
  2212.959          78.519     -8.531   -129.536            6.921        15977.701      1.049      0.000      0.000    0.00604   24.06400           -1.03712       83.82241         2.305e-05 
  2213.959          78.393     -8.525   -129.474            6.911        15984.532      1.049      0.000      0.000    0.00592   24.03362           -1.04658       83.81198         2.353e-05 
  2214.959          78.266     -8.518   -129.413            6.901        15991.353      1.049      0.000      0.000    0.00579   23.99985           -1.05623       83.80156         2.402e-05 
  2215.959          78.139     -8.511   -129.351            6.886        15998.162      1.049      0.000      0.000    0.00567   23.95074           -1.06613       83.79114         2.453e-05 
  2216.959          78.010     -8.505   -129.290            6.858        16004.949      1.049      0.000      0.000    0.00556   23.86206           -1.07645       83.78068         2.505e-05 
  2217.959          77.882     -8.498   -129.229            6.740        16011.665      1.049      0.000      0.000    0.00544   23.49128           -1.08805       83.76984         2.558e-05 
