#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SAR-Tx.0811b25c-271f-4575-abd0-1c7da3798136_Trajectory.txt
# RunID         : PySara
# ObjectID      : 0811b25c-271f-4575-abd0-1c7da3798136
# ObjectName    : SAR-Tx
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      2.379      0.000      0.000    0.00851   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.129        16074.585      2.379      0.000      0.000    0.00850   24.79414           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.120        16077.752      2.379      0.000      0.000    0.00843   24.76790           -0.90658       83.67380         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.101        16084.776      2.379      0.000      0.000    0.00829   24.70713           -0.91213       83.66320         2.598e-05 
  2227.750          77.674     -8.419   -128.506            7.082        16091.781      2.379      0.000      0.000    0.00814   24.64088           -0.91806       83.65264         2.647e-05 
  2228.750          77.560     -8.412   -128.443            7.062        16098.767      2.379      0.000      0.000    0.00799   24.57359           -0.92438       83.64212         2.696e-05 
  2229.750          77.446     -8.405   -128.380            7.042        16105.733      2.379      0.000      0.000    0.00784   24.50525           -0.93109       83.63165         2.747e-05 
  2230.750          77.331     -8.398   -128.318            7.022        16112.680      2.379      0.000      0.000    0.00770   24.43584           -0.93820       83.62121         2.798e-05 
  2231.750          77.216     -8.391   -128.255            7.002        16119.607      2.379      0.000      0.000    0.00756   24.36536           -0.94572       83.61081         2.851e-05 
  2232.750          77.100     -8.384   -128.193            6.981        16126.514      2.379      0.000      0.000    0.00742   24.29378           -0.95365       83.60046         2.905e-05 
  2233.750          76.984     -8.377   -128.131            6.960        16133.401      2.379      0.000      0.000    0.00728   24.22110           -0.96200       83.59015         2.961e-05 
  2234.750          76.866     -8.370   -128.069            6.939        16140.266      2.379      0.000      0.000    0.00714   24.14729           -0.97078       83.57989         3.017e-05 
  2235.750          76.748     -8.363   -128.007            6.917        16147.111      2.379      0.000      0.000    0.00701   24.07235           -0.97999       83.56967         3.076e-05 
  2236.750          76.630     -8.356   -127.945            6.896        16153.935      2.379      0.000      0.000    0.00687   23.99625           -0.98964       83.55950         3.135e-05 
  2237.750          76.510     -8.349   -127.884            6.874        16160.737      2.379      0.000      0.000    0.00674   23.91897           -0.99974       83.54937         3.196e-05 
  2238.750          76.390     -8.342   -127.823            6.851        16167.517      2.379      0.000      0.000    0.00661   23.84050           -1.01029       83.53929         3.259e-05 
  2239.750          76.269     -8.336   -127.762            6.829        16174.275      2.379      0.000      0.000    0.00648   23.76082           -1.02131       83.52926         3.323e-05 
  2240.750          76.146     -8.329   -127.701            6.806        16181.011      2.379      0.000      0.000    0.00636   23.67990           -1.03280       83.51927         3.389e-05 
  2241.750          76.023     -8.322   -127.641            6.782        16187.724      2.379      0.000      0.000    0.00623   23.59773           -1.04477       83.50934         3.457e-05 
  2242.750          75.899     -8.315   -127.580            6.759        16194.414      2.379      0.000      0.000    0.00611   23.51429           -1.05723       83.49945         3.527e-05 
  2243.750          75.774     -8.308   -127.520            6.735        16201.080      2.379      0.000      0.000    0.00599   23.42801           -1.07018       83.48962         3.598e-05 
  2244.750          75.648     -8.301   -127.460            6.708        16207.721      2.379      0.000      0.000    0.00587   23.33344           -1.08368       83.47985         3.672e-05 
  2245.750          75.520     -8.295   -127.401            6.678        16214.334      2.379      0.000      0.000    0.00575   23.22838           -1.09776       83.47014         3.747e-05 
  2246.750          75.392     -8.288   -127.341            6.644        16220.917      2.379      0.000      0.000    0.00563   23.11073           -1.11252       83.46051         3.825e-05 
  2247.750          75.262     -8.281   -127.282            6.606        16227.463      2.379      0.000      0.000    0.00552   22.97774           -1.12803       83.45096         3.905e-05 
  2248.750          75.132     -8.274   -127.223            6.563        16233.970      2.379      0.000      0.000    0.00540   22.82566           -1.14441       83.44152         3.987e-05 
  2249.750          75.000     -8.268   -127.165            6.512        16240.430      2.379      0.000      0.000    0.00529   22.64920           -1.16180       83.43221         4.071e-05 
  2250.750          74.868     -8.261   -127.107            6.452        16246.836      2.379      0.000      0.000    0.00518   22.44061           -1.18038       83.42305         4.158e-05 
  2251.750          74.734     -8.254   -127.050            6.379        16253.176      2.379      0.000      0.000    0.00507   22.18784           -1.20042       83.41408         4.247e-05 
  2252.750          74.600     -8.248   -126.994            6.286        16259.434      2.379      0.000      0.000    0.00497   21.87077           -1.22229       83.40539         4.338e-05 
  2253.750          74.466     -8.242   -126.938            6.163        16265.585      2.379      0.000      0.000    0.00486   21.45204           -1.24657       83.39712         4.431e-05 
  2254.750          74.333     -8.235   -126.884            5.985        16271.587      2.379      0.000      0.000    0.00476   20.85020           -1.27431       83.38955         4.526e-05 
  2255.750          74.202     -8.229   -126.832            5.677        16277.348      2.379      0.000      0.000    0.00466   19.82900           -1.30782       83.38360         4.621e-05 
  2256.289          74.134     -8.226   -126.806            5.173        16280.234      2.379      0.000      0.000    0.00461   18.15094           -1.33112       83.38443         4.676e-05 
  2256.299          74.133     -8.226   -126.806            4.634        16280.280      2.379      0.000      0.000    0.00460   16.28897           -1.33057       83.39121         4.683e-05 
  2256.300          74.133     -8.226   -126.806            4.220        16280.284      2.379      0.000      0.000    0.00460   14.80547           -1.32961       83.39764         4.683e-05 
  2256.300          74.133     -8.226   -126.806            3.665        16280.287      2.379      0.000      0.000    0.00460   12.92618           -1.32792       83.40858         4.683e-05 
  2256.301          74.133     -8.226   -126.806            3.342        16280.288      2.379      0.000      0.000    0.00460   11.72074           -1.32664       83.41660         4.683e-05 
  2256.301          74.133     -8.226   -126.806            3.015        16280.289      2.379      0.000      0.000    0.00460   10.58485           -1.32507       83.42650         4.683e-05 
  2256.301          74.133     -8.226   -126.806            2.706        16280.289      2.379      0.000      0.000    0.00460    9.50470           -1.32323       83.43803         4.683e-05 
  2256.301          74.133     -8.226   -126.806            2.355        16280.290      2.379      0.000      0.000    0.00460    8.29794           -1.32056       83.45483         4.683e-05 
