#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.STD2.84d8e60a-8888-4008-98ee-97f86e72405d_Trajectory.txt
# RunID         : PySara
# ObjectID      : 84d8e60a-8888-4008-98ee-97f86e72405d
# ObjectName    : STD2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      1.535      0.000      0.000    0.07417   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      1.534      0.000      0.000    0.07411   24.79081           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.328        14842.763      1.532      0.000      0.000    0.07380   24.78843           -0.50527       85.64401         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.324        14849.984      1.528      0.000      0.000    0.07310   24.78294           -0.50650       85.63189         2.562e-06 
  2055.650          92.095     -9.466   -139.683            7.320        14857.201      1.523      0.000      0.000    0.07235   24.77699           -0.50779       85.61979         2.588e-06 
  2056.650          92.030     -9.461   -139.618            7.316        14864.415      1.519      0.000      0.000    0.07161   24.77097           -0.50916       85.60769         2.615e-06 
  2057.650          91.965     -9.456   -139.553            7.313        14871.625      1.514      0.000      0.000    0.07087   24.76489           -0.51061       85.59561         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.309        14878.831      1.509      0.000      0.000    0.07013   24.75874           -0.51213       85.58355         2.671e-06 
  2059.650          91.834     -9.446   -139.422            7.305        14886.034      1.505      0.000      0.000    0.06941   24.75252           -0.51372       85.57149         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.301        14893.232      1.500      0.000      0.000    0.06869   24.74624           -0.51539       85.55945         2.727e-06 
  2061.650          91.703     -9.436   -139.291            7.297        14900.427      1.496      0.000      0.000    0.06797   24.73989           -0.51713       85.54742         2.756e-06 
  2062.650          91.637     -9.431   -139.226            7.293        14907.618      1.491      0.000      0.000    0.06726   24.73346           -0.51895       85.53540         2.786e-06 
  2063.650          91.570     -9.426   -139.160            7.289        14914.805      1.487      0.000      0.000    0.06655   24.72696           -0.52085       85.52340         2.815e-06 
  2064.650          91.504     -9.421   -139.095            7.285        14921.988      1.482      0.000      0.000    0.06585   24.72038           -0.52283       85.51140         2.846e-06 
  2065.650          91.437     -9.416   -139.030            7.281        14929.168      1.478      0.000      0.000    0.06515   24.71373           -0.52488       85.49942         2.876e-06 
  2066.650          91.371     -9.410   -138.965            7.277        14936.343      1.473      0.000      0.000    0.06446   24.70700           -0.52701       85.48746         2.907e-06 
  2067.650          91.304     -9.405   -138.900            7.273        14943.515      1.469      0.000      0.000    0.06377   24.70018           -0.52923       85.47550         2.939e-06 
  2068.650          91.236     -9.400   -138.835            7.269        14950.682      1.464      0.000      0.000    0.06308   24.69329           -0.53152       85.46356         2.971e-06 
  2069.650          91.169     -9.395   -138.770            7.264        14957.846      1.460      0.000      0.000    0.06240   24.68631           -0.53389       85.45164         3.004e-06 
  2070.650          91.101     -9.390   -138.705            7.260        14965.005      1.455      0.000      0.000    0.06173   24.67924           -0.53634       85.43972         3.037e-06 
  2071.650          91.033     -9.385   -138.640            7.256        14972.160      1.451      0.000      0.000    0.06106   24.67209           -0.53888       85.42782         3.070e-06 
  2072.650          90.964     -9.380   -138.575            7.252        14979.312      1.446      0.000      0.000    0.06039   24.66484           -0.54150       85.41593         3.104e-06 
  2073.650          90.896     -9.374   -138.510            7.248        14986.459      1.442      0.000      0.000    0.05973   24.65750           -0.54420       85.40405         3.139e-06 
  2074.650          90.827     -9.369   -138.445            7.243        14993.602      1.438      0.000      0.000    0.05907   24.65006           -0.54698       85.39219         3.174e-06 
  2075.650          90.757     -9.364   -138.381            7.239        15000.740      1.433      0.000      0.000    0.05841   24.64253           -0.54985       85.38034         3.210e-06 
  2076.650          90.688     -9.359   -138.316            7.234        15007.875      1.429      0.000      0.000    0.05776   24.63489           -0.55280       85.36851         3.246e-06 
  2077.650          90.618     -9.354   -138.251            7.230        15015.005      1.424      0.000      0.000    0.05712   24.62715           -0.55584       85.35669         3.283e-06 
  2078.650          90.547     -9.348   -138.186            7.226        15022.131      1.420      0.000      0.000    0.05647   24.61931           -0.55896       85.34488         3.321e-06 
  2079.650          90.477     -9.343   -138.122            7.221        15029.253      1.416      0.000      0.000    0.05583   24.61135           -0.56217       85.33308         3.359e-06 
  2080.650          90.406     -9.338   -138.057            7.217        15036.370      1.412      0.000      0.000    0.05520   24.60329           -0.56547       85.32130         3.398e-06 
  2081.650          90.334     -9.333   -137.993            7.212        15043.483      1.407      0.000      0.000    0.05456   24.59510           -0.56886       85.30953         3.437e-06 
