#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ValvTran4.8929815f-822b-4be9-a995-02edede00917_Trajectory.txt
# RunID         : PySara
# ObjectID      : 8929815f-822b-4be9-a995-02edede00917
# ObjectName    : ValvTran4
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      2.599      0.000      0.000    0.25672   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      2.598      0.000      0.000    0.25649   24.79125           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.329        14842.763      2.596      0.000      0.000    0.25542   24.79091           -0.50527       85.64400         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.326        14849.986      2.590      0.000      0.000    0.25299   24.79012           -0.50647       85.63186         2.562e-06 
  2055.650          92.095     -9.466   -139.683            7.324        14857.206      2.583      0.000      0.000    0.25040   24.78924           -0.50771       85.61973         2.588e-06 
  2056.650          92.030     -9.461   -139.618            7.322        14864.424      2.577      0.000      0.000    0.24783   24.78833           -0.50900       85.60762         2.615e-06 
  2057.650          91.964     -9.456   -139.552            7.319        14871.640      2.570      0.000      0.000    0.24527   24.78738           -0.51033       85.59551         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.317        14878.854      2.564      0.000      0.000    0.24273   24.78638           -0.51171       85.58341         2.671e-06 
  2059.650          91.834     -9.446   -139.421            7.315        14886.065      2.557      0.000      0.000    0.24022   24.78535           -0.51314       85.57132         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.312        14893.274      2.550      0.000      0.000    0.23772   24.78428           -0.51461       85.55925         2.727e-06 
