#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS-TXU.7f55c236-864e-40ed-87fc-4a26da0a0229_Trajectory.txt
# RunID         : PySara
# ObjectID      : 7f55c236-864e-40ed-87fc-4a26da0a0229
# ObjectName    : ADCS-TXU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      2.435      0.000      0.000    0.00630   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.076        18435.133      2.435      0.000      0.000    0.00629   24.62065           -0.93460       86.31183         4.249e-05 
  2550.750          74.661      9.787     94.476            7.071        18438.279      2.435      0.000      0.000    0.00625   24.60325           -0.93743       86.31736         4.280e-05 
  2551.750          74.545      9.791     94.540            7.061        18445.261      2.435      0.000      0.000    0.00614   24.56306           -0.94388       86.32965         4.354e-05 
  2552.750          74.429      9.795     94.603            7.050        18452.234      2.435      0.000      0.000    0.00603   24.51938           -0.95053       86.34194         4.435e-05 
  2553.750          74.312      9.799     94.667            7.040        18459.196      2.435      0.000      0.000    0.00592   24.47514           -0.95739       86.35421         4.518e-05 
  2554.750          74.194      9.803     94.730            7.029        18466.148      2.435      0.000      0.000    0.00581   24.43033           -0.96447       86.36648         4.603e-05 
  2555.750          74.075      9.807     94.793            7.018        18473.089      2.435      0.000      0.000    0.00570   24.38494           -0.97176       86.37874         4.690e-05 
  2556.750          73.955      9.811     94.856            7.007        18480.020      2.435      0.000      0.000    0.00559   24.33895           -0.97928       86.39100         4.779e-05 
  2557.750          73.835      9.815     94.919            6.995        18486.939      2.435      0.000      0.000    0.00549   24.29236           -0.98702       86.40324         4.871e-05 
  2558.750          73.714      9.819     94.982            6.984        18493.847      2.435      0.000      0.000    0.00539   24.24513           -0.99499       86.41548         4.964e-05 
  2559.750          73.593      9.823     95.045            6.972        18500.744      2.435      0.000      0.000    0.00528   24.19726           -1.00320       86.42770         5.060e-05 
  2560.750          73.470      9.826     95.107            6.960        18507.629      2.435      0.000      0.000    0.00518   24.14874           -1.01164       86.43992         5.158e-05 
  2561.750          73.347      9.830     95.170            6.948        18514.503      2.435      0.000      0.000    0.00508   24.09954           -1.02033       86.45213         5.259e-05 
  2562.750          73.223      9.834     95.232            6.936        18521.365      2.435      0.000      0.000    0.00499   24.04964           -1.02927       86.46433         5.362e-05 
  2563.750          73.098      9.838     95.295            6.924        18528.214      2.435      0.000      0.000    0.00489   23.99904           -1.03845       86.47652         5.468e-05 
  2564.750          72.972      9.842     95.357            6.911        18535.051      2.435      0.000      0.000    0.00479   23.94771           -1.04790       86.48870         5.577e-05 
  2565.750          72.845      9.846     95.419            6.898        18541.876      2.435      0.000      0.000    0.00470   23.89563           -1.05760       86.50087         5.688e-05 
  2566.750          72.717      9.849     95.481            6.885        18548.688      2.435      0.000      0.000    0.00461   23.84279           -1.06757       86.51302         5.803e-05 
  2567.750          72.588      9.853     95.543            6.872        18555.487      2.435      0.000      0.000    0.00452   23.78916           -1.07782       86.52517         5.920e-05 
  2568.750          72.459      9.857     95.605            6.858        18562.273      2.435      0.000      0.000    0.00444   23.73473           -1.08834       86.53731         6.024e-05 
  2569.750          72.328      9.860     95.666            6.844        18569.046      2.435      0.000      0.000    0.00435   23.67945           -1.09914       86.54943         6.148e-05 
  2570.750          72.196      9.864     95.728            6.830        18575.805      2.435      0.000      0.000    0.00426   23.62305           -1.11023       86.56155         6.274e-05 
  2571.750          72.063      9.868     95.789            6.816        18582.550      2.435      0.000      0.000    0.00418   23.56554           -1.12161       86.57365         6.404e-05 
  2572.750          71.929      9.871     95.851            6.802        18589.281      2.435      0.000      0.000    0.00409   23.50690           -1.13329       86.58574         6.538e-05 
  2573.750          71.794      9.875     95.912            6.787        18595.998      2.435      0.000      0.000    0.00401   23.44710           -1.14527       86.59781         6.675e-05 
  2574.750          71.658      9.879     95.973            6.772        18602.701      2.435      0.000      0.000    0.00392   23.38612           -1.15757       86.60988         6.816e-05 
  2575.750          71.521      9.882     96.034            6.757        18609.388      2.435      0.000      0.000    0.00384   23.32395           -1.17018       86.62193         6.961e-05 
  2576.750          71.382      9.886     96.094            6.742        18616.061      2.435      0.000      0.000    0.00376   23.26056           -1.18311       86.63396         7.110e-05 
  2577.750          71.242      9.889     96.155            6.726        18622.718      2.435      0.000      0.000    0.00368   23.19593           -1.19638       86.64599         7.262e-05 
  2578.750          71.101      9.893     96.215            6.710        18629.360      2.435      0.000      0.000    0.00360   23.12905           -1.20998       86.65800         7.419e-05 
  2579.750          70.959      9.896     96.276            6.692        18635.985      2.435      0.000      0.000    0.00353   23.05844           -1.22393       86.67000         7.581e-05 
  2580.750          70.815      9.900     96.336            6.674        18642.593      2.435      0.000      0.000    0.00345   22.98360           -1.23827       86.68200         7.747e-05 
  2581.750          70.670      9.903     96.396            6.654        18649.182      2.435      0.000      0.000    0.00338   22.90413           -1.25301       86.69398         7.918e-05 
