#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BEG3-internal.c69822fa-e85e-4556-ac1d-df65390206fe_Trajectory.txt
# RunID         : PySara
# ObjectID      : c69822fa-e85e-4556-ac1d-df65390206fe
# ObjectName    : BEG3-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2466.650          82.135      9.386     88.982            7.102        17833.536      2.834      0.000      0.000    0.03036   25.22320           -0.74677       85.28348         1.274e-05 
  2466.750          82.126      9.386     88.988            7.102        17834.237      2.833      0.000      0.000    0.03031   25.22071           -0.74734       85.28465         1.276e-05 
  2467.200          82.084      9.389     89.017            7.099        17837.392      2.831      0.000      0.000    0.03013   25.20912           -0.74992       85.28996         1.284e-05 
  2468.200          81.991      9.394     89.081            7.092        17844.396      2.825      0.000      0.000    0.02970   25.18237           -0.75574       85.30175         1.303e-05 
  2469.200          81.897      9.399     89.144            7.086        17851.395      2.818      0.000      0.000    0.02924   25.15336           -0.76168       85.31353         1.323e-05 
  2470.200          81.802      9.404     89.208            7.080        17858.387      2.812      0.000      0.000    0.02879   25.12405           -0.76776       85.32531         1.344e-05 
  2471.200          81.707      9.409     89.271            7.073        17865.373      2.806      0.000      0.000    0.02834   25.09443           -0.77396       85.33709         1.365e-05 
  2472.200          81.611      9.415     89.334            7.066        17872.352      2.800      0.000      0.000    0.02790   25.06450           -0.78029       85.34887         1.387e-05 
  2473.200          81.515      9.420     89.398            7.060        17879.325      2.794      0.000      0.000    0.02746   25.03424           -0.78676       85.36064         1.409e-05 
  2474.200          81.417      9.425     89.461            7.053        17886.292      2.789      0.000      0.000    0.02702   25.00365           -0.79336       85.37241         1.432e-05 
  2475.200          81.319      9.430     89.524            7.046        17893.251      2.783      0.000      0.000    0.02659   24.97272           -0.80010       85.38417         1.455e-05 
  2476.200          81.221      9.435     89.587            7.039        17900.204      2.778      0.000      0.000    0.02616   24.94144           -0.80697       85.39593         1.479e-05 
  2477.200          81.121      9.440     89.650            7.032        17907.151      2.772      0.000      0.000    0.02574   24.90981           -0.81398       85.40769         1.503e-05 
  2478.200          81.021      9.445     89.713            7.025        17914.090      2.767      0.000      0.000    0.02532   24.87781           -0.82114       85.41944         1.528e-05 
  2479.200          80.920      9.450     89.776            7.018        17921.022      2.762      0.000      0.000    0.02490   24.84544           -0.82844       85.43119         1.554e-05 
  2480.200          80.818      9.455     89.839            7.010        17927.947      2.757      0.000      0.000    0.02449   24.81268           -0.83588       85.44293         1.580e-05 
  2481.200          80.715      9.460     89.902            7.000        17934.864      2.752      0.000      0.000    0.02408   24.77152           -0.84349       85.45468         1.607e-05 
  2482.200          80.612      9.465     89.964            6.975        17941.764      2.748      0.000      0.000    0.02367   24.68159           -0.85140       85.46647         1.634e-05 
