#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BEG3.ff0691b0-9eec-427c-aca7-0945f2dbf535_Trajectory.txt
# RunID         : PySara
# ObjectID      : ff0691b0-9eec-427c-aca7-0945f2dbf535
# ObjectName    : BEG3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2353.100          90.144      8.697     81.622            7.337        17020.780      3.727      0.000      0.000    0.10807   26.58227           -0.44368       83.97378         3.336e-06 
  2353.200          90.139      8.698     81.628            7.337        17021.503      3.726      0.000      0.000    0.10798   26.58170           -0.44379       83.97489         3.339e-06 
  2353.650          90.113      8.701     81.658            7.336        17024.758      3.721      0.000      0.000    0.10756   26.57909           -0.44427       83.97991         3.352e-06 
  2354.650          90.056      8.708     81.723            7.335        17031.992      3.711      0.000      0.000    0.10661   26.57305           -0.44535       83.99107         3.382e-06 
  2355.650          89.999      8.714     81.789            7.334        17039.224      3.700      0.000      0.000    0.10559   26.56651           -0.44644       84.00223         3.415e-06 
  2356.650          89.942      8.721     81.854            7.333        17046.456      3.689      0.000      0.000    0.10458   26.55991           -0.44756       84.01340         3.448e-06 
  2357.650          89.885      8.728     81.919            7.332        17053.686      3.678      0.000      0.000    0.10357   26.55325           -0.44870       84.02458         3.481e-06 
  2358.650          89.827      8.735     81.985            7.331        17060.916      3.667      0.000      0.000    0.10258   26.54652           -0.44986       84.03577         3.515e-06 
  2359.650          89.769      8.742     82.050            7.330        17068.144      3.656      0.000      0.000    0.10159   26.53974           -0.45104       84.04697         3.550e-06 
  2360.650          89.712      8.748     82.115            7.329        17075.372      3.645      0.000      0.000    0.10061   26.53290           -0.45224       84.05817         3.585e-06 
  2361.650          89.654      8.755     82.181            7.328        17082.598      3.634      0.000      0.000    0.09963   26.52599           -0.45347       84.06938         3.620e-06 
  2362.650          89.596      8.762     82.246            7.327        17089.824      3.623      0.000      0.000    0.09866   26.51902           -0.45471       84.08060         3.655e-06 
  2363.650          89.537      8.769     82.311            7.326        17097.048      3.612      0.000      0.000    0.09770   26.51200           -0.45598       84.09182         3.692e-06 
  2364.650          89.479      8.775     82.377            7.325        17104.272      3.601      0.000      0.000    0.09675   26.50491           -0.45726       84.10306         3.728e-06 
  2365.650          89.420      8.782     82.442            7.324        17111.494      3.590      0.000      0.000    0.09580   26.49776           -0.45857       84.11430         3.765e-06 
