#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BSP-internal.18640ad2-7a65-4804-b9ff-39c7f5f01c19_Trajectory.txt
# RunID         : PySara
# ObjectID      : 18640ad2-7a65-4804-b9ff-39c7f5f01c19
# ObjectName    : BSP-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2490.650          80.066      9.510     90.542            7.078        18005.379      1.165      0.000      0.000    0.01190   24.99476           -0.81366       85.57284         1.791e-05 
  2490.750          80.056      9.510     90.548            7.077        18006.077      1.165      0.000      0.000    0.01188   24.99205           -0.81428       85.57403         1.794e-05 
  2491.200          80.011      9.512     90.577            7.074        18009.221      1.165      0.000      0.000    0.01180   24.97939           -0.81709       85.57938         1.806e-05 
  2492.200          79.910      9.517     90.640            7.067        18016.203      1.165      0.000      0.000    0.01162   24.95012           -0.82342       85.59128         1.834e-05 
  2493.200          79.808      9.522     90.704            7.060        18023.178      1.165      0.000      0.000    0.01143   24.91829           -0.82989       85.60317         1.865e-05 
  2494.200          79.705      9.527     90.767            7.053        18030.146      1.165      0.000      0.000    0.01124   24.88605           -0.83650       85.61506         1.896e-05 
  2495.200          79.602      9.532     90.830            7.046        18037.107      1.165      0.000      0.000    0.01105   24.85337           -0.84326       85.62694         1.928e-05 
  2496.200          79.498      9.537     90.893            7.038        18044.061      1.164      0.000      0.000    0.01087   24.82026           -0.85016       85.63882         1.961e-05 
  2497.200          79.393      9.541     90.956            7.031        18051.008      1.164      0.000      0.000    0.01068   24.78671           -0.85720       85.65069         1.995e-05 
  2498.200          79.288      9.546     91.019            7.023        18057.948      1.164      0.000      0.000    0.01050   24.75270           -0.86440       85.66256         2.030e-05 
  2499.200          79.181      9.551     91.082            7.016        18064.880      1.164      0.000      0.000    0.01032   24.71824           -0.87174       85.67443         2.065e-05 
  2500.200          79.074      9.556     91.145            7.008        18071.805      1.164      0.000      0.000    0.01014   24.68332           -0.87924       85.68628         2.102e-05 
  2501.200          78.966      9.560     91.208            7.000        18078.722      1.164      0.000      0.000    0.00996   24.64792           -0.88690       85.69814         2.139e-05 
  2502.200          78.857      9.565     91.271            6.992        18085.631      1.164      0.000      0.000    0.00979   24.61204           -0.89472       85.70999         2.177e-05 
  2503.200          78.748      9.570     91.333            6.984        18092.532      1.164      0.000      0.000    0.00962   24.57567           -0.90269       85.72183         2.216e-05 
  2504.200          78.637      9.574     91.396            6.976        18099.426      1.164      0.000      0.000    0.00944   24.53880           -0.91084       85.73366         2.257e-05 
  2505.200          78.526      9.579     91.459            6.967        18106.311      1.164      0.000      0.000    0.00928   24.50143           -0.91914       85.74550         2.298e-05 
  2506.200          78.414      9.583     91.521            6.959        18113.188      1.164      0.000      0.000    0.00911   24.46354           -0.92762       85.75732         2.340e-05 
  2507.200          78.301      9.588     91.584            6.950        18120.056      1.164      0.000      0.000    0.00894   24.42513           -0.93628       85.76914         2.383e-05 
  2508.200          78.187      9.593     91.646            6.941        18126.917      1.164      0.000      0.000    0.00878   24.38619           -0.94511       85.78095         2.428e-05 
  2509.200          78.072      9.597     91.708            6.932        18133.768      1.164      0.000      0.000    0.00862   24.34670           -0.95411       85.79276         2.473e-05 
  2510.200          77.956      9.602     91.770            6.923        18140.610      1.164      0.000      0.000    0.00846   24.30586           -0.96330       85.80455         2.520e-05 
  2511.200          77.839      9.606     91.832            6.909        18147.441      1.164      0.000      0.000    0.00830   24.25020           -0.97270       85.81636         2.568e-05 
  2512.200          77.721      9.611     91.894            6.881        18154.252      1.164      0.000      0.000    0.00814   24.15120           -0.98243       85.82817         2.618e-05 
  2513.200          77.605      9.615     91.955            6.578        18160.898      1.164      0.000      0.000    0.00799   23.19298           -0.99363       85.84061         2.668e-05 
