#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BSP.68243c07-bf67-48dd-a108-e7887f700348_Trajectory.txt
# RunID         : PySara
# ObjectID      : 68243c07-bf67-48dd-a108-e7887f700348
# ObjectName    : BSP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2353.100          90.144      8.697     81.622            7.337        17020.780      1.451      0.000      0.000    0.06103   26.58227           -0.44368       83.97378         3.336e-06 
  2353.200          90.139      8.698     81.628            7.337        17021.503      1.451      0.000      0.000    0.06098   26.58180           -0.44379       83.97489         3.339e-06 
  2353.650          90.113      8.701     81.658            7.336        17024.758      1.449      0.000      0.000    0.06074   26.57960           -0.44427       83.97991         3.352e-06 
  2354.650          90.056      8.708     81.723            7.336        17031.992      1.445      0.000      0.000    0.06020   26.57454           -0.44534       83.99107         3.382e-06 
  2355.650          89.999      8.714     81.789            7.335        17039.225      1.442      0.000      0.000    0.05963   26.56905           -0.44643       84.00224         3.415e-06 
  2356.650          89.942      8.721     81.854            7.334        17046.457      1.438      0.000      0.000    0.05906   26.56351           -0.44753       84.01341         3.448e-06 
  2357.650          89.885      8.728     81.919            7.333        17053.689      1.434      0.000      0.000    0.05849   26.55791           -0.44864       84.02460         3.481e-06 
  2358.650          89.827      8.735     81.985            7.333        17060.920      1.430      0.000      0.000    0.05793   26.55225           -0.44977       84.03579         3.515e-06 
  2359.650          89.769      8.742     82.050            7.332        17068.150      1.426      0.000      0.000    0.05737   26.54654           -0.45092       84.04699         3.550e-06 
  2360.650          89.712      8.748     82.115            7.331        17075.380      1.423      0.000      0.000    0.05681   26.54078           -0.45208       84.05820         3.585e-06 
  2361.650          89.654      8.755     82.181            7.330        17082.609      1.419      0.000      0.000    0.05626   26.53496           -0.45326       84.06941         3.620e-06 
  2362.650          89.596      8.762     82.246            7.330        17089.837      1.415      0.000      0.000    0.05572   26.52908           -0.45445       84.08064         3.655e-06 
  2363.650          89.537      8.769     82.311            7.329        17097.064      1.412      0.000      0.000    0.05517   26.52315           -0.45566       84.09187         3.692e-06 
  2364.650          89.479      8.775     82.377            7.328        17104.291      1.408      0.000      0.000    0.05464   26.51716           -0.45689       84.10311         3.728e-06 
  2365.650          89.421      8.782     82.442            7.327        17111.517      1.404      0.000      0.000    0.05410   26.51111           -0.45813       84.11436         3.765e-06 
  2366.650          89.362      8.789     82.507            7.327        17118.743      1.401      0.000      0.000    0.05357   26.50501           -0.45938       84.12561         3.803e-06 
  2367.650          89.303      8.795     82.573            7.326        17125.967      1.397      0.000      0.000    0.05304   26.49885           -0.46065       84.13688         3.841e-06 
  2368.650          89.244      8.802     82.638            7.325        17133.191      1.394      0.000      0.000    0.05252   26.49264           -0.46194       84.14815         3.879e-06 
  2369.650          89.185      8.809     82.703            7.324        17140.414      1.390      0.000      0.000    0.05200   26.48636           -0.46325       84.15943         3.918e-06 
  2370.650          89.126      8.815     82.769            7.323        17147.637      1.387      0.000      0.000    0.05149   26.48003           -0.46457       84.17072         3.957e-06 
  2371.650          89.066      8.822     82.834            7.322        17154.858      1.383      0.000      0.000    0.05097   26.47365           -0.46590       84.18201         3.997e-06 
  2372.650          89.007      8.829     82.899            7.322        17162.079      1.380      0.000      0.000    0.05047   26.46721           -0.46726       84.19331         4.038e-06 
  2373.650          88.947      8.835     82.965            7.321        17169.299      1.376      0.000      0.000    0.04996   26.46071           -0.46863       84.20462         4.078e-06 
  2374.650          88.887      8.842     83.030            7.320        17176.519      1.373      0.000      0.000    0.04946   26.45415           -0.47002       84.21594         4.120e-06 
  2375.650          88.827      8.848     83.095            7.319        17183.737      1.369      0.000      0.000    0.04896   26.44753           -0.47142       84.22727         4.162e-06 
  2376.650          88.766      8.855     83.160            7.318        17190.955      1.366      0.000      0.000    0.04847   26.44086           -0.47284       84.23860         4.204e-06 
  2377.650          88.706      8.861     83.226            7.317        17198.172      1.363      0.000      0.000    0.04798   26.43413           -0.47428       84.24995         4.247e-06 
  2378.650          88.645      8.868     83.291            7.316        17205.388      1.359      0.000      0.000    0.04750   26.42734           -0.47574       84.26130         4.291e-06 
  2379.650          88.584      8.874     83.356            7.316        17212.604      1.356      0.000      0.000    0.04701   26.42049           -0.47721       84.27265         4.335e-06 
  2380.650          88.523      8.881     83.421            7.315        17219.818      1.353      0.000      0.000    0.04653   26.41358           -0.47871       84.28402         4.380e-06 
  2381.650          88.462      8.887     83.487            7.314        17227.032      1.349      0.000      0.000    0.04606   26.40662           -0.48022       84.29539         4.425e-06 
  2382.650          88.401      8.894     83.552            7.313        17234.245      1.346      0.000      0.000    0.04559   26.39960           -0.48174       84.30677         4.471e-06 
  2383.650          88.339      8.900     83.617            7.312        17241.457      1.343      0.000      0.000    0.04512   26.39251           -0.48329       84.31816         4.518e-06 
  2384.650          88.277      8.907     83.683            7.311        17248.668      1.340      0.000      0.000    0.04465   26.38537           -0.48485       84.32956         4.565e-06 
  2385.650          88.215      8.913     83.748            7.310        17255.879      1.336      0.000      0.000    0.04419   26.37817           -0.48644       84.34096         4.613e-06 
  2386.650          88.153      8.920     83.813            7.309        17263.088      1.333      0.000      0.000    0.04373   26.37091           -0.48804       84.35237         4.662e-06 
  2387.650          88.091      8.926     83.878            7.308        17270.297      1.330      0.000      0.000    0.04328   26.36359           -0.48966       84.36379         4.711e-06 
  2388.650          88.028      8.933     83.943            7.307        17277.505      1.327      0.000      0.000    0.04283   26.35621           -0.49130       84.37521         4.761e-06 
  2389.650          87.966      8.939     84.009            7.306        17284.712      1.324      0.000      0.000    0.04238   26.34877           -0.49295       84.38665         4.811e-06 
  2390.650          87.903      8.945     84.074            7.305        17291.918      1.321      0.000      0.000    0.04193   26.34127           -0.49463       84.39809         4.862e-06 
  2391.650          87.839      8.952     84.139            7.304        17299.123      1.318      0.000      0.000    0.04149   26.33371           -0.49633       84.40954         4.914e-06 
  2392.650          87.776      8.958     84.204            7.303        17306.327      1.315      0.000      0.000    0.04105   26.32608           -0.49804       84.42099         4.967e-06 
  2393.650          87.713      8.964     84.269            7.302        17313.531      1.312      0.000      0.000    0.04062   26.31840           -0.49978       84.43245         5.020e-06 
  2394.650          87.649      8.971     84.335            7.301        17320.733      1.309      0.000      0.000    0.04018   26.31066           -0.50154       84.44392         5.074e-06 
  2395.650          87.585      8.977     84.400            7.300        17327.935      1.306      0.000      0.000    0.03976   26.30285           -0.50331       84.45540         5.129e-06 
  2396.650          87.520      8.983     84.465            7.299        17335.135      1.303      0.000      0.000    0.03933   26.29498           -0.50511       84.46689         5.185e-06 
  2397.650          87.456      8.989     84.530            7.298        17342.335      1.300      0.000      0.000    0.03891   26.28705           -0.50692       84.47838         5.241e-06 
  2398.650          87.391      8.996     84.595            7.297        17349.534      1.297      0.000      0.000    0.03849   26.27906           -0.50876       84.48988         5.299e-06 
  2399.650          87.326      9.002     84.661            7.296        17356.731      1.295      0.000      0.000    0.03807   26.27101           -0.51062       84.50138         5.357e-06 
  2400.650          87.261      9.008     84.726            7.295        17363.928      1.292      0.000      0.000    0.03766   26.26290           -0.51250       84.51290         5.416e-06 
  2401.650          87.196      9.014     84.791            7.294        17371.124      1.289      0.000      0.000    0.03725   26.25472           -0.51440       84.52442         5.475e-06 
  2402.650          87.130      9.021     84.856            7.293        17378.319      1.286      0.000      0.000    0.03684   26.24648           -0.51632       84.53595         5.536e-06 
  2403.650          87.064      9.027     84.921            7.292        17385.513      1.284      0.000      0.000    0.03644   26.23817           -0.51826       84.54748         5.598e-06 
  2404.650          86.998      9.033     84.986            7.291        17392.706      1.281      0.000      0.000    0.03604   26.22980           -0.52022       84.55902         5.660e-06 
  2405.650          86.932      9.039     85.051            7.290        17399.897      1.278      0.000      0.000    0.03564   26.22137           -0.52221       84.57057         5.723e-06 
  2406.650          86.866      9.045     85.116            7.289        17407.088      1.276      0.000      0.000    0.03524   26.21288           -0.52422       84.58213         5.788e-06 
  2407.650          86.799      9.051     85.182            7.288        17414.278      1.273      0.000      0.000    0.03485   26.20432           -0.52625       84.59369         5.853e-06 
  2408.650          86.732      9.057     85.247            7.286        17421.467      1.271      0.000      0.000    0.03446   26.19570           -0.52830       84.60526         5.919e-06 
  2409.650          86.664      9.064     85.312            7.285        17428.654      1.268      0.000      0.000    0.03408   26.18701           -0.53038       84.61684         5.986e-06 
  2410.650          86.597      9.070     85.377            7.284        17435.841      1.266      0.000      0.000    0.03369   26.17826           -0.53247       84.62843         6.054e-06 
  2411.650          86.529      9.076     85.442            7.283        17443.027      1.263      0.000      0.000    0.03331   26.16944           -0.53459       84.64002         6.123e-06 
  2412.650          86.461      9.082     85.507            7.282        17450.211      1.261      0.000      0.000    0.03294   26.16055           -0.53674       84.65162         6.194e-06 
  2413.650          86.393      9.088     85.572            7.281        17457.394      1.258      0.000      0.000    0.03256   26.15160           -0.53891       84.66322         6.265e-06 
  2414.650          86.324      9.094     85.637            7.279        17464.577      1.256      0.000      0.000    0.03219   26.14259           -0.54110       84.67483         6.337e-06 
  2415.650          86.255      9.100     85.702            7.278        17471.758      1.253      0.000      0.000    0.03182   26.13351           -0.54331       84.68645         6.411e-06 
  2416.650          86.186      9.106     85.767            7.277        17478.938      1.251      0.000      0.000    0.03146   26.12436           -0.54555       84.69808         6.486e-06 
