#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Compound_of-_IFring-PLM-SVM.17068167775374247114_Trajectory.txt
# RunID         : PySara
# ObjectID      : 17068167775374247114
# ObjectName    : Compound_of-_IFring-PLM-SVM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2150.550          99.520      7.060     68.422            7.355        15553.954      0.917      0.000      0.000    0.03035   26.59877           -0.29298       81.92047         6.478e-07 
  2150.650          99.516      7.061     68.428            7.355        15554.678      0.917      0.000      0.000    0.03033   26.59907           -0.29304       81.92137         6.481e-07 
  2151.100          99.500      7.065     68.457            7.355        15557.938      0.916      0.000      0.000    0.03025   26.60049           -0.29330       81.92543         6.500e-07 
  2152.100          99.462      7.075     68.522            7.355        15565.180      0.915      0.000      0.000    0.03006   26.60372           -0.29388       81.93445         6.541e-07 
  2153.100          99.424      7.084     68.587            7.355        15572.423      0.914      0.000      0.000    0.02986   26.60715           -0.29446       81.94349         6.586e-07 
  2154.100          99.386      7.093     68.652            7.355        15579.666      0.914      0.000      0.000    0.02966   26.61054           -0.29505       81.95254         6.632e-07 
  2155.100          99.348      7.102     68.717            7.355        15586.909      0.913      0.000      0.000    0.02946   26.61389           -0.29563       81.96160         6.678e-07 
  2156.100          99.310      7.111     68.782            7.355        15594.151      0.912      0.000      0.000    0.02926   26.61720           -0.29622       81.97067         6.724e-07 
  2157.100          99.272      7.120     68.847            7.355        15601.394      0.911      0.000      0.000    0.02906   26.62047           -0.29680       81.97975         6.770e-07 
  2158.100          99.234      7.130     68.912            7.355        15608.637      0.910      0.000      0.000    0.02886   26.62369           -0.29739       81.98885         6.818e-07 
  2159.100          99.196      7.139     68.977            7.355        15615.880      0.909      0.000      0.000    0.02866   26.62688           -0.29798       81.99796         6.865e-07 
  2160.100          99.158      7.148     69.042            7.355        15623.123      0.908      0.000      0.000    0.02847   26.63002           -0.29857       82.00708         6.913e-07 
  2161.100          99.119      7.157     69.106            7.355        15630.366      0.907      0.000      0.000    0.02827   26.63313           -0.29915       82.01621         6.961e-07 
  2162.100          99.081      7.166     69.171            7.355        15637.609      0.907      0.000      0.000    0.02808   26.63619           -0.29975       82.02536         7.010e-07 
  2163.100          99.042      7.175     69.236            7.355        15644.852      0.906      0.000      0.000    0.02789   26.63922           -0.30034       82.03451         7.059e-07 
  2164.100          99.004      7.184     69.301            7.355        15652.095      0.905      0.000      0.000    0.02770   26.64220           -0.30093       82.04368         7.109e-07 
  2165.100          98.965      7.193     69.366            7.355        15659.338      0.904      0.000      0.000    0.02751   26.64515           -0.30152       82.05286         7.159e-07 
  2166.100          98.926      7.202     69.431            7.355        15666.581      0.903      0.000      0.000    0.02732   26.64805           -0.30212       82.06205         7.209e-07 
  2167.100          98.887      7.211     69.496            7.355        15673.824      0.903      0.000      0.000    0.02713   26.65091           -0.30271       82.07126         7.260e-07 
  2168.100          98.849      7.220     69.561            7.355        15681.067      0.902      0.000      0.000    0.02694   26.65373           -0.30331       82.08047         7.311e-07 
  2169.100          98.810      7.229     69.626            7.355        15688.310      0.901      0.000      0.000    0.02676   26.65652           -0.30390       82.08970         7.363e-07 
  2170.100          98.771      7.238     69.691            7.355        15695.553      0.900      0.000      0.000    0.02657   26.65926           -0.30450       82.09894         7.415e-07 
  2171.100          98.731      7.247     69.756            7.355        15702.796      0.899      0.000      0.000    0.02639   26.66196           -0.30510       82.10819         7.468e-07 
  2172.100          98.692      7.256     69.821            7.355        15710.039      0.899      0.000      0.000    0.02620   26.66462           -0.30570       82.11745         7.521e-07 
  2173.100          98.653      7.265     69.886            7.355        15717.282      0.898      0.000      0.000    0.02602   26.66724           -0.30630       82.12673         7.574e-07 
  2174.100          98.614      7.274     69.951            7.355        15724.526      0.897      0.000      0.000    0.02584   26.66982           -0.30690       82.13602         7.628e-07 
  2175.100          98.574      7.283     70.016            7.355        15731.769      0.896      0.000      0.000    0.02566   26.67236           -0.30750       82.14531         7.683e-07 
  2176.100          98.535      7.292     70.081            7.355        15739.012      0.896      0.000      0.000    0.02548   26.67487           -0.30810       82.15462         7.738e-07 
  2177.100          98.495      7.301     70.146            7.355        15746.255      0.895      0.000      0.000    0.02530   26.67733           -0.30871       82.16395         7.793e-07 
  2178.100          98.455      7.310     70.211            7.355        15753.498      0.894      0.000      0.000    0.02512   26.67975           -0.30931       82.17328         7.849e-07 
