#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EAIM-internal.30623271-c50e-43a6-b8ba-4335d896856c_Trajectory.txt
# RunID         : PySara
# ObjectID      : 30623271-c50e-43a6-b8ba-4335d896856c
# ObjectName    : EAIM-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2504.650          78.717      9.578     91.443            7.034        18104.539      1.104      0.000      0.000    0.00747   24.74612           -0.87468       85.74178         2.232e-05 
  2504.750          78.706      9.578     91.449            7.033        18105.234      1.104      0.000      0.000    0.00746   24.74303           -0.87539       85.74298         2.236e-05 
  2505.200          78.658      9.580     91.477            7.030        18108.359      1.104      0.000      0.000    0.00740   24.72868           -0.87859       85.74834         2.252e-05 
  2506.200          78.550      9.585     91.540            7.022        18115.298      1.104      0.000      0.000    0.00728   24.69548           -0.88581       85.76026         2.289e-05 
  2507.200          78.441      9.590     91.603            7.014        18122.229      1.104      0.000      0.000    0.00716   24.65937           -0.89320       85.77217         2.330e-05 
  2508.200          78.331      9.594     91.666            7.005        18129.152      1.104      0.000      0.000    0.00703   24.62278           -0.90074       85.78408         2.372e-05 
  2509.200          78.221      9.599     91.729            6.997        18136.067      1.104      0.000      0.000    0.00691   24.58570           -0.90845       85.79598         2.415e-05 
  2510.200          78.109      9.603     91.792            6.989        18142.974      1.104      0.000      0.000    0.00678   24.54813           -0.91633       85.80787         2.459e-05 
  2511.200          77.997      9.608     91.854            6.980        18149.873      1.104      0.000      0.000    0.00666   24.51004           -0.92438       85.81976         2.504e-05 
  2512.200          77.884      9.612     91.917            6.971        18156.763      1.104      0.000      0.000    0.00654   24.47144           -0.93260       85.83164         2.550e-05 
  2513.200          77.770      9.617     91.980            6.962        18163.645      1.104      0.000      0.000    0.00642   24.43232           -0.94100       85.84352         2.597e-05 
  2514.200          77.655      9.621     92.042            6.953        18170.518      1.104      0.000      0.000    0.00630   24.39266           -0.94958       85.85539         2.646e-05 
  2515.200          77.540      9.626     92.104            6.944        18177.382      1.104      0.000      0.000    0.00619   24.35246           -0.95835       85.86725         2.696e-05 
  2516.200          77.423      9.630     92.167            6.935        18184.237      1.104      0.000      0.000    0.00607   24.31171           -0.96730       85.87911         2.747e-05 
  2517.200          77.305      9.635     92.229            6.926        18191.082      1.104      0.000      0.000    0.00596   24.27039           -0.97643       85.89096         2.800e-05 
  2518.200          77.187      9.639     92.291            6.916        18197.919      1.104      0.000      0.000    0.00584   24.22851           -0.98576       85.90280         2.854e-05 
  2519.200          77.067      9.644     92.353            6.906        18204.746      1.104      0.000      0.000    0.00573   24.18604           -0.99529       85.91464         2.909e-05 
  2520.200          76.947      9.648     92.415            6.896        18211.563      1.104      0.000      0.000    0.00562   24.14298           -1.00502       85.92647         2.966e-05 
  2521.200          76.826      9.652     92.477            6.886        18218.371      1.104      0.000      0.000    0.00551   24.09932           -1.01495       85.93829         3.025e-05 
  2522.200          76.703      9.657     92.539            6.876        18225.169      1.104      0.000      0.000    0.00541   24.05505           -1.02508       85.95010         3.085e-05 
  2523.200          76.580      9.661     92.600            6.865        18231.956      1.104      0.000      0.000    0.00530   24.01016           -1.03543       85.96190         3.147e-05 
  2524.200          76.455      9.665     92.662            6.855        18238.733      1.104      0.000      0.000    0.00519   23.96463           -1.04599       85.97370         3.210e-05 
  2525.200          76.329      9.670     92.723            6.844        18245.500      1.104      0.000      0.000    0.00509   23.91845           -1.05677       85.98549         3.276e-05 
  2526.200          76.202      9.674     92.785            6.833        18252.256      1.104      0.000      0.000    0.00499   23.87161           -1.06778       85.99727         3.343e-05 
  2527.200          76.075      9.678     92.846            6.820        18259.000      1.104      0.000      0.000    0.00489   23.81723           -1.07902       86.00905         3.412e-05 
  2528.200          75.946      9.682     92.907            6.799        18265.728      1.104      0.000      0.000    0.00479   23.73995           -1.09054       86.02084         3.483e-05 
  2529.200          75.816      9.687     92.968            6.757        18272.425      1.104      0.000      0.000    0.00469   23.59438           -1.10253       86.03270         3.556e-05 
  2529.315          75.802      9.687     92.975            5.949        18273.145      1.104      0.000      0.000    0.00467   21.05870           -1.09712       86.03841         3.572e-05 
