#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Gyrosbl.43089cf7-03c5-4130-a53f-e1761f4b1c62_Trajectory.txt
# RunID         : PySara
# ObjectID      : 43089cf7-03c5-4130-a53f-e1761f4b1c62
# ObjectName    : Gyrosbl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2353.100          90.144      8.697     81.622            7.337        17020.780      2.364      0.000      0.000    0.08170   26.58227           -0.44368       83.97378         3.336e-06 
  2353.200          90.139      8.698     81.628            7.337        17021.503      2.363      0.000      0.000    0.08163   26.58172           -0.44379       83.97489         3.339e-06 
  2353.650          90.113      8.701     81.658            7.336        17024.758      2.360      0.000      0.000    0.08132   26.57918           -0.44427       83.97991         3.352e-06 
  2354.650          90.056      8.708     81.723            7.335        17031.992      2.354      0.000      0.000    0.08060   26.57331           -0.44534       83.99107         3.382e-06 
  2355.650          89.999      8.714     81.789            7.334        17039.224      2.347      0.000      0.000    0.07983   26.56695           -0.44644       84.00223         3.415e-06 
  2356.650          89.942      8.721     81.854            7.333        17046.456      2.340      0.000      0.000    0.07906   26.56053           -0.44756       84.01341         3.448e-06 
  2357.650          89.885      8.728     81.919            7.332        17053.687      2.333      0.000      0.000    0.07830   26.55405           -0.44869       84.02459         3.481e-06 
  2358.650          89.827      8.735     81.985            7.331        17060.916      2.327      0.000      0.000    0.07755   26.54751           -0.44985       84.03577         3.515e-06 
  2359.650          89.769      8.742     82.050            7.330        17068.145      2.320      0.000      0.000    0.07680   26.54091           -0.45102       84.04697         3.550e-06 
  2360.650          89.712      8.748     82.115            7.329        17075.373      2.313      0.000      0.000    0.07606   26.53425           -0.45222       84.05817         3.585e-06 
