#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.IASI-DPS-internal.122eb294-6444-456e-9a34-b927575ac0d3_Trajectory.txt
# RunID         : PySara
# ObjectID      : 122eb294-6444-456e-9a34-b927575ac0d3
# ObjectName    : IASI-DPS-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2599.750          67.863      9.963     97.470            6.282        18767.189      1.196      0.000      0.000    0.00223   21.33821           -1.53532       86.90959         1.197e-04 
  2599.850          67.846      9.963     97.476            6.278        18767.810      1.196      0.000      0.000    0.00223   21.32408           -1.53765       86.91075         1.199e-04 
  2600.300          67.770      9.964     97.501            6.259        18770.600      1.196      0.000      0.000    0.00220   21.25830           -1.54829       86.91599         1.211e-04 
  2601.300          67.600      9.967     97.558            6.217        18776.770      1.196      0.000      0.000    0.00216   21.10640           -1.57264       86.92758         1.238e-04 
  2602.300          67.429      9.970     97.613            6.174        18782.898      1.196      0.000      0.000    0.00210   20.94155           -1.59798       86.93910         1.268e-04 
  2603.300          67.256      9.973     97.669            6.131        18788.983      1.196      0.000      0.000    0.00205   20.77492           -1.62435       86.95055         1.300e-04 
  2604.300          67.081      9.976     97.724            6.087        18795.026      1.196      0.000      0.000    0.00200   20.60650           -1.65176       86.96193         1.332e-04 
  2605.300          66.905      9.979     97.778            6.043        18801.025      1.196      0.000      0.000    0.00196   20.43629           -1.68023       86.97324         1.365e-04 
  2606.300          66.727      9.982     97.833            5.999        18806.981      1.196      0.000      0.000    0.00191   20.26430           -1.70978       86.98448         1.399e-04 
  2607.300          66.547      9.985     97.887            5.954        18812.892      1.196      0.000      0.000    0.00186   20.09052           -1.74043       86.99564         1.434e-04 
  2608.300          66.365      9.987     97.940            5.908        18818.759      1.196      0.000      0.000    0.00182   19.91496           -1.77221       87.00673         1.470e-04 
  2609.300          66.181      9.990     97.993            5.862        18824.580      1.196      0.000      0.000    0.00177   19.73762           -1.80514       87.01774         1.508e-04 
  2610.300          65.996      9.993     98.046            5.811        18830.354      1.196      0.000      0.000    0.00173   19.54378           -1.83933       87.02871         1.546e-04 
  2611.300          65.810      9.996     98.097            5.678        18836.036      1.196      0.000      0.000    0.00168   19.10665           -1.87636       87.04010         1.586e-04 
