#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.MHS-MPU-internal.bccfff9a-9117-41e8-934d-f2f5d29f1e79_Trajectory.txt
# RunID         : PySara
# ObjectID      : bccfff9a-9117-41e8-934d-f2f5d29f1e79
# ObjectName    : MHS-MPU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2597.750          68.180      9.955     97.332            6.133        18751.966      1.366      0.000      0.000    0.00269   20.86861           -1.54901       86.88452         1.144e-04 
  2597.850          68.164      9.955     97.337            6.127        18752.573      1.366      0.000      0.000    0.00269   20.84835           -1.55169       86.88568         1.146e-04 
  2598.300          68.089      9.957     97.362            6.099        18755.293      1.366      0.000      0.000    0.00266   20.75419           -1.56394       86.89093         1.157e-04 
  2599.300          67.922      9.960     97.417            6.036        18761.294      1.366      0.000      0.000    0.00260   20.53786           -1.59226       86.90252         1.183e-04 
  2600.300          67.753      9.963     97.471            5.973        18767.232      1.366      0.000      0.000    0.00254   20.30485           -1.62213       86.91400         1.212e-04 
  2601.300          67.584      9.965     97.524            5.909        18773.108      1.366      0.000      0.000    0.00248   20.07112           -1.65355       86.92539         1.241e-04 
  2602.300          67.412      9.968     97.577            5.846        18778.921      1.366      0.000      0.000    0.00242   19.83672           -1.68657       86.93667         1.271e-04 
  2603.300          67.239      9.971     97.630            5.782        18784.672      1.366      0.000      0.000    0.00236   19.60168           -1.72121       86.94785         1.303e-04 
  2604.300          67.065      9.974     97.681            5.718        18790.359      1.366      0.000      0.000    0.00231   19.36604           -1.75750       86.95892         1.335e-04 
  2605.300          66.889      9.976     97.732            5.598        18795.955      1.366      0.000      0.000    0.00225   18.96467           -1.79641       86.97039         1.368e-04 
