#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PDU2.ac05789d-ceab-4104-872c-4ee319af1a22_Trajectory.txt
# RunID         : PySara
# ObjectID      : ac05789d-ceab-4104-872c-4ee319af1a22
# ObjectName    : PDU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      1.572      0.000      0.000    0.00495   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.076        18435.133      1.572      0.000      0.000    0.00494   24.62120           -0.93460       86.31182         4.249e-05 
  2550.750          74.661      9.787     94.476            7.072        18438.279      1.572      0.000      0.000    0.00490   24.60639           -0.93744       86.31735         4.280e-05 
  2551.750          74.545      9.791     94.540            7.064        18445.264      1.572      0.000      0.000    0.00482   24.57216           -0.94386       86.32964         4.354e-05 
  2552.750          74.429      9.795     94.603            7.055        18452.240      1.572      0.000      0.000    0.00473   24.53496           -0.95045       86.34192         4.435e-05 
  2553.750          74.311      9.799     94.667            7.046        18459.208      1.572      0.000      0.000    0.00464   24.49729           -0.95721       86.35419         4.518e-05 
  2554.750          74.193      9.803     94.730            7.037        18466.167      1.572      0.000      0.000    0.00456   24.45912           -0.96416       86.36646         4.603e-05 
  2555.750          74.074      9.807     94.793            7.028        18473.118      1.572      0.000      0.000    0.00447   24.42046           -0.97128       86.37872         4.691e-05 
  2556.750          73.955      9.811     94.857            7.019        18480.059      1.572      0.000      0.000    0.00439   24.38128           -0.97858       86.39098         4.780e-05 
  2557.750          73.835      9.815     94.920            7.010        18486.992      1.572      0.000      0.000    0.00431   24.34157           -0.98607       86.40323         4.871e-05 
  2558.750          73.714      9.819     94.983            7.000        18493.915      1.572      0.000      0.000    0.00423   24.30132           -0.99375       86.41547         4.965e-05 
  2559.750          73.592      9.823     95.046            6.991        18500.829      1.572      0.000      0.000    0.00415   24.26051           -1.00162       86.42771         5.061e-05 
  2560.750          73.469      9.827     95.108            6.981        18507.734      1.572      0.000      0.000    0.00407   24.21913           -1.00969       86.43994         5.159e-05 
  2561.750          73.346      9.830     95.171            6.971        18514.629      1.572      0.000      0.000    0.00399   24.17716           -1.01796       86.45217         5.260e-05 
  2562.750          73.222      9.834     95.234            6.961        18521.514      1.572      0.000      0.000    0.00391   24.13459           -1.02644       86.46439         5.363e-05 
  2563.750          73.096      9.838     95.296            6.950        18528.389      1.572      0.000      0.000    0.00384   24.09140           -1.03512       86.47660         5.469e-05 
  2564.750          72.970      9.842     95.359            6.940        18535.254      1.572      0.000      0.000    0.00376   24.04757           -1.04401       86.48880         5.578e-05 
  2565.750          72.844      9.846     95.421            6.929        18542.108      1.572      0.000      0.000    0.00369   24.00309           -1.05312       86.50100         5.690e-05 
  2566.750          72.716      9.849     95.483            6.918        18548.952      1.572      0.000      0.000    0.00362   23.95794           -1.06245       86.51318         5.804e-05 
  2567.750          72.587      9.853     95.546            6.907        18555.785      1.572      0.000      0.000    0.00354   23.91211           -1.07201       86.52536         5.922e-05 
  2568.750          72.457      9.857     95.608            6.896        18562.608      1.572      0.000      0.000    0.00348   23.86556           -1.08179       86.53753         6.025e-05 
  2569.750          72.327      9.861     95.670            6.885        18569.419      1.572      0.000      0.000    0.00341   23.81823           -1.09181       86.54970         6.149e-05 
  2570.750          72.195      9.864     95.732            6.873        18576.219      1.572      0.000      0.000    0.00334   23.76989           -1.10206       86.56185         6.275e-05 
  2571.750          72.062      9.868     95.793            6.861        18583.007      1.572      0.000      0.000    0.00328   23.72054           -1.11256       86.57400         6.405e-05 
  2572.750          71.929      9.872     95.855            6.849        18589.784      1.572      0.000      0.000    0.00321   23.67015           -1.12330       86.58613         6.539e-05 
  2573.750          71.794      9.875     95.917            6.837        18596.549      1.572      0.000      0.000    0.00314   23.61871           -1.13430       86.59826         6.676e-05 
  2574.750          71.658      9.879     95.978            6.824        18603.302      1.572      0.000      0.000    0.00308   23.56620           -1.14555       86.61037         6.816e-05 
  2575.750          71.521      9.882     96.039            6.812        18610.043      1.572      0.000      0.000    0.00301   23.51260           -1.15707       86.62248         6.961e-05 
  2576.750          71.383      9.886     96.101            6.799        18616.771      1.572      0.000      0.000    0.00295   23.45789           -1.16885       86.63457         7.109e-05 
  2577.750          71.243      9.890     96.162            6.786        18623.486      1.572      0.000      0.000    0.00289   23.40205           -1.18090       86.64666         7.261e-05 
  2578.750          71.103      9.893     96.223            6.772        18630.189      1.572      0.000      0.000    0.00283   23.34506           -1.19324       86.65873         7.417e-05 
  2579.750          70.961      9.897     96.284            6.759        18636.878      1.572      0.000      0.000    0.00277   23.28689           -1.20586       86.67079         7.578e-05 
  2580.750          70.819      9.900     96.345            6.745        18643.554      1.572      0.000      0.000    0.00271   23.22754           -1.21877       86.68283         7.743e-05 
  2581.750          70.674      9.904     96.405            6.731        18650.216      1.572      0.000      0.000    0.00265   23.16697           -1.23197       86.69487         7.913e-05 
  2582.750          70.529      9.907     96.466            6.717        18656.864      1.572      0.000      0.000    0.00259   23.10517           -1.24548       86.70689         8.087e-05 
  2583.750          70.382      9.911     96.526            6.702        18663.498      1.572      0.000      0.000    0.00254   23.04211           -1.25930       86.71890         8.267e-05 
  2584.750          70.234      9.914     96.586            6.687        18670.117      1.572      0.000      0.000    0.00248   22.97777           -1.27343       86.73089         8.451e-05 
  2585.750          70.085      9.917     96.646            6.672        18676.722      1.572      0.000      0.000    0.00243   22.91075           -1.28789       86.74287         8.641e-05 
  2586.750          69.935      9.921     96.706            6.655        18683.311      1.572      0.000      0.000    0.00237   22.84065           -1.30269       86.75484         8.836e-05 
  2587.750          69.783      9.924     96.766            6.638        18689.883      1.572      0.000      0.000    0.00232   22.76727           -1.31786       86.76680         9.037e-05 
  2588.750          69.629      9.927     96.826            6.620        18696.438      1.572      0.000      0.000    0.00227   22.69040           -1.33340       86.77874         9.243e-05 
  2589.750          69.474      9.931     96.886            6.601        18702.975      1.572      0.000      0.000    0.00222   22.60980           -1.34936       86.79067         9.456e-05 
  2590.750          69.318      9.934     96.945            6.580        18709.492      1.572      0.000      0.000    0.00217   22.52521           -1.36574       86.80258         9.675e-05 
  2591.750          69.161      9.937     97.004            6.559        18715.989      1.572      0.000      0.000    0.00212   22.43635           -1.38257       86.81448         9.900e-05 
  2592.750          69.002      9.941     97.063            6.536        18722.464      1.572      0.000      0.000    0.00207   22.34289           -1.39989       86.82636         1.013e-04 
  2593.750          68.841      9.944     97.122            6.512        18728.916      1.572      0.000      0.000    0.00202   22.24450           -1.41772       86.83821         1.037e-04 
  2594.750          68.680      9.947     97.180            6.487        18735.344      1.572      0.000      0.000    0.00198   22.14077           -1.43610       86.85005         1.062e-04 
  2595.750          68.516      9.950     97.239            6.460        18741.746      1.572      0.000      0.000    0.00193   22.03128           -1.45506       86.86186         1.087e-04 
  2596.750          68.352      9.953     97.297            6.431        18748.121      1.572      0.000      0.000    0.00189   21.91554           -1.47465       86.87365         1.113e-04 
  2597.750          68.185      9.956     97.354            6.401        18754.466      1.572      0.000      0.000    0.00184   21.79302           -1.49492       86.88540         1.140e-04 
  2598.750          68.018      9.960     97.412            6.368        18760.780      1.572      0.000      0.000    0.00180   21.66308           -1.51590       86.89713         1.167e-04 
  2599.750          67.848      9.963     97.469            6.333        18767.061      1.572      0.000      0.000    0.00176   21.52505           -1.53767       86.90882         1.195e-04 
  2600.750          67.678      9.966     97.526            6.295        18773.305      1.572      0.000      0.000    0.00171   21.37813           -1.56027       86.92048         1.225e-04 
  2601.750          67.506      9.969     97.582            6.254        18779.511      1.572      0.000      0.000    0.00167   21.22144           -1.58378       86.93210         1.255e-04 
  2602.750          67.332      9.972     97.639            6.211        18785.676      1.572      0.000      0.000    0.00163   21.05393           -1.60829       86.94368         1.286e-04 
