#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.RSJD-Internal.5bacc617-4464-48a2-83cf-6fc1f26debe1_Trajectory.txt
# RunID         : PySara
# ObjectID      : 5bacc617-4464-48a2-83cf-6fc1f26debe1
# ObjectName    : RSJD-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2509.650          78.219      9.601     91.763            7.011        18139.771      1.672      0.000      0.000    0.00511   24.63018           -0.90022       85.80218         2.421e-05 
  2509.750          78.208      9.602     91.769            7.010        18140.464      1.672      0.000      0.000    0.00511   24.62684           -0.90097       85.80337         2.425e-05 
  2510.200          78.158      9.604     91.797            7.006        18143.578      1.672      0.000      0.000    0.00507   24.61128           -0.90438       85.80874         2.442e-05 
  2511.200          78.047      9.608     91.860            6.998        18150.494      1.672      0.000      0.000    0.00499   24.57529           -0.91207       85.82065         2.483e-05 
  2512.200          77.935      9.613     91.923            6.989        18157.402      1.672      0.000      0.000    0.00490   24.53615           -0.91995       85.83256         2.529e-05 
  2513.200          77.823      9.617     91.986            6.980        18164.300      1.672      0.000      0.000    0.00481   24.49648           -0.92800       85.84446         2.575e-05 
  2514.200          77.709      9.622     92.048            6.970        18171.190      1.672      0.000      0.000    0.00472   24.45627           -0.93623       85.85636         2.623e-05 
  2515.200          77.595      9.626     92.111            6.961        18178.071      1.672      0.000      0.000    0.00463   24.41553           -0.94466       85.86825         2.672e-05 
  2516.200          77.480      9.631     92.173            6.952        18184.942      1.672      0.000      0.000    0.00455   24.37423           -0.95326       85.88013         2.722e-05 
  2517.200          77.364      9.635     92.235            6.942        18191.804      1.672      0.000      0.000    0.00446   24.33237           -0.96207       85.89201         2.774e-05 
  2518.200          77.247      9.640     92.298            6.932        18198.657      1.672      0.000      0.000    0.00438   24.28995           -0.97106       85.90387         2.826e-05 
  2519.200          77.129      9.644     92.360            6.922        18205.500      1.672      0.000      0.000    0.00430   24.24694           -0.98026       85.91573         2.881e-05 
  2520.200          77.010      9.649     92.422            6.912        18212.333      1.672      0.000      0.000    0.00422   24.20333           -0.98966       85.92759         2.936e-05 
  2521.200          76.890      9.653     92.484            6.902        18219.156      1.672      0.000      0.000    0.00414   24.15913           -0.99927       85.93943         2.994e-05 
  2522.200          76.769      9.657     92.546            6.891        18225.970      1.672      0.000      0.000    0.00406   24.11432           -1.00908       85.95127         3.052e-05 
  2523.200          76.647      9.662     92.608            6.881        18232.772      1.672      0.000      0.000    0.00398   24.06888           -1.01911       85.96310         3.113e-05 
  2524.200          76.524      9.666     92.670            6.870        18239.565      1.672      0.000      0.000    0.00390   24.02281           -1.02936       85.97492         3.175e-05 
  2525.200          76.400      9.670     92.731            6.859        18246.346      1.672      0.000      0.000    0.00382   23.97610           -1.03983       85.98673         3.239e-05 
  2526.200          76.275      9.674     92.793            6.848        18253.117      1.672      0.000      0.000    0.00375   23.92872           -1.05053       85.99853         3.304e-05 
  2527.200          76.149      9.679     92.854            6.837        18259.877      1.672      0.000      0.000    0.00367   23.88068           -1.06145       86.01033         3.371e-05 
  2528.200          76.022      9.683     92.916            6.825        18266.626      1.672      0.000      0.000    0.00360   23.83196           -1.07261       86.02211         3.441e-05 
  2529.200          75.894      9.687     92.977            6.813        18273.363      1.672      0.000      0.000    0.00353   23.78255           -1.08401       86.03389         3.512e-05 
  2530.200          75.764      9.691     93.038            6.801        18280.089      1.672      0.000      0.000    0.00345   23.73243           -1.09565       86.04565         3.586e-05 
  2531.200          75.634      9.696     93.099            6.789        18286.802      1.672      0.000      0.000    0.00338   23.68159           -1.10755       86.05741         3.661e-05 
  2532.200          75.502      9.700     93.160            6.775        18293.504      1.672      0.000      0.000    0.00331   23.62576           -1.11969       86.06916         3.739e-05 
  2533.200          75.369      9.704     93.221            6.755        18300.188      1.672      0.000      0.000    0.00324   23.54951           -1.13214       86.08094         3.819e-05 
  2534.200          75.235      9.708     93.281            6.719        18306.845      1.672      0.000      0.000    0.00317   23.42011           -1.14503       86.09277         3.901e-05 
  2535.200          75.102      9.712     93.341            6.553        18313.401      1.672      0.000      0.000    0.00311   22.88860           -1.15888       86.10522         3.985e-05 
