#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Ribpanel1.883e64dd-f62a-4f0f-b648-6335de21ffe8_Trajectory.txt
# RunID         : PySara
# ObjectID      : 883e64dd-f62a-4f0f-b648-6335de21ffe8
# ObjectName    : Ribpanel1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2353.100          90.144      8.697     81.622            7.337        17020.780     14.217      0.000      0.000    0.02625   26.58227           -0.44368       83.97378         3.336e-06 
  2353.200          90.139      8.698     81.628            7.336        17021.503     14.216      0.000      0.000    0.02623   26.57889           -0.44379       83.97489         3.339e-06 
  2353.650          90.113      8.701     81.658            7.331        17024.757     14.209      0.000      0.000    0.02613   26.56318           -0.44430       83.97987         3.352e-06 
  2354.650          90.056      8.708     81.723            7.321        17031.981     14.194      0.000      0.000    0.02590   26.52703           -0.44557       83.99094         3.382e-06 
  2355.650          89.999      8.714     81.788            7.311        17039.196     14.179      0.000      0.000    0.02565   26.48799           -0.44703       84.00201         3.414e-06 
  2356.650          89.942      8.721     81.853            7.301        17046.400     14.163      0.000      0.000    0.02541   26.44870           -0.44868       84.01307         3.448e-06 
  2357.650          89.885      8.728     81.918            7.291        17053.595     14.148      0.000      0.000    0.02516   26.40917           -0.45052       84.02412         3.481e-06 
  2358.650          89.827      8.735     81.983            7.281        17060.779     14.133      0.000      0.000    0.02492   26.36940           -0.45256       84.03517         3.515e-06 
  2359.650          89.770      8.741     82.048            7.271        17067.954     14.118      0.000      0.000    0.02468   26.32938           -0.45480       84.04622         3.549e-06 
  2360.650          89.712      8.748     82.113            7.260        17075.118     14.104      0.000      0.000    0.02444   26.28911           -0.45724       84.05726         3.584e-06 
  2361.650          89.654      8.755     82.178            7.250        17082.273     14.090      0.000      0.000    0.02420   26.24858           -0.45988       84.06830         3.620e-06 
  2362.650          89.596      8.761     82.242            7.240        17089.417     14.076      0.000      0.000    0.02397   26.20780           -0.46272       84.07933         3.655e-06 
  2363.650          89.537      8.768     82.307            7.229        17096.551     14.062      0.000      0.000    0.02373   26.16676           -0.46576       84.09035         3.692e-06 
  2364.650          89.478      8.775     82.371            7.219        17103.674     14.048      0.000      0.000    0.02350   26.12545           -0.46900       84.10138         3.729e-06 
  2365.650          89.419      8.781     82.435            7.208        17110.787     14.035      0.000      0.000    0.02327   26.08387           -0.47246       84.11239         3.766e-06 
  2366.650          89.359      8.788     82.500            7.197        17117.890     14.022      0.000      0.000    0.02303   26.04202           -0.47612       84.12340         3.804e-06 
  2367.650          89.299      8.794     82.564            7.186        17124.982     14.009      0.000      0.000    0.02280   25.99989           -0.47999       84.13441         3.843e-06 
  2368.650          89.239      8.801     82.628            7.176        17132.064     13.996      0.000      0.000    0.02257   25.95748           -0.48407       84.14541         3.882e-06 
  2369.650          89.178      8.808     82.692            7.165        17139.135     13.983      0.000      0.000    0.02234   25.91478           -0.48836       84.15640         3.922e-06 
  2370.650          89.117      8.814     82.756            7.154        17146.195     13.971      0.000      0.000    0.02212   25.87178           -0.49287       84.16739         3.963e-06 
  2371.650          89.055      8.820     82.819            7.143        17153.244     13.959      0.000      0.000    0.02189   25.82849           -0.49759       84.17838         4.005e-06 
  2372.650          88.993      8.827     82.883            7.132        17160.283     13.947      0.000      0.000    0.02166   25.78490           -0.50254       84.18936         4.047e-06 
  2373.650          88.930      8.833     82.947            7.120        17167.310     13.935      0.000      0.000    0.02143   25.74099           -0.50770       84.20033         4.090e-06 
