#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SARP-3.ea1ec5f4-71bd-4969-a2c3-09fede1031de_Trajectory.txt
# RunID         : PySara
# ObjectID      : ea1ec5f4-71bd-4969-a2c3-09fede1031de
# ObjectName    : SARP-3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      1.514      0.000      0.000    0.00548   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.076        18435.133      1.514      0.000      0.000    0.00547   24.62145           -0.93460       86.31182         4.249e-05 
  2550.750          74.661      9.787     94.476            7.072        18438.279      1.514      0.000      0.000    0.00543   24.60780           -0.93744       86.31735         4.280e-05 
  2551.750          74.545      9.791     94.540            7.065        18445.264      1.514      0.000      0.000    0.00533   24.57625           -0.94385       86.32963         4.354e-05 
  2552.750          74.429      9.795     94.604            7.057        18452.243      1.514      0.000      0.000    0.00524   24.54196           -0.95041       86.34191         4.435e-05 
  2553.750          74.311      9.799     94.667            7.049        18459.213      1.514      0.000      0.000    0.00514   24.50723           -0.95713       86.35418         4.518e-05 
  2554.750          74.193      9.803     94.730            7.041        18466.176      1.514      0.000      0.000    0.00505   24.47205           -0.96402       86.36645         4.604e-05 
  2555.750          74.074      9.807     94.794            7.033        18473.130      1.514      0.000      0.000    0.00495   24.43641           -0.97106       86.37871         4.691e-05 
  2556.750          73.955      9.811     94.857            7.025        18480.077      1.514      0.000      0.000    0.00486   24.40030           -0.97827       86.39097         4.780e-05 
  2557.750          73.834      9.815     94.920            7.016        18487.015      1.514      0.000      0.000    0.00477   24.36369           -0.98564       86.40322         4.871e-05 
  2558.750          73.713      9.819     94.983            7.008        18493.946      1.514      0.000      0.000    0.00468   24.32659           -0.99319       86.41547         4.965e-05 
  2559.750          73.592      9.823     95.046            6.999        18500.867      1.514      0.000      0.000    0.00459   24.28897           -1.00091       86.42772         5.061e-05 
  2560.750          73.469      9.827     95.109            6.990        18507.781      1.514      0.000      0.000    0.00450   24.25082           -1.00882       86.43995         5.159e-05 
  2561.750          73.345      9.830     95.172            6.981        18514.685      1.514      0.000      0.000    0.00442   24.21212           -1.01690       86.45219         5.260e-05 
  2562.750          73.221      9.834     95.234            6.972        18521.581      1.514      0.000      0.000    0.00433   24.17287           -1.02516       86.46441         5.364e-05 
  2563.750          73.096      9.838     95.297            6.962        18528.467      1.514      0.000      0.000    0.00425   24.13304           -1.03362       86.47663         5.470e-05 
  2564.750          72.970      9.842     95.360            6.953        18535.344      1.514      0.000      0.000    0.00416   24.09262           -1.04227       86.48885         5.578e-05 
  2565.750          72.843      9.846     95.422            6.943        18542.212      1.514      0.000      0.000    0.00408   24.05159           -1.05111       86.50105         5.690e-05 
  2566.750          72.715      9.849     95.485            6.933        18549.071      1.514      0.000      0.000    0.00400   24.00994           -1.06015       86.51326         5.805e-05 
  2567.750          72.586      9.853     95.547            6.923        18555.919      1.514      0.000      0.000    0.00392   23.96764           -1.06940       86.52545         5.922e-05 
  2568.750          72.457      9.857     95.609            6.913        18562.758      1.514      0.000      0.000    0.00385   23.92469           -1.07885       86.53764         6.026e-05 
  2569.750          72.326      9.861     95.671            6.903        18569.587      1.514      0.000      0.000    0.00378   23.88099           -1.08851       86.54982         6.149e-05 
  2570.750          72.194      9.864     95.733            6.892        18576.406      1.514      0.000      0.000    0.00370   23.83633           -1.09839       86.56199         6.276e-05 
  2571.750          72.062      9.868     95.795            6.882        18583.214      1.514      0.000      0.000    0.00363   23.79070           -1.10849       86.57415         6.406e-05 
  2572.750          71.928      9.872     95.857            6.871        18590.011      1.514      0.000      0.000    0.00355   23.74409           -1.11881       86.58631         6.539e-05 
  2573.750          71.793      9.875     95.919            6.860        18596.798      1.514      0.000      0.000    0.00348   23.69648           -1.12936       86.59846         6.676e-05 
  2574.750          71.658      9.879     95.981            6.848        18603.574      1.514      0.000      0.000    0.00341   23.64785           -1.14015       86.61060         6.816e-05 
  2575.750          71.521      9.883     96.042            6.837        18610.339      1.514      0.000      0.000    0.00334   23.59818           -1.15117       86.62273         6.960e-05 
  2576.750          71.383      9.886     96.104            6.825        18617.092      1.514      0.000      0.000    0.00327   23.54746           -1.16243       86.63485         7.108e-05 
  2577.750          71.244      9.890     96.165            6.813        18623.834      1.514      0.000      0.000    0.00320   23.49566           -1.17394       86.64696         7.260e-05 
  2578.750          71.104      9.893     96.226            6.801        18630.564      1.514      0.000      0.000    0.00313   23.44276           -1.18570       86.65906         7.416e-05 
  2579.750          70.963      9.897     96.287            6.788        18637.281      1.514      0.000      0.000    0.00307   23.38875           -1.19773       86.67115         7.577e-05 
  2580.750          70.820      9.900     96.348            6.776        18643.987      1.514      0.000      0.000    0.00300   23.33361           -1.21001       86.68323         7.741e-05 
  2581.750          70.676      9.904     96.409            6.763        18650.680      1.514      0.000      0.000    0.00294   23.27679           -1.22257       86.69530         7.911e-05 
  2582.750          70.531      9.907     96.470            6.749        18657.360      1.514      0.000      0.000    0.00287   23.21744           -1.23540       86.70736         8.085e-05 
  2583.750          70.385      9.911     96.531            6.735        18664.027      1.514      0.000      0.000    0.00281   23.15531           -1.24854       86.71942         8.263e-05 
  2584.750          70.238      9.914     96.591            6.720        18670.678      1.514      0.000      0.000    0.00275   23.09020           -1.26198       86.73146         8.447e-05 
  2585.750          70.089      9.918     96.652            6.704        18677.315      1.514      0.000      0.000    0.00269   23.02193           -1.27576       86.74349         8.636e-05 
  2586.750          69.939      9.921     96.712            6.687        18683.935      1.514      0.000      0.000    0.00263   22.95026           -1.28988       86.75552         8.830e-05 
  2587.750          69.788      9.924     96.772            6.669        18690.539      1.514      0.000      0.000    0.00257   22.87495           -1.30438       86.76753         9.029e-05 
  2588.750          69.636      9.928     96.832            6.650        18697.124      1.514      0.000      0.000    0.00252   22.79573           -1.31927       86.77953         9.235e-05 
  2589.750          69.482      9.931     96.892            6.630        18703.690      1.514      0.000      0.000    0.00246   22.71230           -1.33458       86.79151         9.446e-05 
  2590.750          69.327      9.934     96.952            6.609        18710.236      1.514      0.000      0.000    0.00240   22.62431           -1.35033       86.80348         9.663e-05 
  2591.750          69.171      9.938     97.011            6.586        18716.761      1.514      0.000      0.000    0.00235   22.53139           -1.36656       86.81543         9.886e-05 
  2592.750          69.013      9.941     97.070            6.562        18723.262      1.514      0.000      0.000    0.00230   22.43310           -1.38330       86.82736         1.012e-04 
  2593.750          68.854      9.944     97.129            6.537        18729.739      1.514      0.000      0.000    0.00224   22.32897           -1.40059       86.83928         1.035e-04 
  2594.750          68.693      9.947     97.188            6.509        18736.190      1.514      0.000      0.000    0.00219   22.21843           -1.41846       86.85117         1.059e-04 
  2595.750          68.532      9.951     97.246            6.480        18742.613      1.514      0.000      0.000    0.00214   22.10087           -1.43697       86.86304         1.084e-04 
  2596.750          68.368      9.954     97.305            6.448        18749.006      1.514      0.000      0.000    0.00209   21.97555           -1.45616       86.87488         1.110e-04 
  2597.750          68.204      9.957     97.363            6.414        18755.366      1.514      0.000      0.000    0.00204   21.84164           -1.47609       86.88670         1.137e-04 
  2598.750          68.038      9.960     97.420            6.377        18761.691      1.514      0.000      0.000    0.00200   21.69818           -1.49682       86.89848         1.164e-04 
  2599.750          67.871      9.963     97.477            6.337        18767.978      1.514      0.000      0.000    0.00195   21.54403           -1.51844       86.91023         1.192e-04 
