#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Battery5-Internal.f5dffc0d-a926-4634-a33f-cbf5f72a8df5_Trajectory.txt
# RunID         : PySara
# ObjectID      : f5dffc0d-a926-4634-a33f-cbf5f72a8df5
# ObjectName    : Battery5-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2679.650          78.491      8.371     53.241            7.244        19382.822      1.277      0.000      0.000    0.00677   25.63946           -0.70304       96.59615         2.216e-05 
  2679.750          78.482      8.371     53.247            7.244        19383.537      1.277      0.000      0.000    0.00676   25.63867           -0.70334       96.59721         2.219e-05 
  2680.200          78.442      8.367     53.276            7.243        19386.757      1.277      0.000      0.000    0.00672   25.63501           -0.70469       96.60198         2.233e-05 
  2681.200          78.353      8.360     53.341            7.242        19393.911      1.277      0.000      0.000    0.00663   25.62656           -0.70770       96.61256         2.264e-05 
  2682.200          78.263      8.352     53.405            7.240        19401.064      1.277      0.000      0.000    0.00653   25.61738           -0.71074       96.62313         2.298e-05 
  2683.200          78.173      8.345     53.470            7.239        19408.215      1.277      0.000      0.000    0.00643   25.60811           -0.71381       96.63368         2.333e-05 
  2684.200          78.083      8.337     53.534            7.237        19415.365      1.277      0.000      0.000    0.00633   25.59872           -0.71692       96.64423         2.368e-05 
  2685.200          77.992      8.330     53.598            7.235        19422.513      1.277      0.000      0.000    0.00624   25.58923           -0.72006       96.65476         2.404e-05 
  2686.200          77.901      8.322     53.663            7.234        19429.660      1.277      0.000      0.000    0.00615   25.57962           -0.72323       96.66528         2.441e-05 
  2687.200          77.810      8.315     53.727            7.232        19436.805      1.277      0.000      0.000    0.00605   25.56990           -0.72644       96.67579         2.478e-05 
