#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.CCU-internal.e9ac6dd3-1e30-4e13-a931-88ec30d045b3_Trajectory.txt
# RunID         : PySara
# ObjectID      : e9ac6dd3-1e30-4e13-a931-88ec30d045b3
# ObjectName    : CCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2681.650          77.478      8.368     53.268            6.929        19385.905      1.046      0.000      0.000    0.00595   24.48214           -0.92997       96.60182         2.624e-05 
  2681.750          77.467      8.367     53.274            6.928        19386.590      1.046      0.000      0.000    0.00594   24.47779           -0.93089       96.60283         2.628e-05 
  2682.200          77.416      8.364     53.302            6.922        19389.668      1.046      0.000      0.000    0.00589   24.45755           -0.93506       96.60737         2.649e-05 
  2683.200          77.302      8.357     53.364            6.909        19396.500      1.046      0.000      0.000    0.00579   24.41071           -0.94451       96.61744         2.695e-05 
  2684.200          77.188      8.350     53.425            6.896        19403.319      1.046      0.000      0.000    0.00568   24.35969           -0.95422       96.62749         2.747e-05 
  2685.200          77.073      8.343     53.487            6.882        19410.125      1.046      0.000      0.000    0.00557   24.30792           -0.96421       96.63751         2.800e-05 
  2686.200          76.956      8.336     53.548            6.869        19416.917      1.046      0.000      0.000    0.00547   24.25537           -0.97446       96.64750         2.855e-05 
  2687.200          76.839      8.329     53.609            6.855        19423.697      1.046      0.000      0.000    0.00536   24.20204           -0.98500       96.65747         2.911e-05 
  2688.200          76.721      8.321     53.670            6.841        19430.462      1.046      0.000      0.000    0.00526   24.14789           -0.99582       96.66741         2.968e-05 
  2689.200          76.601      8.314     53.731            6.827        19437.214      1.046      0.000      0.000    0.00515   24.09292           -1.00692       96.67732         3.028e-05 
  2690.200          76.481      8.307     53.792            6.812        19443.952      1.046      0.000      0.000    0.00505   24.03710           -1.01832       96.68721         3.089e-05 
  2691.200          76.359      8.300     53.852            6.798        19450.675      1.046      0.000      0.000    0.00495   23.98041           -1.03002       96.69707         3.151e-05 
  2692.200          76.236      8.293     53.913            6.783        19457.384      1.046      0.000      0.000    0.00485   23.92284           -1.04203       96.70690         3.216e-05 
  2693.200          76.112      8.286     53.973            6.768        19464.079      1.046      0.000      0.000    0.00475   23.86436           -1.05434       96.71670         3.282e-05 
  2694.200          75.987      8.279     54.033            6.752        19470.758      1.046      0.000      0.000    0.00466   23.80495           -1.06697       96.72648         3.351e-05 
  2695.200          75.861      8.272     54.093            6.737        19477.422      1.046      0.000      0.000    0.00456   23.74459           -1.07992       96.73622         3.421e-05 
  2696.200          75.733      8.265     54.153            6.721        19484.071      1.046      0.000      0.000    0.00447   23.68326           -1.09320       96.74594         3.494e-05 
  2697.200          75.604      8.258     54.213            6.704        19490.703      1.046      0.000      0.000    0.00437   23.62003           -1.10682       96.75563         3.569e-05 
  2698.200          75.474      8.251     54.273            6.677        19497.314      1.046      0.000      0.000    0.00428   23.52159           -1.12083       96.76523         3.646e-05 
  2699.200          75.344      8.244     54.332            6.596        19503.872      1.046      0.000      0.000    0.00419   23.25366           -1.13563       96.77450         3.725e-05 
