#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.DPU-SEM-internal.674e8f15-7ca9-49a9-880f-9964e4c6aa14_Trajectory.txt
# RunID         : PySara
# ObjectID      : 674e8f15-7ca9-49a9-880f-9964e4c6aa14
# ObjectName    : DPU-SEM-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2797.750          62.467      7.494     60.249            4.052        20161.637      2.897      0.000      0.000    0.00093   13.30942           -2.57126       97.72271         2.462e-04 
  2797.850          62.449      7.494     60.252            4.033        20162.037      2.897      0.000      0.000    0.00093   13.25236           -2.58064       97.72358         2.467e-04 
  2798.300          62.368      7.491     60.268            3.948        20163.813      2.897      0.000      0.000    0.00092   12.99215           -2.62384       97.72745         2.490e-04 
  2799.300          62.188      7.487     60.303            3.769        20167.630      2.897      0.000      0.000    0.00090   12.42364           -2.72580       97.73593         2.543e-04 
  2800.300          62.009      7.482     60.335            3.603        20171.275      2.897      0.000      0.000    0.00088   11.85324           -2.83597       97.74425         2.601e-04 
  2801.300          61.831      7.478     60.367            3.447        20174.761      2.897      0.000      0.000    0.00086   11.32062           -2.95440       97.75240         2.659e-04 
  2802.300          61.654      7.474     60.397            3.300        20178.097      2.897      0.000      0.000    0.00084   10.82238           -3.08113       97.76040         2.718e-04 
  2803.300          61.476      7.470     60.425            3.163        20181.293      2.897      0.000      0.000    0.00082   10.35546           -3.21624       97.76826         2.778e-04 
  2804.300          61.299      7.466     60.453            3.035        20184.357      2.897      0.000      0.000    0.00081    9.91717           -3.35979       97.77598         2.840e-04 
  2805.300          61.120      7.463     60.479            2.914        20187.297      2.897      0.000      0.000    0.00079    9.50509           -3.51187       97.78356         2.903e-04 
  2806.300          60.942      7.459     60.504            2.783        20190.112      2.897      0.000      0.000    0.00077    9.07089           -3.67351       97.79148         2.967e-04 
  2807.300          60.767      7.456     60.528            2.566        20192.753      2.897      0.000      0.000    0.00075    8.38485           -3.85149       97.80228         3.031e-04 
  2807.767          60.689      7.455     60.538            2.311        20193.877      2.897      0.000      0.000    0.00075    7.56990           -3.94909       97.81334         3.064e-04 
  2807.937          60.664      7.454     60.541            2.098        20194.248      2.897      0.000      0.000    0.00074    6.86535           -3.99305       97.82340         3.076e-04 
  2808.081          60.644      7.454     60.544            1.834        20194.526      2.897      0.000      0.000    0.00074    6.02931           -4.03934       97.83857         3.084e-04 
  2808.195          60.630      7.454     60.546            1.564        20194.715      2.897      0.000      0.000    0.00074    5.15947           -4.08684       97.85903         3.089e-04 
  2808.315          60.618      7.454     60.547            1.285        20194.884      2.897      0.000      0.000    0.00074    4.26223           -4.15086       97.88894         3.094e-04 
  2808.450          60.606      7.453     60.549            1.055        20195.039      2.897      0.000      0.000    0.00074    3.50452           -4.23608       97.92539         3.098e-04 
