#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.MHS-MPU.1d92482f-0fca-4932-9a63-40c4d90fb4b3_Trajectory.txt
# RunID         : PySara
# ObjectID      : 1d92482f-0fca-4932-9a63-40c4d90fb4b3
# ObjectName    : MHS-MPU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      1.364      0.000      0.000    0.00253   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.890        19876.626      1.364      0.000      0.000    0.00252   23.93255           -1.15388       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.882        19879.690      1.364      0.000      0.000    0.00250   23.90199           -1.15844       97.30915         8.191e-05 
  2751.750          70.250      7.819     57.776            6.864        19886.487      1.364      0.000      0.000    0.00245   23.83110           -1.16885       97.31863         8.354e-05 
  2752.750          70.109      7.812     57.837            6.847        19893.267      1.364      0.000      0.000    0.00240   23.75366           -1.17963       97.32809         8.534e-05 
  2753.750          69.968      7.804     57.898            6.828        19900.029      1.364      0.000      0.000    0.00235   23.67485           -1.19078       97.33751         8.718e-05 
  2754.750          69.825      7.796     57.959            6.810        19906.773      1.364      0.000      0.000    0.00230   23.59465           -1.20232       97.34691         8.907e-05 
  2755.750          69.682      7.788     58.019            6.791        19913.499      1.364      0.000      0.000    0.00225   23.51305           -1.21424       97.35628         9.101e-05 
  2756.750          69.537      7.780     58.080            6.772        19920.206      1.364      0.000      0.000    0.00220   23.43003           -1.22657       97.36562         9.299e-05 
  2757.750          69.392      7.773     58.140            6.752        19926.894      1.364      0.000      0.000    0.00216   23.34557           -1.23930       97.37493         9.503e-05 
  2758.750          69.245      7.765     58.200            6.733        19933.563      1.364      0.000      0.000    0.00211   23.25964           -1.25245       97.38422         9.712e-05 
  2759.750          69.098      7.757     58.260            6.713        19940.212      1.364      0.000      0.000    0.00206   23.17223           -1.26603       97.39347         9.927e-05 
  2760.750          68.949      7.749     58.319            6.692        19946.841      1.364      0.000      0.000    0.00202   23.08332           -1.28003       97.40269         1.015e-04 
  2761.750          68.799      7.742     58.379            6.671        19953.451      1.364      0.000      0.000    0.00198   22.99289           -1.29448       97.41189         1.037e-04 
  2762.750          68.647      7.734     58.438            6.650        19960.039      1.364      0.000      0.000    0.00193   22.90092           -1.30938       97.42105         1.061e-04 
  2763.750          68.495      7.726     58.497            6.629        19966.607      1.364      0.000      0.000    0.00189   22.80738           -1.32474       97.43019         1.085e-04 
  2764.750          68.341      7.719     58.556            6.607        19973.153      1.364      0.000      0.000    0.00185   22.71225           -1.34056       97.43929         1.109e-04 
  2765.750          68.185      7.711     58.614            6.585        19979.678      1.364      0.000      0.000    0.00181   22.61552           -1.35687       97.44836         1.134e-04 
  2766.750          68.029      7.703     58.673            6.563        19986.181      1.364      0.000      0.000    0.00177   22.51716           -1.37366       97.45740         1.160e-04 
  2767.750          67.871      7.696     58.731            6.540        19992.662      1.364      0.000      0.000    0.00173   22.41715           -1.39095       97.46641         1.187e-04 
  2768.750          67.711      7.688     58.789            6.517        19999.119      1.364      0.000      0.000    0.00169   22.31546           -1.40875       97.47539         1.214e-04 
  2769.750          67.550      7.681     58.847            6.493        20005.554      1.364      0.000      0.000    0.00165   22.21209           -1.42707       97.48434         1.243e-04 
  2770.750          67.388      7.673     58.904            6.469        20011.966      1.364      0.000      0.000    0.00161   22.10700           -1.44592       97.49325         1.272e-04 
  2771.750          67.224      7.666     58.962            6.445        20018.353      1.364      0.000      0.000    0.00158   22.00017           -1.46532       97.50213         1.301e-04 
  2772.750          67.058      7.658     59.019            6.420        20024.717      1.364      0.000      0.000    0.00154   21.89158           -1.48526       97.51098         1.332e-04 
  2773.750          66.891      7.651     59.076            6.395        20031.056      1.364      0.000      0.000    0.00150   21.78120           -1.50577       97.51980         1.364e-04 
  2774.750          66.722      7.643     59.133            6.369        20037.370      1.364      0.000      0.000    0.00147   21.66903           -1.52685       97.52858         1.396e-04 
  2775.750          66.552      7.636     59.189            6.343        20043.658      1.364      0.000      0.000    0.00143   21.55503           -1.54853       97.53733         1.430e-04 
  2776.750          66.379      7.628     59.245            6.317        20049.921      1.364      0.000      0.000    0.00140   21.43918           -1.57080       97.54604         1.464e-04 
  2777.750          66.205      7.621     59.301            6.290        20056.158      1.364      0.000      0.000    0.00137   21.32146           -1.59369       97.55472         1.500e-04 
  2778.750          66.029      7.613     59.357            6.263        20062.368      1.364      0.000      0.000    0.00133   21.20166           -1.61720       97.56337         1.537e-04 
  2779.750          65.852      7.606     59.413            6.234        20068.550      1.364      0.000      0.000    0.00130   21.07670           -1.64137       97.57198         1.575e-04 
  2780.750          65.672      7.599     59.468            6.203        20074.703      1.364      0.000      0.000    0.00127   20.94584           -1.66624       97.58057         1.614e-04 
  2781.750          65.491      7.591     59.523            6.171        20080.825      1.364      0.000      0.000    0.00124   20.80867           -1.69185       97.58913         1.654e-04 
  2782.750          65.308      7.584     59.578            6.137        20086.914      1.364      0.000      0.000    0.00121   20.66475           -1.71825       97.59765         1.695e-04 
  2783.750          65.123      7.577     59.632            6.101        20092.969      1.364      0.000      0.000    0.00118   20.51362           -1.74550       97.60614         1.738e-04 
  2784.750          64.936      7.570     59.686            6.063        20098.987      1.364      0.000      0.000    0.00115   20.35474           -1.77365       97.61461         1.782e-04 
  2785.750          64.748      7.563     59.740            6.022        20104.966      1.364      0.000      0.000    0.00112   20.18756           -1.80277       97.62303         1.827e-04 
  2786.750          64.557      7.555     59.793            5.978        20110.903      1.364      0.000      0.000    0.00109   20.01147           -1.83292       97.63143         1.874e-04 
  2787.750          64.365      7.548     59.846            5.932        20116.796      1.364      0.000      0.000    0.00107   19.82581           -1.86418       97.63979         1.922e-04 
  2788.750          64.172      7.541     59.899            5.883        20122.642      1.364      0.000      0.000    0.00104   19.62986           -1.89664       97.64811         1.971e-04 
  2789.750          63.976      7.534     59.951            5.830        20128.438      1.364      0.000      0.000    0.00101   19.42282           -1.93039       97.65640         2.023e-04 
  2790.750          63.779      7.527     60.002            5.774        20134.179      1.364      0.000      0.000    0.00099   19.20384           -1.96554       97.66465         2.075e-04 
  2791.750          63.580      7.521     60.053            5.714        20139.863      1.364      0.000      0.000    0.00096   18.97194           -2.00220       97.67287         2.129e-04 
  2792.750          63.380      7.514     60.104            5.649        20145.485      1.364      0.000      0.000    0.00094   18.72611           -2.04050       97.68104         2.185e-04 
  2793.750          63.178      7.507     60.154            5.580        20151.041      1.364      0.000      0.000    0.00091   18.46522           -2.08058       97.68919         2.242e-04 
  2794.750          62.974      7.500     60.203            5.505        20156.526      1.364      0.000      0.000    0.00089   18.18807           -2.12261       97.69729         2.301e-04 
  2795.750          62.770      7.494     60.251            5.425        20161.935      1.364      0.000      0.000    0.00087   17.89337           -2.16677       97.70536         2.362e-04 
  2796.750          62.564      7.487     60.299            5.339        20167.261      1.364      0.000      0.000    0.00085   17.57976           -2.21327       97.71339         2.424e-04 
  2797.750          62.358      7.481     60.346            5.247        20172.499      1.364      0.000      0.000    0.00082   17.24583           -2.26232       97.72139         2.488e-04 
  2798.750          62.150      7.475     60.392            5.148        20177.643      1.364      0.000      0.000    0.00080   16.89021           -2.31421       97.72936         2.554e-04 
  2799.750          61.942      7.469     60.438            5.041        20182.684      1.364      0.000      0.000    0.00078   16.51155           -2.36921       97.73729         2.621e-04 
