#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PMC2.f8ada8b9-06d4-40cd-bd74-3312fce12e78_Trajectory.txt
# RunID         : PySara
# ObjectID      : f8ada8b9-06d4-40cd-bd74-3312fce12e78
# ObjectName    : PMC2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      1.245      0.000      0.000    0.00219   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.890        19876.626      1.245      0.000      0.000    0.00219   23.93229           -1.15388       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.882        19879.690      1.245      0.000      0.000    0.00217   23.90051           -1.15845       97.30915         8.191e-05 
  2751.750          70.250      7.819     57.776            6.863        19886.486      1.245      0.000      0.000    0.00213   23.82682           -1.16887       97.31864         8.354e-05 
  2752.750          70.109      7.812     57.837            6.844        19893.264      1.245      0.000      0.000    0.00208   23.74634           -1.17968       97.32809         8.534e-05 
  2753.750          69.968      7.804     57.898            6.825        19900.024      1.245      0.000      0.000    0.00204   23.66448           -1.19088       97.33751         8.718e-05 
  2754.750          69.825      7.796     57.959            6.806        19906.764      1.245      0.000      0.000    0.00200   23.58120           -1.20249       97.34691         8.907e-05 
  2755.750          69.682      7.788     58.019            6.786        19913.486      1.245      0.000      0.000    0.00195   23.49649           -1.21451       97.35628         9.100e-05 
  2756.750          69.538      7.780     58.079            6.766        19920.187      1.245      0.000      0.000    0.00191   23.41033           -1.22694       97.36561         9.299e-05 
  2757.750          69.392      7.773     58.140            6.746        19926.869      1.245      0.000      0.000    0.00187   23.32271           -1.23980       97.37492         9.503e-05 
  2758.750          69.246      7.765     58.199            6.725        19933.531      1.245      0.000      0.000    0.00183   23.23360           -1.25310       97.38420         9.712e-05 
  2759.750          69.098      7.757     58.259            6.704        19940.172      1.245      0.000      0.000    0.00179   23.14299           -1.26685       97.39345         9.926e-05 
  2760.750          68.949      7.750     58.319            6.683        19946.793      1.245      0.000      0.000    0.00175   23.05085           -1.28104       97.40266         1.015e-04 
  2761.750          68.799      7.742     58.378            6.661        19953.392      1.245      0.000      0.000    0.00171   22.95717           -1.29570       97.41185         1.037e-04 
  2762.750          68.648      7.734     58.437            6.639        19959.969      1.245      0.000      0.000    0.00168   22.86192           -1.31083       97.42101         1.061e-04 
  2763.750          68.496      7.726     58.496            6.617        19966.525      1.245      0.000      0.000    0.00164   22.76509           -1.32644       97.43013         1.084e-04 
  2764.750          68.342      7.719     58.555            6.594        19973.059      1.245      0.000      0.000    0.00160   22.66665           -1.34254       97.43922         1.109e-04 
  2765.750          68.187      7.711     58.613            6.571        19979.570      1.245      0.000      0.000    0.00157   22.56658           -1.35915       97.44828         1.134e-04 
  2766.750          68.030      7.704     58.672            6.547        19986.058      1.245      0.000      0.000    0.00153   22.46486           -1.37626       97.45731         1.160e-04 
  2767.750          67.872      7.696     58.730            6.523        19992.523      1.245      0.000      0.000    0.00150   22.36147           -1.39390       97.46631         1.187e-04 
  2768.750          67.713      7.688     58.788            6.499        19998.964      1.245      0.000      0.000    0.00147   22.25640           -1.41207       97.47527         1.214e-04 
  2769.750          67.552      7.681     58.845            6.474        20005.381      1.245      0.000      0.000    0.00143   22.14960           -1.43079       97.48420         1.242e-04 
  2770.750          67.389      7.673     58.903            6.449        20011.774      1.245      0.000      0.000    0.00140   22.04108           -1.45005       97.49310         1.271e-04 
  2771.750          67.225      7.666     58.960            6.424        20018.142      1.245      0.000      0.000    0.00137   21.93080           -1.46989       97.50197         1.301e-04 
  2772.750          67.060      7.658     59.017            6.398        20024.484      1.245      0.000      0.000    0.00134   21.81874           -1.49030       97.51080         1.332e-04 
  2773.750          66.892      7.651     59.074            6.372        20030.801      1.245      0.000      0.000    0.00130   21.70488           -1.51131       97.51959         1.363e-04 
  2774.750          66.724      7.643     59.130            6.345        20037.092      1.245      0.000      0.000    0.00127   21.58920           -1.53291       97.52836         1.396e-04 
  2775.750          66.553      7.636     59.186            6.318        20043.357      1.245      0.000      0.000    0.00124   21.47169           -1.55513       97.53708         1.430e-04 
  2776.750          66.381      7.629     59.243            6.291        20049.594      1.245      0.000      0.000    0.00121   21.35230           -1.57798       97.54578         1.464e-04 
  2777.750          66.206      7.621     59.298            6.263        20055.805      1.245      0.000      0.000    0.00119   21.23104           -1.60147       97.55443         1.500e-04 
  2778.750          66.031      7.614     59.354            6.235        20061.988      1.245      0.000      0.000    0.00116   21.10788           -1.62562       97.56305         1.537e-04 
  2779.750          65.853      7.607     59.409            6.206        20068.142      1.245      0.000      0.000    0.00113   20.98279           -1.65043       97.57164         1.574e-04 
  2780.750          65.673      7.599     59.464            6.177        20074.268      1.245      0.000      0.000    0.00110   20.85576           -1.67593       97.58019         1.613e-04 
  2781.750          65.491      7.592     59.519            6.147        20080.365      1.245      0.000      0.000    0.00108   20.72516           -1.70213       97.58870         1.654e-04 
  2782.750          65.308      7.585     59.573            6.115        20086.431      1.245      0.000      0.000    0.00105   20.58894           -1.72907       97.59719         1.695e-04 
  2783.750          65.122      7.578     59.628            6.081        20092.465      1.245      0.000      0.000    0.00102   20.44651           -1.75680       97.60564         1.738e-04 
  2784.750          64.935      7.570     59.682            6.046        20098.465      1.245      0.000      0.000    0.00100   20.29748           -1.78537       97.61406         1.782e-04 
  2785.750          64.746      7.563     59.735            6.009        20104.429      1.245      0.000      0.000    0.00097   20.14146           -1.81483       97.62245         1.828e-04 
  2786.750          64.554      7.556     59.788            5.969        20110.355      1.245      0.000      0.000    0.00095   19.97801           -1.84524       97.63080         1.874e-04 
  2787.750          64.361      7.549     59.841            5.927        20116.241      1.245      0.000      0.000    0.00093   19.80668           -1.87665       97.63912         1.923e-04 
  2788.750          64.166      7.542     59.894            5.883        20122.085      1.245      0.000      0.000    0.00090   19.62699           -1.90915       97.64741         1.973e-04 
  2789.750          63.969      7.535     59.946            5.836        20127.883      1.245      0.000      0.000    0.00088   19.43841           -1.94280       97.65565         2.024e-04 
  2790.750          63.771      7.528     59.997            5.786        20133.633      1.245      0.000      0.000    0.00086   19.24037           -1.97768       97.66387         2.077e-04 
  2791.750          63.570      7.521     60.049            5.733        20139.333      1.245      0.000      0.000    0.00083   19.03228           -2.01389       97.67204         2.132e-04 
  2792.750          63.368      7.514     60.099            5.677        20144.979      1.245      0.000      0.000    0.00081   18.81348           -2.05152       97.68018         2.188e-04 
  2793.750          63.164      7.508     60.149            5.617        20150.567      1.245      0.000      0.000    0.00079   18.58331           -2.09068       97.68827         2.246e-04 
  2794.750          62.958      7.501     60.199            5.554        20156.095      1.245      0.000      0.000    0.00077   18.34104           -2.13148       97.69633         2.306e-04 
  2795.750          62.750      7.494     60.248            5.487        20161.558      1.245      0.000      0.000    0.00075   18.08592           -2.17407       97.70434         2.368e-04 
  2796.750          62.542      7.488     60.296            5.415        20166.952      1.245      0.000      0.000    0.00073   17.81719           -2.21858       97.71232         2.431e-04 
  2797.750          62.331      7.481     60.344            5.338        20172.273      1.245      0.000      0.000    0.00071   17.53402           -2.26517       97.72025         2.497e-04 
  2798.750          62.120      7.475     60.391            5.257        20177.515      1.245      0.000      0.000    0.00069   17.23566           -2.31402       97.72814         2.564e-04 
  2799.750          61.907      7.469     60.438            5.171        20182.675      1.245      0.000      0.000    0.00068   16.92139           -2.36532       97.73598         2.633e-04 
  2800.750          61.693      7.462     60.483            5.079        20187.746      1.245      0.000      0.000    0.00066   16.59051           -2.41928       97.74378         2.703e-04 
  2801.750          61.478      7.456     60.528            4.981        20192.724      1.245      0.000      0.000    0.00064   16.24243           -2.47615       97.75153         2.776e-04 
  2802.750          61.263      7.450     60.572            4.878        20197.602      1.245      0.000      0.000    0.00062   15.87669           -2.53617       97.75924         2.851e-04 
  2803.750          61.047      7.445     60.614            4.769        20202.375      1.245      0.000      0.000    0.00061   15.49304           -2.59964       97.76689         2.927e-04 
  2804.750          60.830      7.439     60.656            4.653        20207.037      1.245      0.000      0.000    0.00059   15.09149           -2.66686       97.77450         3.006e-04 
  2805.750          60.614      7.433     60.697            4.532        20211.581      1.245      0.000      0.000    0.00058   14.67241           -2.73819       97.78206         3.086e-04 
  2806.750          60.397      7.428     60.737            4.405        20216.003      1.245      0.000      0.000    0.00056   14.23656           -2.81399       97.78956         3.168e-04 
