#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SAR-Tx.aeda7892-1a0d-473d-938b-47f3689d7448_Trajectory.txt
# RunID         : PySara
# ObjectID      : aeda7892-1a0d-473d-938b-47f3689d7448
# ObjectName    : SAR-Tx
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      2.384      0.000      0.000    0.00191   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.887        19876.626      2.384      0.000      0.000    0.00191   23.92497           -1.15387       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.868        19879.686      2.384      0.000      0.000    0.00189   23.85916           -1.15847       97.30918         8.191e-05 
  2751.750          70.250      7.819     57.776            6.826        19886.458      2.384      0.000      0.000    0.00186   23.70739           -1.16933       97.31869         8.353e-05 
  2752.750          70.111      7.812     57.837            6.783        19893.187      2.384      0.000      0.000    0.00182   23.54298           -1.18108       97.32814         8.532e-05 
  2753.750          69.970      7.804     57.897            6.739        19899.873      2.384      0.000      0.000    0.00178   23.37712           -1.19373       97.33755         8.714e-05 
  2754.750          69.830      7.796     57.957            6.696        19906.517      2.384      0.000      0.000    0.00174   23.20982           -1.20731       97.34690         8.901e-05 
  2755.750          69.688      7.789     58.016            6.651        19913.117      2.384      0.000      0.000    0.00171   23.04109           -1.22182       97.35620         9.092e-05 
  2756.750          69.546      7.781     58.075            6.607        19919.673      2.384      0.000      0.000    0.00167   22.87095           -1.23729       97.36544         9.288e-05 
  2757.750          69.403      7.773     58.133            6.562        19926.186      2.384      0.000      0.000    0.00163   22.69939           -1.25372       97.37463         9.488e-05 
  2758.750          69.259      7.766     58.192            6.517        19932.654      2.384      0.000      0.000    0.00160   22.52644           -1.27114       97.38377         9.693e-05 
  2759.750          69.114      7.758     58.249            6.471        19939.077      2.384      0.000      0.000    0.00157   22.35210           -1.28955       97.39285         9.904e-05 
  2760.750          68.968      7.751     58.307            6.426        19945.455      2.384      0.000      0.000    0.00153   22.17638           -1.30899       97.40188         1.012e-04 
  2761.750          68.820      7.744     58.364            6.379        19951.788      2.384      0.000      0.000    0.00150   21.99929           -1.32945       97.41086         1.034e-04 
  2762.750          68.672      7.736     58.420            6.333        19958.075      2.384      0.000      0.000    0.00147   21.82082           -1.35097       97.41978         1.057e-04 
  2763.750          68.522      7.729     58.476            6.286        19964.316      2.384      0.000      0.000    0.00144   21.64099           -1.37356       97.42865         1.080e-04 
  2764.750          68.370      7.722     58.532            6.239        19970.510      2.384      0.000      0.000    0.00140   21.45981           -1.39723       97.43747         1.104e-04 
  2765.750          68.217      7.715     58.587            6.191        19976.657      2.384      0.000      0.000    0.00137   21.27726           -1.42201       97.44623         1.129e-04 
  2766.750          68.063      7.707     58.642            6.143        19982.757      2.384      0.000      0.000    0.00134   21.09337           -1.44791       97.45494         1.155e-04 
  2767.750          67.907      7.700     58.696            6.095        19988.810      2.384      0.000      0.000    0.00131   20.90813           -1.47496       97.46359         1.181e-04 
  2768.750          67.749      7.693     58.750            6.046        19994.815      2.384      0.000      0.000    0.00128   20.72154           -1.50316       97.47219         1.208e-04 
  2769.750          67.590      7.686     58.804            5.997        20000.772      2.384      0.000      0.000    0.00125   20.53361           -1.53256       97.48073         1.236e-04 
  2770.750          67.428      7.679     58.857            5.945        20006.679      2.384      0.000      0.000    0.00123   20.33629           -1.56319       97.48924         1.264e-04 
  2771.750          67.265      7.672     58.910            5.889        20012.532      2.384      0.000      0.000    0.00120   20.12512           -1.59517       97.49771         1.294e-04 
  2772.750          67.100      7.666     58.962            5.828        20018.328      2.384      0.000      0.000    0.00117   19.89824           -1.62862       97.50614         1.324e-04 
  2773.750          66.934      7.659     59.013            5.763        20024.061      2.384      0.000      0.000    0.00114   19.65386           -1.66370       97.51455         1.356e-04 
  2774.750          66.766      7.652     59.064            5.691        20029.726      2.384      0.000      0.000    0.00112   19.38993           -1.70056       97.52292         1.388e-04 
  2775.750          66.596      7.646     59.114            5.613        20035.317      2.384      0.000      0.000    0.00109   19.10410           -1.73942       97.53127         1.421e-04 
  2776.750          66.425      7.639     59.164            5.527        20040.827      2.384      0.000      0.000    0.00107   18.79369           -1.78050       97.53959         1.455e-04 
  2777.750          66.253      7.633     59.212            5.433        20046.248      2.384      0.000      0.000    0.00104   18.45563           -1.82406       97.54790         1.490e-04 
  2778.750          66.079      7.626     59.260            5.329        20051.571      2.384      0.000      0.000    0.00102   18.08647           -1.87044       97.55620         1.526e-04 
  2779.750          65.905      7.620     59.307            5.215        20056.787      2.384      0.000      0.000    0.00099   17.68232           -1.91999       97.56450         1.563e-04 
  2780.750          65.730      7.614     59.353            5.089        20061.883      2.384      0.000      0.000    0.00097   17.23899           -1.97317       97.57282         1.601e-04 
  2781.750          65.555      7.608     59.398            4.950        20066.849      2.384      0.000      0.000    0.00095   16.75201           -2.03051       97.58118         1.640e-04 
  2782.750          65.380      7.602     59.441            4.796        20071.668      2.384      0.000      0.000    0.00092   16.21696           -2.09266       97.58962         1.679e-04 
  2783.750          65.205      7.597     59.483            4.625        20076.327      2.384      0.000      0.000    0.00090   15.62993           -2.16038       97.59816         1.719e-04 
  2784.750          65.031      7.591     59.523            4.438        20080.810      2.384      0.000      0.000    0.00088   14.98827           -2.23459       97.60687         1.760e-04 
  2785.750          64.859      7.586     59.561            4.235        20085.098      2.384      0.000      0.000    0.00086   14.29169           -2.31637       97.61579         1.801e-04 
  2786.750          64.689      7.581     59.598            4.015        20089.176      2.384      0.000      0.000    0.00084   13.54359           -2.40700       97.62500         1.842e-04 
  2787.750          64.522      7.577     59.633            3.782        20093.030      2.384      0.000      0.000    0.00082   12.75242           -2.50790       97.63458         1.883e-04 
  2788.750          64.359      7.572     59.665            3.540        20096.649      2.384      0.000      0.000    0.00081   11.93226           -2.62066       97.64457         1.924e-04 
  2789.750          64.199      7.568     59.696            3.295        20100.027      2.384      0.000      0.000    0.00079   11.10225           -2.74692       97.65504         1.965e-04 
  2790.750          64.043      7.564     59.724            3.054        20103.164      2.384      0.000      0.000    0.00077   10.28420           -2.88831       97.66600         2.006e-04 
  2791.750          63.891      7.561     59.750            2.823        20106.067      2.384      0.000      0.000    0.00076    9.49914           -3.04635       97.67741         2.046e-04 
  2792.750          63.743      7.558     59.774            2.607        20108.748      2.384      0.000      0.000    0.00074    8.76391           -3.22236       97.68922         2.086e-04 
  2793.750          63.598      7.555     59.796            2.408        20111.225      2.384      0.000      0.000    0.00073    8.08931           -3.41743       97.70134         2.126e-04 
  2794.750          63.456      7.552     59.817            2.229        20113.514      2.384      0.000      0.000    0.00072    7.47990           -3.63236       97.71368         2.166e-04 
  2795.750          63.316      7.549     59.836            2.069        20115.637      2.384      0.000      0.000    0.00070    6.93520           -3.86772       97.72614         2.205e-04 
  2796.750          63.177      7.547     59.853            1.928        20117.609      2.384      0.000      0.000    0.00069    6.45143           -4.12387       97.73865         2.245e-04 
  2797.750          63.038      7.545     59.870            1.802        20119.449      2.384      0.000      0.000    0.00068    6.02269           -4.40099       97.75113         2.285e-04 
  2798.750          62.900      7.543     59.885            1.690        20121.172      2.384      0.000      0.000    0.00067    5.64062           -4.69927       97.76360         2.326e-04 
  2799.750          62.761      7.541     59.900            1.589        20122.788      2.384      0.000      0.000    0.00066    5.29807           -5.01891       97.77608         2.367e-04 
  2800.750          62.622      7.539     59.914            1.498        20124.310      2.384      0.000      0.000    0.00064    4.98930           -5.36013       97.78857         2.409e-04 
  2801.750          62.481      7.537     59.926            1.416        20125.746      2.384      0.000      0.000    0.00063    4.70960           -5.72314       97.80107         2.453e-04 
  2802.750          62.339      7.535     59.939            1.341        20127.103      2.384      0.000      0.000    0.00062    4.45509           -6.10817       97.81360         2.497e-04 
  2803.750          62.196      7.534     59.950            1.273        20128.389      2.384      0.000      0.000    0.00061    4.22259           -6.51545       97.82616         2.542e-04 
  2804.750          62.050      7.532     59.961            1.210        20129.610      2.384      0.000      0.000    0.00060    4.00938           -6.94520       97.83874         2.589e-04 
  2805.750          61.903      7.531     59.972            1.152        20130.770      2.384      0.000      0.000    0.00059    3.81321           -7.39764       97.85134         2.636e-04 
  2806.750          61.754      7.530     59.981            1.099        20131.875      2.384      0.000      0.000    0.00058    3.63215           -7.87298       97.86398         2.686e-04 
  2807.750          61.602      7.528     59.991            1.050        20132.929      2.384      0.000      0.000    0.00057    3.46455           -8.37144       97.87663         2.737e-04 
  2808.750          61.448      7.527     60.000            1.004        20133.934      2.384      0.000      0.000    0.00056    3.30901           -8.89319       97.88931         2.789e-04 
  2809.750          61.291      7.526     60.009            0.962        20134.895      2.384      0.000      0.000    0.00055    3.16432           -9.43841       97.90200         2.843e-04 
  2810.750          61.132      7.525     60.017            0.922        20135.815      2.384      0.000      0.000    0.00053    3.02941          -10.00728       97.91469         2.899e-04 
  2811.750          60.971      7.524     60.025            0.885        20136.695      2.384      0.000      0.000    0.00052    2.90337          -10.59991       97.92739         2.957e-04 
  2812.750          60.807      7.522     60.032            0.851        20137.539      2.384      0.000      0.000    0.00051    2.78541          -11.21644       97.94007         3.017e-04 
  2813.750          60.640      7.521     60.040            0.818        20138.349      2.384      0.000      0.000    0.00050    2.67481          -11.85694       97.95273         3.078e-04 
  2814.750          60.470      7.520     60.047            0.788        20139.127      2.384      0.000      0.000    0.00049    2.57096          -12.52148       97.96535         3.142e-04 
  2815.750          60.298      7.520     60.053            0.759        20139.874      2.384      0.000      0.000    0.00048    2.47332          -13.21008       97.97791         3.208e-04 
  2816.750          60.123      7.519     60.060            0.732        20140.592      2.384      0.000      0.000    0.00047    2.38138          -13.92275       97.99040         3.277e-04 
  2817.750          59.946      7.518     60.066            0.707        20141.283      2.384      0.000      0.000    0.00046    2.29473          -14.65943       98.00280         3.347e-04 
  2818.750          59.766      7.517     60.072            0.683        20141.948      2.384      0.000      0.000    0.00045    2.21298          -15.42005       98.01508         3.420e-04 
