#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATHRS.e451289e-5733-4b98-b37f-782c24ac28c2_Trajectory.txt
# RunID         : PySara
# ObjectID      : e451289e-5733-4b98-b37f-782c24ac28c2
# ObjectName    : ASCATHRS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      2.982      0.000      0.000    0.04779   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.170        13603.514      2.981      0.000      0.000    0.04772   25.70643           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.158        13606.697      2.977      0.000      0.000    0.04740   25.66065           -0.83253       83.16194         1.544e-05 
  1884.750          81.657      7.893   -110.120            7.132        13613.751      2.966      0.000      0.000    0.04668   25.55545           -0.83734       83.17184         1.568e-05 
  1885.750          81.552      7.900   -110.056            7.106        13620.780      2.954      0.000      0.000    0.04592   25.44208           -0.84265       83.18172         1.594e-05 
  1886.750          81.447      7.908   -109.993            7.080        13627.783      2.943      0.000      0.000    0.04517   25.32829           -0.84849       83.19158         1.620e-05 
  1887.750          81.342      7.915   -109.931            7.054        13634.761      2.932      0.000      0.000    0.04443   25.21407           -0.85484       83.20141         1.647e-05 
  1888.750          81.237      7.923   -109.868            7.027        13641.712      2.921      0.000      0.000    0.04370   25.09941           -0.86171       83.21122         1.675e-05 
  1889.750          81.131      7.930   -109.806            7.001        13648.637      2.910      0.000      0.000    0.04298   24.98431           -0.86912       83.22101         1.703e-05 
  1890.750          81.025      7.937   -109.744            6.974        13655.536      2.900      0.000      0.000    0.04227   24.86874           -0.87705       83.23078         1.731e-05 
  1891.750          80.918      7.945   -109.682            6.942        13662.406      2.889      0.000      0.000    0.04157   24.73531           -0.88557       83.24053         1.760e-05 
  1892.750          80.810      7.952   -109.620            6.898        13669.239      2.879      0.000      0.000    0.04088   24.56546           -0.89483       83.25025         1.790e-05 
  1893.750          80.702      7.959   -109.559            6.834        13676.019      2.869      0.000      0.000    0.04020   24.32517           -0.90514       83.25994         1.820e-05 
  1894.750          80.595      7.966   -109.499            6.712        13682.706      2.859      0.000      0.000    0.03954   23.89531           -0.91724       83.26959         1.851e-05 
  1895.369          80.531      7.970   -109.464            6.123        13686.623      2.854      0.000      0.000    0.03911   21.97746           -0.92823       83.27597         1.871e-05 
