#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.DPU-SEM.bd7f8fe5-b32a-460c-b396-4790d4115078_Trajectory.txt
# RunID         : PySara
# ObjectID      : bd7f8fe5-b32a-460c-b396-4790d4115078
# ObjectName    : DPU-SEM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      2.749      0.000      0.000    0.02405   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.172        13603.514      2.749      0.000      0.000    0.02402   25.71207           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.168        13606.699      2.747      0.000      0.000    0.02386   25.69246           -0.83249       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.160        13613.772      2.743      0.000      0.000    0.02350   25.64725           -0.83696       83.17185         1.568e-05 
  1885.750          81.551      7.900   -110.056            7.152        13620.838      2.739      0.000      0.000    0.02311   25.59829           -0.84158       83.18175         1.594e-05 
  1886.750          81.446      7.908   -109.992            7.144        13627.895      2.734      0.000      0.000    0.02273   25.54889           -0.84637       83.19166         1.620e-05 
  1887.750          81.340      7.915   -109.929            7.136        13634.945      2.730      0.000      0.000    0.02236   25.49904           -0.85132       83.20157         1.648e-05 
  1888.750          81.234      7.923   -109.866            7.127        13641.986      2.726      0.000      0.000    0.02199   25.44876           -0.85643       83.21148         1.675e-05 
  1889.750          81.127      7.930   -109.802            7.119        13649.019      2.723      0.000      0.000    0.02162   25.39801           -0.86170       83.22139         1.703e-05 
  1890.750          81.020      7.938   -109.739            7.110        13656.044      2.719      0.000      0.000    0.02126   25.34681           -0.86714       83.23130         1.732e-05 
  1891.750          80.912      7.945   -109.676            7.102        13663.060      2.716      0.000      0.000    0.02091   25.29515           -0.87276       83.24121         1.762e-05 
  1892.750          80.804      7.953   -109.613            7.093        13670.068      2.712      0.000      0.000    0.02056   25.24301           -0.87855       83.25112         1.792e-05 
  1893.750          80.695      7.960   -109.550            7.084        13677.068      2.709      0.000      0.000    0.02021   25.19040           -0.88451       83.26103         1.822e-05 
  1894.750          80.585      7.968   -109.487            7.075        13684.058      2.706      0.000      0.000    0.01987   25.13730           -0.89065       83.27093         1.854e-05 
  1895.750          80.475      7.975   -109.424            7.066        13691.040      2.703      0.000      0.000    0.01954   25.08372           -0.89697       83.28084         1.886e-05 
  1896.750          80.364      7.982   -109.361            7.057        13698.012      2.700      0.000      0.000    0.01920   25.02963           -0.90347       83.29074         1.918e-05 
  1897.750          80.252      7.990   -109.298            7.047        13704.976      2.698      0.000      0.000    0.01888   24.97504           -0.91016       83.30065         1.951e-05 
  1898.750          80.140      7.997   -109.236            7.038        13711.930      2.695      0.000      0.000    0.01855   24.91995           -0.91704       83.31055         1.986e-05 
  1899.750          80.027      8.004   -109.173            7.028        13718.875      2.693      0.000      0.000    0.01823   24.86433           -0.92411       83.32045         2.020e-05 
  1900.750          79.913      8.012   -109.110            7.018        13725.811      2.690      0.000      0.000    0.01792   24.80820           -0.93138       83.33035         2.056e-05 
  1901.750          79.799      8.019   -109.048            7.008        13732.736      2.688      0.000      0.000    0.01761   24.75153           -0.93884       83.34025         2.092e-05 
  1902.750          79.683      8.026   -108.986            6.998        13739.652      2.686      0.000      0.000    0.01730   24.69433           -0.94651       83.35015         2.129e-05 
  1903.750          79.567      8.033   -108.924            6.988        13746.559      2.684      0.000      0.000    0.01700   24.63659           -0.95438       83.36005         2.168e-05 
  1904.750          79.451      8.041   -108.861            6.978        13753.455      2.682      0.000      0.000    0.01670   24.57831           -0.96245       83.36994         2.206e-05 
  1905.750          79.333      8.048   -108.799            6.967        13760.340      2.681      0.000      0.000    0.01640   24.51901           -0.97074       83.37984         2.246e-05 
  1906.750          79.215      8.055   -108.737            6.955        13767.215      2.679      0.000      0.000    0.01611   24.45680           -0.97925       83.38973         2.287e-05 
  1907.750          79.095      8.062   -108.676            6.943        13774.078      2.677      0.000      0.000    0.01582   24.39102           -0.98800       83.39962         2.329e-05 
  1908.750          78.975      8.069   -108.614            6.929        13780.929      2.676      0.000      0.000    0.01553   24.32110           -0.99701       83.40951         2.372e-05 
  1909.750          78.854      8.076   -108.552            6.914        13787.765      2.675      0.000      0.000    0.01525   24.24636           -1.00632       83.41940         2.415e-05 
  1910.750          78.732      8.083   -108.491            6.897        13794.585      2.673      0.000      0.000    0.01497   24.16590           -1.01595       83.42929         2.460e-05 
  1911.750          78.610      8.090   -108.429            6.878        13801.387      2.672      0.000      0.000    0.01470   24.07855           -1.02593       83.43917         2.506e-05 
  1912.750          78.486      8.097   -108.368            6.857        13808.170      2.671      0.000      0.000    0.01443   23.98277           -1.03632       83.44905         2.553e-05 
  1913.750          78.362      8.104   -108.307            6.832        13814.931      2.670      0.000      0.000    0.01416   23.87640           -1.04717       83.45893         2.601e-05 
  1914.750          78.236      8.111   -108.247            6.804        13821.665      2.670      0.000      0.000    0.01390   23.75637           -1.05855       83.46881         2.650e-05 
  1915.750          78.110      8.118   -108.186            6.770        13828.368      2.669      0.000      0.000    0.01364   23.61804           -1.07056       83.47869         2.701e-05 
  1916.750          77.983      8.125   -108.126            6.728        13835.035      2.668      0.000      0.000    0.01338   23.45401           -1.08333       83.48857         2.753e-05 
  1917.750          77.856      8.132   -108.066            6.674        13841.654      2.668      0.000      0.000    0.01313   23.25129           -1.09706       83.49848         2.805e-05 
  1918.750          77.728      8.138   -108.007            6.601        13848.211      2.667      0.000      0.000    0.01288   22.98393           -1.11204       83.50844         2.860e-05 
  1919.750          77.600      8.145   -107.949            6.489        13854.676      2.667      0.000      0.000    0.01264   22.58731           -1.12887       83.51855         2.915e-05 
