#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EDR-internal.e95fb00d-0612-45b8-8e8e-80e421fe680b_Trajectory.txt
# RunID         : PySara
# ObjectID      : e95fb00d-0612-45b8-8e8e-80e421fe680b
# ObjectName    : EDR-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1847.650          84.789      7.593   -112.562            7.033        13342.278      1.866      0.000      0.000    0.03978   25.75556           -0.85150       82.80258         9.440e-06 
  1847.750          84.778      7.593   -112.556            7.032        13342.972      1.865      0.000      0.000    0.03972   25.75088           -0.85220       82.80352         9.454e-06 
  1848.200          84.731      7.597   -112.528            7.027        13346.094      1.862      0.000      0.000    0.03944   25.72912           -0.85540       82.80775         9.522e-06 
  1849.200          84.626      7.605   -112.466            7.017        13353.024      1.856      0.000      0.000    0.03880   25.67886           -0.86264       82.81715         9.679e-06 
  1850.200          84.520      7.613   -112.403            7.007        13359.944      1.850      0.000      0.000    0.03812   25.62432           -0.87007       82.82655         9.851e-06 
  1851.200          84.413      7.620   -112.341            6.997        13366.854      1.843      0.000      0.000    0.03745   25.56918           -0.87771       82.83594         1.003e-05 
  1852.200          84.306      7.628   -112.279            6.987        13373.755      1.837      0.000      0.000    0.03679   25.51342           -0.88555       82.84534         1.021e-05 
  1853.200          84.197      7.636   -112.217            6.977        13380.645      1.831      0.000      0.000    0.03613   25.45705           -0.89359       82.85472         1.039e-05 
  1854.200          84.088      7.644   -112.155            6.967        13387.526      1.825      0.000      0.000    0.03549   25.40005           -0.90185       82.86411         1.058e-05 
  1855.200          83.978      7.651   -112.094            6.956        13394.396      1.819      0.000      0.000    0.03485   25.34240           -0.91031       82.87349         1.078e-05 
  1856.200          83.867      7.659   -112.032            6.945        13401.256      1.813      0.000      0.000    0.03422   25.28411           -0.91899       82.88287         1.097e-05 
  1857.200          83.755      7.667   -111.970            6.935        13408.105      1.807      0.000      0.000    0.03360   25.22516           -0.92788       82.89224         1.118e-05 
  1858.200          83.642      7.674   -111.909            6.921        13414.943      1.801      0.000      0.000    0.03298   25.15779           -0.93702       82.90161         1.139e-05 
  1859.200          83.529      7.682   -111.848            6.867        13421.747      1.796      0.000      0.000    0.03238   24.95927           -0.94682       82.91105         1.160e-05 
