#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.IASI-IMS-internal.4c90b642-dc9f-481d-89b1-f740beeca2a8_Trajectory.txt
# RunID         : PySara
# ObjectID      : 4c90b642-dc9f-481d-89b1-f740beeca2a8
# ObjectName    : IASI-IMS-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1925.750          76.828      8.190   -107.552            6.826        13898.690      1.124      0.000      0.000    0.00930   23.58557           -1.12485       83.58093         3.276e-05 
  1925.850          76.815      8.190   -107.546            6.824        13899.365      1.124      0.000      0.000    0.00928   23.57805           -1.12598       83.58193         3.281e-05 
  1926.300          76.754      8.194   -107.519            6.815        13902.396      1.124      0.000      0.000    0.00921   23.54311           -1.13110       83.58643         3.308e-05 
  1927.300          76.619      8.200   -107.458            6.796        13909.120      1.124      0.000      0.000    0.00904   23.46256           -1.14278       83.59642         3.370e-05 
  1928.300          76.483      8.207   -107.398            6.777        13915.825      1.124      0.000      0.000    0.00886   23.37539           -1.15486       83.60640         3.438e-05 
  1929.300          76.346      8.214   -107.337            6.758        13922.511      1.124      0.000      0.000    0.00868   23.28752           -1.16734       83.61638         3.508e-05 
  1930.300          76.208      8.221   -107.277            6.738        13929.178      1.124      0.000      0.000    0.00851   23.19895           -1.18023       83.62634         3.580e-05 
  1931.300          76.069      8.227   -107.217            6.718        13935.825      1.124      0.000      0.000    0.00833   23.10967           -1.19354       83.63630         3.654e-05 
  1932.300          75.928      8.234   -107.158            6.697        13942.452      1.124      0.000      0.000    0.00816   23.01969           -1.20728       83.64625         3.730e-05 
  1933.300          75.786      8.240   -107.098            6.676        13949.059      1.124      0.000      0.000    0.00800   22.92899           -1.22146       83.65618         3.808e-05 
  1934.300          75.643      8.247   -107.038            6.655        13955.645      1.124      0.000      0.000    0.00783   22.83759           -1.23607       83.66611         3.889e-05 
  1935.300          75.499      8.254   -106.979            6.634        13962.211      1.124      0.000      0.000    0.00767   22.74547           -1.25114       83.67603         3.972e-05 
  1936.300          75.354      8.260   -106.920            6.576        13968.737      1.124      0.000      0.000    0.00751   22.54377           -1.26692       83.68625         4.057e-05 
