#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.RFCU2.03d80678-6f38-48b9-b979-dc9107292c5a_Trajectory.txt
# RunID         : PySara
# ObjectID      : 03d80678-6f38-48b9-b979-dc9107292c5a
# ObjectName    : RFCU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.567      0.000      0.000    0.03679   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.171        13603.514      1.566      0.000      0.000    0.03674   25.71103           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.166        13606.699      1.564      0.000      0.000    0.03650   25.68658           -0.83249       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.155        13613.769      1.560      0.000      0.000    0.03594   25.63026           -0.83703       83.17184         1.568e-05 
  1885.750          81.552      7.900   -110.056            7.144        13620.827      1.555      0.000      0.000    0.03535   25.56934           -0.84178       83.18175         1.594e-05 
  1886.750          81.446      7.908   -109.993            7.132        13627.874      1.550      0.000      0.000    0.03477   25.50796           -0.84676       83.19165         1.620e-05 
  1887.750          81.341      7.915   -109.929            7.121        13634.910      1.546      0.000      0.000    0.03420   25.44611           -0.85197       83.20154         1.647e-05 
  1888.750          81.235      7.923   -109.866            7.109        13641.935      1.541      0.000      0.000    0.03363   25.38378           -0.85740       83.21144         1.675e-05 
  1889.750          81.128      7.930   -109.803            7.097        13648.948      1.537      0.000      0.000    0.03308   25.32097           -0.86307       83.22132         1.703e-05 
  1890.750          81.021      7.938   -109.740            7.085        13655.950      1.533      0.000      0.000    0.03253   25.25767           -0.86898       83.23121         1.732e-05 
