#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.RWheel3.3643ab44-f912-4884-babe-b7c09067369a_Trajectory.txt
# RunID         : PySara
# ObjectID      : 3643ab44-f912-4884-babe-b7c09067369a
# ObjectName    : RWheel3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1746.100          93.024      6.720   -119.051            7.319        12619.049      1.249      0.000      0.000    0.14879   27.44140           -0.51863       81.88270         2.161e-06 
  1746.200          93.017      6.721   -119.044            7.319        12619.770      1.249      0.000      0.000    0.14863   27.44147           -0.51876       81.88356         2.163e-06 
  1746.650          92.987      6.725   -119.015            7.319        12623.017      1.247      0.000      0.000    0.14788   27.44179           -0.51937       81.88741         2.174e-06 
  1747.650          92.921      6.735   -118.951            7.318        12630.230      1.242      0.000      0.000    0.14618   27.44242           -0.52073       81.89599         2.200e-06 
  1748.650          92.854      6.744   -118.886            7.317        12637.443      1.238      0.000      0.000    0.14438   27.44294           -0.52211       81.90458         2.228e-06 
  1749.650          92.788      6.753   -118.822            7.316        12644.655      1.233      0.000      0.000    0.14259   27.44327           -0.52351       81.91318         2.256e-06 
  1750.650          92.721      6.762   -118.757            7.315        12651.866      1.229      0.000      0.000    0.14083   27.44343           -0.52492       81.92180         2.284e-06 
  1751.650          92.654      6.771   -118.693            7.314        12659.076      1.224      0.000      0.000    0.13908   27.44342           -0.52636       81.93042         2.313e-06 
  1752.650          92.586      6.780   -118.628            7.313        12666.285      1.219      0.000      0.000    0.13735   27.44322           -0.52781       81.93906         2.343e-06 
  1753.650          92.519      6.789   -118.563            7.312        12673.494      1.215      0.000      0.000    0.13563   27.44284           -0.52928       81.94770         2.373e-06 
  1754.650          92.451      6.799   -118.499            7.312        12680.702      1.210      0.000      0.000    0.13394   27.44227           -0.53077       81.95636         2.403e-06 
  1755.650          92.383      6.808   -118.434            7.311        12687.908      1.205      0.000      0.000    0.13226   27.44152           -0.53228       81.96503         2.434e-06 
  1756.650          92.315      6.817   -118.370            7.310        12695.115      1.201      0.000      0.000    0.13060   27.44058           -0.53380       81.97371         2.465e-06 
  1757.650          92.247      6.826   -118.305            7.309        12702.320      1.196      0.000      0.000    0.12895   27.43945           -0.53535       81.98240         2.496e-06 
  1758.650          92.179      6.835   -118.241            7.308        12709.524      1.192      0.000      0.000    0.12733   27.43813           -0.53691       81.99110         2.529e-06 
  1759.650          92.110      6.844   -118.176            7.307        12716.727      1.187      0.000      0.000    0.12572   27.43661           -0.53850       81.99981         2.561e-06 
  1760.650          92.042      6.853   -118.112            7.306        12723.930      1.182      0.000      0.000    0.12412   27.43490           -0.54010       82.00853         2.594e-06 
  1761.650          91.973      6.862   -118.047            7.305        12731.132      1.178      0.000      0.000    0.12255   27.43299           -0.54172       82.01727         2.628e-06 
  1762.650          91.903      6.871   -117.983            7.304        12738.332      1.173      0.000      0.000    0.12099   27.43087           -0.54336       82.02601         2.662e-06 
  1763.650          91.834      6.880   -117.918            7.303        12745.532      1.168      0.000      0.000    0.11944   27.42855           -0.54503       82.03477         2.697e-06 
  1764.650          91.764      6.889   -117.854            7.302        12752.731      1.164      0.000      0.000    0.11792   27.42603           -0.54671       82.04354         2.732e-06 
  1765.650          91.695      6.898   -117.789            7.301        12759.929      1.159      0.000      0.000    0.11640   27.42330           -0.54841       82.05231         2.768e-06 
  1766.650          91.625      6.907   -117.725            7.300        12767.126      1.155      0.000      0.000    0.11491   27.42036           -0.55014       82.06110         2.804e-06 
  1767.650          91.555      6.916   -117.660            7.299        12774.322      1.150      0.000      0.000    0.11343   27.41720           -0.55188       82.06990         2.841e-06 
  1768.650          91.484      6.925   -117.596            7.298        12781.517      1.145      0.000      0.000    0.11196   27.41383           -0.55365       82.07871         2.878e-06 
  1769.650          91.413      6.934   -117.531            7.297        12788.712      1.141      0.000      0.000    0.11052   27.41024           -0.55543       82.08753         2.916e-06 
  1770.650          91.343      6.943   -117.467            7.295        12795.905      1.136      0.000      0.000    0.10908   27.40643           -0.55724       82.09636         2.955e-06 
  1771.650          91.272      6.952   -117.402            7.294        12803.097      1.131      0.000      0.000    0.10766   27.40240           -0.55907       82.10521         2.994e-06 
  1772.650          91.200      6.961   -117.338            7.293        12810.288      1.127      0.000      0.000    0.10626   27.39814           -0.56092       82.11406         3.034e-06 
  1773.650          91.129      6.970   -117.273            7.292        12817.478      1.122      0.000      0.000    0.10487   27.39365           -0.56280       82.12292         3.074e-06 
  1774.650          91.057      6.979   -117.209            7.291        12824.668      1.118      0.000      0.000    0.10350   27.38894           -0.56469       82.13180         3.115e-06 
  1775.650          90.985      6.988   -117.144            7.290        12831.856      1.113      0.000      0.000    0.10214   27.38398           -0.56661       82.14068         3.157e-06 
  1776.650          90.913      6.997   -117.080            7.289        12839.043      1.109      0.000      0.000    0.10079   27.37880           -0.56855       82.14958         3.199e-06 
  1777.650          90.840      7.005   -117.016            7.288        12846.229      1.104      0.000      0.000    0.09946   27.37337           -0.57052       82.15848         3.242e-06 
  1778.650          90.768      7.014   -116.951            7.287        12853.414      1.099      0.000      0.000    0.09815   27.36770           -0.57250       82.16740         3.286e-06 
  1779.650          90.695      7.023   -116.887            7.285        12860.598      1.095      0.000      0.000    0.09685   27.36178           -0.57451       82.17632         3.331e-06 
  1780.650          90.622      7.032   -116.822            7.284        12867.781      1.090      0.000      0.000    0.09556   27.35562           -0.57655       82.18526         3.376e-06 
  1781.650          90.548      7.041   -116.758            7.283        12874.963      1.086      0.000      0.000    0.09428   27.34920           -0.57860       82.19420         3.422e-06 
  1782.650          90.475      7.050   -116.694            7.282        12882.143      1.081      0.000      0.000    0.09302   27.34253           -0.58068       82.20316         3.468e-06 
  1783.650          90.401      7.058   -116.629            7.281        12889.323      1.077      0.000      0.000    0.09178   27.33560           -0.58279       82.21213         3.516e-06 
  1784.650          90.326      7.067   -116.565            7.279        12896.501      1.072      0.000      0.000    0.09054   27.32841           -0.58492       82.22111         3.564e-06 
