#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SRADipl.dddb594c-b70e-477c-997f-a3cee0aabb6a_Trajectory.txt
# RunID         : PySara
# ObjectID      : dddb594c-b70e-477c-997f-a3cee0aabb6a
# ObjectName    : SRADipl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.446      0.000      0.000    0.02342   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.171        13603.514      1.446      0.000      0.000    0.02338   25.70949           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.164        13606.698      1.445      0.000      0.000    0.02323   25.67788           -0.83250       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.147        13613.763      1.443      0.000      0.000    0.02287   25.60505           -0.83713       83.17184         1.568e-05 
  1885.750          81.552      7.900   -110.056            7.131        13620.811      1.441      0.000      0.000    0.02250   25.52625           -0.84208       83.18174         1.594e-05 
  1886.750          81.447      7.908   -109.993            7.114        13627.844      1.439      0.000      0.000    0.02213   25.44684           -0.84734       83.19162         1.620e-05 
  1887.750          81.341      7.915   -109.930            7.098        13634.860      1.437      0.000      0.000    0.02177   25.36680           -0.85294       83.20150         1.647e-05 
  1888.750          81.235      7.923   -109.867            7.081        13641.859      1.435      0.000      0.000    0.02141   25.28612           -0.85887       83.21136         1.675e-05 
  1889.750          81.129      7.930   -109.804            7.064        13648.842      1.433      0.000      0.000    0.02105   25.20479           -0.86513       83.22122         1.703e-05 
  1890.750          81.022      7.938   -109.741            7.047        13655.808      1.431      0.000      0.000    0.02071   25.12281           -0.87173       83.23106         1.732e-05 
  1891.750          80.915      7.945   -109.678            7.029        13662.757      1.429      0.000      0.000    0.02036   25.04015           -0.87868       83.24089         1.761e-05 
  1892.750          80.807      7.952   -109.616            7.011        13669.689      1.428      0.000      0.000    0.02002   24.95682           -0.88598       83.25071         1.791e-05 
  1893.750          80.698      7.960   -109.554            6.994        13676.603      1.426      0.000      0.000    0.01969   24.87280           -0.89363       83.26052         1.821e-05 
  1894.750          80.588      7.967   -109.492            6.976        13683.500      1.425      0.000      0.000    0.01936   24.78809           -0.90164       83.27032         1.853e-05 
  1895.750          80.478      7.974   -109.430            6.956        13690.378      1.423      0.000      0.000    0.01903   24.69681           -0.91003       83.28011         1.885e-05 
  1896.750          80.367      7.982   -109.368            6.932        13697.234      1.422      0.000      0.000    0.01871   24.59337           -0.91886       83.28989         1.917e-05 
  1897.750          80.256      7.989   -109.306            6.903        13704.065      1.421      0.000      0.000    0.01839   24.47275           -0.92820       83.29965         1.950e-05 
  1898.750          80.144      7.996   -109.245            6.867        13710.864      1.419      0.000      0.000    0.01807   24.32685           -0.93818       83.30940         1.984e-05 
  1899.750          80.031      8.003   -109.184            6.819        13717.621      1.418      0.000      0.000    0.01776   24.14010           -0.94900       83.31912         2.019e-05 
  1900.750          79.918      8.010   -109.124            6.747        13724.319      1.417      0.000      0.000    0.01746   23.87621           -0.96099       83.32882         2.054e-05 
  1901.750          79.805      8.017   -109.064            6.614        13730.916      1.416      0.000      0.000    0.01716   23.41146           -0.97495       83.33854         2.090e-05 
  1902.585          79.715      8.022   -109.018            5.989        13736.103      1.415      0.000      0.000    0.01691   21.38074           -0.99206       83.34743         2.120e-05 
