#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Compound_of-_IFring-PLM-SVM-SolarP.804569073003528447_Trajectory.txt
# RunID         : PySara
# ObjectID      : 804569073003528447
# ObjectName    : Compound_of-_IFring-PLM-SVM-SolarP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000         124.979     -9.486    -56.550            7.368            0.000      1.640      0.000      0.000    0.63694   17.53702           -0.00978       86.45699         1.431e-08 
     0.100         124.979     -9.486    -56.543            7.368            0.723      1.640      0.000      0.000    0.63693   17.53705           -0.00978       86.45577         1.431e-08 
     0.550         124.978     -9.484    -56.514            7.368            3.974      1.640      0.000      0.000    0.63689   17.53723           -0.00978       86.45028         1.431e-08 
     1.550         124.977     -9.480    -56.448            7.368           11.200      1.640      0.000      0.000    0.63679   17.53764           -0.00979       86.43808         1.431e-08 
     2.550         124.976     -9.476    -56.382            7.368           18.426      1.640      0.000      0.000    0.63668   17.53809           -0.00980       86.42588         1.432e-08 
     3.550         124.975     -9.472    -56.317            7.368           25.652      1.640      0.000      0.000    0.63658   17.53853           -0.00982       86.41370         1.432e-08 
     4.550         124.973     -9.468    -56.251            7.368           32.878      1.640      0.000      0.000    0.63647   17.53897           -0.00983       86.40151         1.432e-08 
     5.550         124.972     -9.464    -56.185            7.368           40.104      1.640      0.000      0.000    0.63636   17.53941           -0.00984       86.38934         1.432e-08 
     6.550         124.971     -9.459    -56.120            7.368           47.330      1.640      0.000      0.000    0.63626   17.53986           -0.00985       86.37717         1.433e-08 
     7.550         124.970     -9.455    -56.054            7.368           54.556      1.640      0.000      0.000    0.63615   17.54030           -0.00987       86.36500         1.433e-08 
     8.550         124.968     -9.451    -55.988            7.368           61.782      1.640      0.000      0.000    0.63605   17.54075           -0.00988       86.35284         1.433e-08 
