#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.FMU1.8c6e4d00-4ff8-4a89-ba8f-3af08b2a8d80_Trajectory.txt
# RunID         : PySara
# ObjectID      : 8c6e4d00-4ff8-4a89-ba8f-3af08b2a8d80
# ObjectName    : FMU1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      2.660      0.000      0.000    0.22148   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.237        10085.101      2.659      0.000      0.000    0.22116   24.18177           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.235        10088.312      2.654      0.000      0.000    0.21970   24.17996           -0.80573       80.40420         3.361e-06 
  1399.750          89.990      4.362     33.419            7.228        10095.444      2.644      0.000      0.000    0.21637   24.17563           -0.80878       80.40969         3.413e-06 
  1400.750          89.888      4.373     33.483            7.222        10102.569      2.632      0.000      0.000    0.21284   24.17070           -0.81194       80.41519         3.470e-06 
  1401.750          89.786      4.383     33.546            7.216        10109.688      2.621      0.000      0.000    0.20936   24.16548           -0.81522       80.42071         3.528e-06 
  1402.750          89.683      4.394     33.609            7.210        10116.801      2.609      0.000      0.000    0.20592   24.15996           -0.81863       80.42623         3.587e-06 
  1403.750          89.580      4.405     33.672            7.203        10123.908      2.598      0.000      0.000    0.20252   24.15414           -0.82216       80.43176         3.647e-06 
  1404.750          89.476      4.415     33.735            7.197        10131.009      2.586      0.000      0.000    0.19916   24.14802           -0.82582       80.43730         3.709e-06 
  1405.750          89.372      4.426     33.798            7.190        10138.103      2.574      0.000      0.000    0.19584   24.14160           -0.82961       80.44285         3.772e-06 
  1406.750          89.268      4.437     33.861            7.183        10145.191      2.562      0.000      0.000    0.19257   24.13486           -0.83353       80.44841         3.837e-06 
  1407.750          89.163      4.447     33.924            7.177        10152.272      2.550      0.000      0.000    0.18933   24.12782           -0.83759       80.45398         3.902e-06 
  1408.750          89.058      4.458     33.987            7.170        10159.347      2.538      0.000      0.000    0.18613   24.12047           -0.84177       80.45956         3.970e-06 
  1409.750          88.953      4.469     34.050            7.163        10166.415      2.526      0.000      0.000    0.18297   24.11279           -0.84609       80.46515         4.038e-06 
  1410.750          88.847      4.479     34.112            7.156        10173.477      2.514      0.000      0.000    0.17985   24.10480           -0.85054       80.47075         4.109e-06 
  1411.750          88.740      4.490     34.175            7.149        10180.531      2.501      0.000      0.000    0.17677   24.09648           -0.85514       80.47636         4.181e-06 
  1412.750          88.633      4.500     34.238            7.142        10187.579      2.489      0.000      0.000    0.17372   24.08783           -0.85987       80.48198         4.254e-06 
  1413.750          88.526      4.511     34.300            7.135        10194.620      2.476      0.000      0.000    0.17071   24.07884           -0.86475       80.48760         4.329e-06 
