#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SARP-3-internal.792e896a-aee6-4a79-8dde-e7ec1261d254_Trajectory.txt
# RunID         : PySara
# ObjectID      : 792e896a-aee6-4a79-8dde-e7ec1261d254
# ObjectName    : SARP-3-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1450.750          84.182      4.895     36.612            6.986        10454.599      1.995      0.000      0.000    0.07454   24.06308           -1.05879       80.70438         8.895e-06 
  1450.850          84.169      4.896     36.618            6.985        10455.288      1.994      0.000      0.000    0.07440   24.06040           -1.05958       80.70498         8.911e-06 
  1451.300          84.110      4.900     36.645            6.979        10458.389      1.989      0.000      0.000    0.07376   24.04790           -1.06320       80.70769         8.990e-06 
  1452.300          83.981      4.910     36.707            6.967        10465.271      1.977      0.000      0.000    0.07229   24.01881           -1.07140       80.71373         9.173e-06 
  1453.300          83.850      4.920     36.768            6.955        10472.141      1.964      0.000      0.000    0.07073   23.98691           -1.07986       80.71976         9.374e-06 
  1454.300          83.718      4.930     36.829            6.942        10479.000      1.952      0.000      0.000    0.06920   23.95430           -1.08856       80.72579         9.582e-06 
  1455.300          83.586      4.940     36.890            6.930        10485.846      1.939      0.000      0.000    0.06769   23.92098           -1.09752       80.73183         9.796e-06 
  1456.300          83.453      4.950     36.950            6.917        10492.679      1.927      0.000      0.000    0.06621   23.88695           -1.10674       80.73786         1.002e-05 
  1457.300          83.319      4.960     37.011            6.904        10499.500      1.915      0.000      0.000    0.06475   23.85218           -1.11622       80.74389         1.024e-05 
  1458.300          83.184      4.970     37.072            6.891        10506.309      1.903      0.000      0.000    0.06331   23.81667           -1.12596       80.74991         1.047e-05 
  1459.300          83.048      4.980     37.132            6.871        10513.101      1.891      0.000      0.000    0.06189   23.76042           -1.13603       80.75594         1.071e-05 
