#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.1.5 ) ----
#                                      ESA 2018
#
#                         final state of ballooning objects
#-------------------------------------------------------------------------------
# Filename      : ballooningData.txt
# RunID         : PySara
# Content       : This file lists the ballooning objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1515.600          70.564      5.485     40.286            4.509        10867.227      0.768      0.000      0.000    0.00906   15.75815  30601a1f-e611-4a72-8c68-0ba8610c2e29  RWheel1
  1515.600          70.564      5.485     40.286            4.509        10867.227      0.768      0.000      0.000    0.00906   15.75815  37335509-7a26-4e33-8286-b58da32b5558  RWheel2
  1515.600          70.564      5.485     40.286            4.509        10867.227      0.768      0.000      0.000    0.00906   15.75815  3643ab44-f912-4884-babe-b7c09067369a  RWheel3
  1323.650          96.245      3.482     28.344            4.625         9523.351     22.364      0.000      0.000    0.18087   15.10522  883e64dd-f62a-4f0f-b648-6335de21ffe8  Ribpanel1
  1323.650          96.245      3.482     28.344            4.625         9523.351     22.364      0.000      0.000    0.18087   15.10522  9e3c26d3-2fd2-49cd-b644-ff0bf4e0e01c  Ribpanel2
  1323.650          96.245      3.482     28.344            4.625         9523.351     22.364      0.000      0.000    0.18087   15.10522  e31d9ace-fa64-4d22-a535-fae55be369cf  Ribpanel3
  1323.650          96.245      3.482     28.344            4.625         9523.351     22.364      0.000      0.000    0.18087   15.10522  ca9090da-15bd-4e01-b2be-164e9518a87d  Ribpanel4
  1323.650          96.245      3.482     28.344            4.625         9523.351     22.364      0.000      0.000    0.18087   15.10522  58b6c41a-1b21-46ff-9726-bae063599b2f  Ribpanel5
  1482.690          71.466      5.087     37.799            3.985        10588.044      1.436      0.000      0.000    0.02576   13.99224  ede47fd6-52f1-47c4-b4dc-efc11d542e23  ValvTran1
  1482.690          71.466      5.087     37.799            3.985        10588.044      1.436      0.000      0.000    0.02576   13.99224  d434ed3a-2eb2-42cd-9156-a61e1e3e9de8  ValvTran2
  1482.690          71.466      5.087     37.799            3.985        10588.044      1.436      0.000      0.000    0.02576   13.99224  e3e44d35-027b-4caf-a9ef-a1f6bd2be195  ValvTran3
  1482.690          71.466      5.087     37.799            3.985        10588.044      1.436      0.000      0.000    0.02576   13.99224  e09ab47f-053d-4141-9264-f8406883a641  ValvTran4
  1482.690          71.466      5.087     37.799            3.985        10588.044      1.436      0.000      0.000    0.02576   13.99224  58838c96-18ea-434d-800d-53cb3df3f2e4  ValvTran5
  1482.690          71.466      5.087     37.799            3.985        10588.044      1.436      0.000      0.000    0.02576   13.99224  87c6b95c-c224-448c-87c5-2d4715000bb0  ValvTran6
