#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS-RPU-internal.03edc3be-cf19-481c-9863-89be7cb55690_Trajectory.txt
# RunID         : PySara
# ObjectID      : 03edc3be-cf19-481c-9863-89be7cb55690
# ObjectName    : ADCS-RPU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2272.453          71.781     -8.103   -125.756            6.525        16396.756      1.516      0.000      0.000    0.00358   22.49980           -1.35668       83.20788         6.708e-05 
  2272.553          71.766     -8.103   -125.750            6.522        16397.401      1.516      0.000      0.000    0.00357   22.48896           -1.35846       83.20698         6.722e-05 
  2273.003          71.696     -8.099   -125.724            6.507        16400.299      1.516      0.000      0.000    0.00354   22.43844           -1.36657       83.20291         6.787e-05 
  2274.003          71.540     -8.093   -125.666            6.474        16406.715      1.516      0.000      0.000    0.00346   22.32146           -1.38511       83.19390         6.937e-05 
  2275.003          71.383     -8.086   -125.609            6.441        16413.100      1.516      0.000      0.000    0.00338   22.19398           -1.40437       83.18495         7.104e-05 
  2276.003          71.224     -8.079   -125.552            6.407        16419.451      1.516      0.000      0.000    0.00330   22.06457           -1.42438       83.17606         7.276e-05 
  2277.003          71.064     -8.072   -125.495            6.373        16425.769      1.516      0.000      0.000    0.00322   21.93321           -1.44515       83.16721         7.453e-05 
  2278.003          70.903     -8.065   -125.438            6.339        16432.053      1.516      0.000      0.000    0.00315   21.79991           -1.46669       83.15843         7.635e-05 
  2279.003          70.740     -8.059   -125.382            6.304        16438.303      1.516      0.000      0.000    0.00307   21.66464           -1.48901       83.14970         7.823e-05 
  2280.003          70.575     -8.052   -125.326            6.268        16444.518      1.516      0.000      0.000    0.00300   21.52739           -1.51215       83.14102         8.017e-05 
  2281.003          70.409     -8.045   -125.270            6.232        16450.698      1.516      0.000      0.000    0.00292   21.38817           -1.53610       83.13241         8.217e-05 
  2282.003          70.241     -8.039   -125.215            6.196        16456.842      1.516      0.000      0.000    0.00285   21.24694           -1.56089       83.12384         8.424e-05 
  2283.003          70.072     -8.032   -125.160            6.104        16462.923      1.516      0.000      0.000    0.00278   20.93914           -1.58720       83.11586         8.636e-05 
