#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATSSP2.3f9a62c8-17bf-4f75-8cb7-33a024bd4a65_Trajectory.txt
# RunID         : PySara
# ObjectID      : 3f9a62c8-17bf-4f75-8cb7-33a024bd4a65
# ObjectName    : ASCATSSP2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      2.852      0.000      0.000    0.00804   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.129        16074.585      2.852      0.000      0.000    0.00803   24.79408           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.120        16077.751      2.852      0.000      0.000    0.00797   24.76758           -0.90658       83.67380         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.101        16084.775      2.852      0.000      0.000    0.00783   24.70619           -0.91213       83.66320         2.598e-05 
  2227.750          77.674     -8.419   -128.506            7.081        16091.780      2.852      0.000      0.000    0.00769   24.63927           -0.91807       83.65264         2.647e-05 
  2228.750          77.560     -8.412   -128.443            7.061        16098.766      2.852      0.000      0.000    0.00755   24.57131           -0.92440       83.64212         2.696e-05 
  2229.750          77.446     -8.405   -128.380            7.041        16105.731      2.852      0.000      0.000    0.00741   24.50229           -0.93113       83.63164         2.747e-05 
  2230.750          77.331     -8.398   -128.318            7.021        16112.677      2.852      0.000      0.000    0.00727   24.43221           -0.93826       83.62121         2.798e-05 
  2231.750          77.216     -8.391   -128.255            7.000        16119.603      2.852      0.000      0.000    0.00714   24.36104           -0.94580       83.61081         2.851e-05 
  2232.750          77.100     -8.384   -128.193            6.980        16126.509      2.852      0.000      0.000    0.00700   24.28877           -0.95376       83.60046         2.905e-05 
  2233.750          76.984     -8.377   -128.131            6.958        16133.394      2.852      0.000      0.000    0.00687   24.21539           -0.96214       83.59016         2.961e-05 
  2234.750          76.866     -8.370   -128.069            6.937        16140.258      2.852      0.000      0.000    0.00674   24.14089           -0.97095       83.57989         3.017e-05 
  2235.750          76.749     -8.363   -128.007            6.915        16147.101      2.852      0.000      0.000    0.00662   24.06524           -0.98020       83.56968         3.075e-05 
  2236.750          76.630     -8.356   -127.945            6.893        16153.922      2.852      0.000      0.000    0.00649   23.98843           -0.98989       83.55951         3.135e-05 
  2237.750          76.510     -8.349   -127.884            6.871        16160.722      2.852      0.000      0.000    0.00637   23.91044           -1.00004       83.54938         3.196e-05 
  2238.750          76.390     -8.343   -127.823            6.849        16167.499      2.852      0.000      0.000    0.00624   23.83125           -1.01065       83.53930         3.259e-05 
  2239.750          76.269     -8.336   -127.762            6.826        16174.255      2.852      0.000      0.000    0.00612   23.75085           -1.02172       83.52928         3.323e-05 
  2240.750          76.147     -8.329   -127.701            6.803        16180.987      2.852      0.000      0.000    0.00600   23.66921           -1.03327       83.51930         3.389e-05 
  2241.750          76.023     -8.322   -127.641            6.778        16187.696      2.852      0.000      0.000    0.00589   23.58189           -1.04532       83.50937         3.457e-05 
  2242.750          75.899     -8.315   -127.581            6.750        16194.379      2.852      0.000      0.000    0.00577   23.48415           -1.05792       83.49950         3.526e-05 
  2243.750          75.774     -8.308   -127.521            6.718        16201.033      2.852      0.000      0.000    0.00566   23.37318           -1.07113       83.48970         3.598e-05 
  2244.750          75.648     -8.301   -127.461            6.681        16207.653      2.852      0.000      0.000    0.00554   23.24555           -1.08506       83.47998         3.671e-05 
  2245.750          75.521     -8.295   -127.401            6.638        16214.234      2.852      0.000      0.000    0.00543   23.09637           -1.09983       83.47036         3.747e-05 
  2246.750          75.393     -8.288   -127.343            6.587        16220.768      2.852      0.000      0.000    0.00532   22.91822           -1.11559       83.46085         3.824e-05 
  2247.750          75.265     -8.281   -127.284            6.523        16227.245      2.852      0.000      0.000    0.00521   22.69918           -1.13257       83.45151         3.903e-05 
  2248.750          75.136     -8.275   -127.226            6.441        16233.650      2.852      0.000      0.000    0.00511   22.41816           -1.15111       83.44238         3.985e-05 
  2249.750          75.006     -8.268   -127.169            6.327        16239.958      2.852      0.000      0.000    0.00500   22.03263           -1.17178       83.43359         4.068e-05 
  2250.750          74.877     -8.262   -127.114            6.148        16246.122      2.852      0.000      0.000    0.00490   21.43490           -1.19566       83.42545         4.152e-05 
  2251.750          74.752     -8.256   -127.061            5.766        16252.005      2.852      0.000      0.000    0.00480   20.18497           -1.22589       83.41923         4.236e-05 
