#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.CCU-internal.2b85a500-7e7f-4bc4-b0d9-2b5d1d15a099_Trajectory.txt
# RunID         : PySara
# ObjectID      : 2b85a500-7e7f-4bc4-b0d9-2b5d1d15a099
# ObjectName    : CCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2176.436          82.343     -8.774   -131.866            7.057        15719.863      1.058      0.000      0.000    0.01761   24.39893           -0.86152       84.22060         1.230e-05 
  2176.536          82.333     -8.774   -131.860            7.056        15720.560      1.058      0.000      0.000    0.01758   24.39690           -0.86217       84.21951         1.232e-05 
  2176.986          82.285     -8.771   -131.831            7.053        15723.694      1.057      0.000      0.000    0.01745   24.38741           -0.86516       84.21461         1.240e-05 
  2177.986          82.178     -8.764   -131.768            7.044        15730.651      1.057      0.000      0.000    0.01717   24.36533           -0.87190       84.20373         1.261e-05 
  2178.986          82.071     -8.758   -131.706            7.036        15737.601      1.056      0.000      0.000    0.01687   24.34109           -0.87882       84.19287         1.284e-05 
  2179.986          81.962     -8.752   -131.643            7.027        15744.542      1.055      0.000      0.000    0.01657   24.31632           -0.88591       84.18202         1.307e-05 
  2180.986          81.853     -8.745   -131.580            7.018        15751.474      1.055      0.000      0.000    0.01627   24.29098           -0.89318       84.17119         1.331e-05 
  2181.986          81.744     -8.739   -131.518            7.009        15758.398      1.054      0.000      0.000    0.01598   24.26508           -0.90063       84.16038         1.355e-05 
  2182.986          81.633     -8.733   -131.455            7.000        15765.313      1.053      0.000      0.000    0.01569   24.23860           -0.90826       84.14958         1.380e-05 
  2183.986          81.522     -8.726   -131.393            6.990        15772.219      1.053      0.000      0.000    0.01540   24.21154           -0.91608       84.13880         1.406e-05 
  2184.986          81.409     -8.720   -131.330            6.981        15779.115      1.052      0.000      0.000    0.01512   24.18387           -0.92408       84.12804         1.432e-05 
  2185.986          81.296     -8.713   -131.268            6.971        15786.003      1.052      0.000      0.000    0.01484   24.15559           -0.93228       84.11729         1.459e-05 
  2186.986          81.183     -8.707   -131.206            6.962        15792.881      1.051      0.000      0.000    0.01456   24.12668           -0.94067       84.10656         1.487e-05 
  2187.986          81.068     -8.701   -131.144            6.952        15799.749      1.051      0.000      0.000    0.01429   24.09714           -0.94927       84.09585         1.515e-05 
  2188.986          80.952     -8.694   -131.082            6.942        15806.608      1.051      0.000      0.000    0.01402   24.06695           -0.95806       84.08515         1.544e-05 
  2189.986          80.836     -8.688   -131.020            6.931        15813.456      1.050      0.000      0.000    0.01375   24.03596           -0.96706       84.07447         1.574e-05 
  2190.986          80.718     -8.681   -130.958            6.912        15820.290      1.050      0.000      0.000    0.01349   23.97737           -0.97634       84.06375         1.605e-05 
  2191.986          80.601     -8.675   -130.897            6.791        15827.055      1.050      0.000      0.000    0.01323   23.60433           -0.98683       84.05232         1.636e-05 
