#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.CCU.1064ff79-1d6a-4300-aa63-8768f1fff65c_Trajectory.txt
# RunID         : PySara
# ObjectID      : 1064ff79-1d6a-4300-aa63-8768f1fff65c
# ObjectName    : CCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      1.436      0.000      0.000    0.08182   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      1.435      0.000      0.000    0.08175   24.79166           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.329        14842.764      1.433      0.000      0.000    0.08141   24.79321           -0.50527       85.64399         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.329        14849.988      1.429      0.000      0.000    0.08063   24.79676           -0.50644       85.63183         2.562e-06 
  2055.650          92.094     -9.466   -139.683            7.328        14857.211      1.425      0.000      0.000    0.07981   24.80058           -0.50764       85.61968         2.588e-06 
  2056.650          92.029     -9.461   -139.618            7.327        14864.433      1.420      0.000      0.000    0.07898   24.80441           -0.50885       85.60754         2.615e-06 
  2057.650          91.964     -9.456   -139.552            7.326        14871.654      1.416      0.000      0.000    0.07817   24.80824           -0.51008       85.59541         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.325        14878.875      1.411      0.000      0.000    0.07736   24.81206           -0.51133       85.58329         2.671e-06 
  2059.650          91.834     -9.446   -139.421            7.324        14886.095      1.407      0.000      0.000    0.07656   24.81589           -0.51260       85.57117         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.323        14893.313      1.402      0.000      0.000    0.07576   24.81971           -0.51388       85.55906         2.727e-06 
  2061.650          91.702     -9.436   -139.290            7.322        14900.531      1.398      0.000      0.000    0.07497   24.82353           -0.51519       85.54696         2.756e-06 
  2062.650          91.636     -9.431   -139.225            7.321        14907.748      1.394      0.000      0.000    0.07419   24.82734           -0.51652       85.53487         2.786e-06 
  2063.650          91.570     -9.426   -139.159            7.320        14914.965      1.389      0.000      0.000    0.07341   24.83114           -0.51786       85.52279         2.815e-06 
  2064.650          91.504     -9.420   -139.094            7.319        14922.180      1.385      0.000      0.000    0.07263   24.83493           -0.51922       85.51071         2.846e-06 
  2065.650          91.438     -9.415   -139.028            7.318        14929.395      1.381      0.000      0.000    0.07187   24.83871           -0.52061       85.49864         2.876e-06 
  2066.650          91.371     -9.410   -138.963            7.317        14936.608      1.376      0.000      0.000    0.07110   24.84247           -0.52201       85.48658         2.907e-06 
  2067.650          91.304     -9.405   -138.897            7.316        14943.821      1.372      0.000      0.000    0.07035   24.84623           -0.52343       85.47453         2.939e-06 
  2068.650          91.237     -9.400   -138.832            7.315        14951.032      1.368      0.000      0.000    0.06960   24.84996           -0.52487       85.46249         2.971e-06 
  2069.650          91.170     -9.395   -138.766            7.314        14958.243      1.363      0.000      0.000    0.06885   24.85368           -0.52634       85.45046         3.003e-06 
  2070.650          91.103     -9.390   -138.701            7.313        14965.453      1.359      0.000      0.000    0.06811   24.85737           -0.52782       85.43843         3.036e-06 
  2071.650          91.036     -9.384   -138.635            7.312        14972.662      1.355      0.000      0.000    0.06738   24.86105           -0.52932       85.42641         3.069e-06 
  2072.650          90.968     -9.379   -138.570            7.311        14979.870      1.350      0.000      0.000    0.06665   24.86470           -0.53085       85.41440         3.103e-06 
  2073.650          90.900     -9.374   -138.505            7.310        14987.077      1.346      0.000      0.000    0.06593   24.86832           -0.53239       85.40240         3.137e-06 
  2074.650          90.832     -9.369   -138.439            7.309        14994.283      1.342      0.000      0.000    0.06521   24.87192           -0.53396       85.39041         3.171e-06 
  2075.650          90.764     -9.364   -138.374            7.308        15001.488      1.338      0.000      0.000    0.06450   24.87548           -0.53555       85.37843         3.207e-06 
  2076.650          90.695     -9.358   -138.308            7.307        15008.692      1.334      0.000      0.000    0.06379   24.87902           -0.53715       85.36645         3.242e-06 
  2077.650          90.627     -9.353   -138.243            7.306        15015.895      1.329      0.000      0.000    0.06309   24.88252           -0.53878       85.35449         3.279e-06 
  2078.650          90.558     -9.348   -138.178            7.305        15023.098      1.325      0.000      0.000    0.06240   24.88598           -0.54044       85.34253         3.315e-06 
  2079.650          90.489     -9.342   -138.112            7.303        15030.299      1.321      0.000      0.000    0.06171   24.88941           -0.54211       85.33058         3.353e-06 
  2080.650          90.420     -9.337   -138.047            7.302        15037.499      1.317      0.000      0.000    0.06102   24.89280           -0.54381       85.31864         3.390e-06 
  2081.650          90.350     -9.332   -137.982            7.301        15044.698      1.313      0.000      0.000    0.06034   24.89614           -0.54552       85.30671         3.429e-06 
  2082.650          90.281     -9.326   -137.916            7.300        15051.896      1.309      0.000      0.000    0.05967   24.89944           -0.54726       85.29479         3.468e-06 
  2083.650          90.211     -9.321   -137.851            7.299        15059.093      1.305      0.000      0.000    0.05900   24.90270           -0.54903       85.28287         3.507e-06 
  2084.650          90.141     -9.316   -137.786            7.298        15066.289      1.301      0.000      0.000    0.05833   24.90590           -0.55081       85.27097         3.547e-06 
  2085.650          90.071     -9.310   -137.721            7.297        15073.484      1.297      0.000      0.000    0.05768   24.90905           -0.55262       85.25907         3.588e-06 
  2086.650          90.000     -9.305   -137.655            7.295        15080.678      1.293      0.000      0.000    0.05702   24.91216           -0.55445       85.24718         3.629e-06 
  2087.650          89.929     -9.300   -137.590            7.294        15087.870      1.289      0.000      0.000    0.05637   24.91520           -0.55631       85.23530         3.671e-06 
  2088.650          89.859     -9.294   -137.525            7.293        15095.062      1.285      0.000      0.000    0.05573   24.91819           -0.55819       85.22343         3.714e-06 
  2089.650          89.787     -9.289   -137.460            7.292        15102.253      1.281      0.000      0.000    0.05509   24.92112           -0.56009       85.21157         3.757e-06 
  2090.650          89.716     -9.283   -137.394            7.291        15109.442      1.277      0.000      0.000    0.05446   24.92399           -0.56201       85.19972         3.801e-06 
  2091.650          89.644     -9.278   -137.329            7.289        15116.630      1.273      0.000      0.000    0.05383   24.92680           -0.56396       85.18787         3.845e-06 
  2092.650          89.572     -9.272   -137.264            7.288        15123.818      1.269      0.000      0.000    0.05321   24.92955           -0.56594       85.17604         3.890e-06 
  2093.650          89.500     -9.267   -137.199            7.287        15131.004      1.265      0.000      0.000    0.05259   24.93223           -0.56794       85.16422         3.936e-06 
  2094.650          89.428     -9.262   -137.134            7.286        15138.189      1.262      0.000      0.000    0.05198   24.93485           -0.56996       85.15240         3.983e-06 
  2095.650          89.355     -9.256   -137.068            7.284        15145.372      1.258      0.000      0.000    0.05137   24.93741           -0.57201       85.14059         4.030e-06 
  2096.650          89.283     -9.251   -137.003            7.283        15152.555      1.254      0.000      0.000    0.05076   24.93990           -0.57409       85.12879         4.078e-06 
  2097.650          89.209     -9.245   -136.938            7.282        15159.736      1.250      0.000      0.000    0.05017   24.94232           -0.57619       85.11701         4.127e-06 
