#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EDR-internal.8468837b-aeb0-4b68-bb12-fb2c1a45eb52_Trajectory.txt
# RunID         : PySara
# ObjectID      : 8468837b-aeb0-4b68-bb12-fb2c1a45eb52
# ObjectName    : EDR-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2172.418          82.657     -8.801   -132.133            7.043        15690.282      1.746      0.000      0.000    0.02612   24.33275           -0.86644       84.26683         1.167e-05 
  2172.518          82.646     -8.800   -132.127            7.042        15690.978      1.745      0.000      0.000    0.02608   24.33063           -0.86713       84.26574         1.169e-05 
  2172.968          82.598     -8.798   -132.099            7.038        15694.105      1.744      0.000      0.000    0.02589   24.32074           -0.87023       84.26084         1.178e-05 
  2173.968          82.491     -8.791   -132.036            7.030        15701.048      1.740      0.000      0.000    0.02547   24.29776           -0.87726       84.24995         1.197e-05 
  2174.968          82.383     -8.785   -131.973            7.021        15707.983      1.737      0.000      0.000    0.02502   24.27259           -0.88448       84.23909         1.219e-05 
  2175.968          82.274     -8.779   -131.911            7.011        15714.908      1.734      0.000      0.000    0.02457   24.24689           -0.89187       84.22824         1.241e-05 
  2176.968          82.165     -8.772   -131.848            7.002        15721.825      1.730      0.000      0.000    0.02413   24.22065           -0.89944       84.21741         1.264e-05 
  2177.968          82.054     -8.766   -131.786            6.993        15728.732      1.727      0.000      0.000    0.02369   24.19386           -0.90721       84.20659         1.287e-05 
  2178.968          81.943     -8.760   -131.723            6.983        15735.631      1.724      0.000      0.000    0.02326   24.16652           -0.91516       84.19579         1.311e-05 
  2179.968          81.831     -8.753   -131.661            6.974        15742.520      1.721      0.000      0.000    0.02283   24.13860           -0.92331       84.18501         1.335e-05 
  2180.968          81.719     -8.747   -131.599            6.964        15749.399      1.718      0.000      0.000    0.02241   24.11011           -0.93166       84.17424         1.361e-05 
  2181.968          81.605     -8.741   -131.537            6.954        15756.269      1.715      0.000      0.000    0.02200   24.08102           -0.94020       84.16349         1.386e-05 
  2182.968          81.490     -8.735   -131.475            6.944        15763.129      1.713      0.000      0.000    0.02158   24.05133           -0.94895       84.15275         1.413e-05 
  2183.968          81.375     -8.728   -131.413            6.933        15769.979      1.710      0.000      0.000    0.02118   24.02101           -0.95790       84.14204         1.440e-05 
  2184.968          81.259     -8.722   -131.351            6.921        15776.818      1.708      0.000      0.000    0.02077   23.98315           -0.96708       84.13133         1.468e-05 
  2185.968          81.141     -8.716   -131.289            6.887        15783.634      1.705      0.000      0.000    0.02038   23.87947           -0.97669       84.12051         1.497e-05 
