#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.IASI-DPS.a53c29ba-6b71-4132-8edf-b7039bd44ad2_Trajectory.txt
# RunID         : PySara
# ObjectID      : a53c29ba-6b71-4132-8edf-b7039bd44ad2
# ObjectName    : IASI-DPS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.204      0.000      0.000    0.00984   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      1.204      0.000      0.000    0.00982   24.79793           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.127        16077.753      1.204      0.000      0.000    0.00975   24.78934           -0.90655       83.67383         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.120        16084.790      1.204      0.000      0.000    0.00958   24.76933           -0.91187       83.66327         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.114        16091.821      1.204      0.000      0.000    0.00941   24.74733           -0.91733       83.65274         2.647e-05 
  2228.750          77.559     -8.412   -128.442            7.107        16098.845      1.204      0.000      0.000    0.00924   24.72479           -0.92291       83.64222         2.696e-05 
  2229.750          77.444     -8.405   -128.379            7.100        16105.863      1.204      0.000      0.000    0.00906   24.70168           -0.92863       83.63173         2.747e-05 
  2230.750          77.329     -8.398   -128.316            7.093        16112.873      1.204      0.000      0.000    0.00890   24.67800           -0.93449       83.62125         2.799e-05 
  2231.750          77.213     -8.391   -128.253            7.086        16119.877      1.204      0.000      0.000    0.00873   24.65374           -0.94049       83.61080         2.853e-05 
  2232.750          77.096     -8.384   -128.189            7.079        16126.874      1.204      0.000      0.000    0.00857   24.62888           -0.94663       83.60037         2.907e-05 
  2233.750          76.979     -8.377   -128.126            7.071        16133.864      1.204      0.000      0.000    0.00841   24.60341           -0.95292       83.58995         2.963e-05 
  2234.750          76.861     -8.370   -128.063            7.064        16140.847      1.204      0.000      0.000    0.00825   24.57731           -0.95936       83.57956         3.020e-05 
  2235.750          76.742     -8.362   -128.000            7.056        16147.822      1.204      0.000      0.000    0.00809   24.55057           -0.96595       83.56919         3.078e-05 
  2236.750          76.623     -8.355   -127.938            7.049        16154.790      1.204      0.000      0.000    0.00794   24.52318           -0.97269       83.55885         3.138e-05 
  2237.750          76.503     -8.348   -127.875            7.041        16161.750      1.204      0.000      0.000    0.00778   24.49512           -0.97959       83.54852         3.200e-05 
  2238.750          76.382     -8.341   -127.812            7.033        16168.703      1.204      0.000      0.000    0.00763   24.46637           -0.98665       83.53822         3.263e-05 
  2239.750          76.261     -8.334   -127.749            7.025        16175.647      1.204      0.000      0.000    0.00748   24.43693           -0.99387       83.52794         3.327e-05 
  2240.750          76.139     -8.327   -127.687            7.016        16182.584      1.204      0.000      0.000    0.00734   24.40676           -1.00126       83.51768         3.393e-05 
  2241.750          76.016     -8.320   -127.624            7.008        16189.512      1.204      0.000      0.000    0.00720   24.37586           -1.00882       83.50745         3.461e-05 
  2242.750          75.892     -8.313   -127.562            6.999        16196.432      1.204      0.000      0.000    0.00705   24.34421           -1.01655       83.49724         3.531e-05 
  2243.750          75.767     -8.306   -127.500            6.990        16203.344      1.204      0.000      0.000    0.00691   24.31178           -1.02446       83.48706         3.602e-05 
  2244.750          75.642     -8.299   -127.437            6.982        16210.247      1.204      0.000      0.000    0.00678   24.27857           -1.03255       83.47690         3.675e-05 
  2245.750          75.516     -8.292   -127.375            6.972        16217.141      1.204      0.000      0.000    0.00664   24.24455           -1.04082       83.46676         3.750e-05 
  2246.750          75.389     -8.285   -127.313            6.963        16224.027      1.204      0.000      0.000    0.00651   24.20970           -1.04928       83.45665         3.827e-05 
  2247.750          75.261     -8.278   -127.251            6.954        16230.903      1.204      0.000      0.000    0.00638   24.17400           -1.05792       83.44657         3.906e-05 
