#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.IntRing.90350550-8915-4d5e-b55c-e9e1debb8f7f_Trajectory.txt
# RunID         : PySara
# ObjectID      : 90350550-8915-4d5e-b55c-e9e1debb8f7f
# ObjectName    : IntRing
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      0.748      0.000      0.000    0.03482   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      0.748      0.000      0.000    0.03479   24.79099           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.328        14842.763      0.747      0.000      0.000    0.03464   24.78946           -0.50527       85.64400         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.325        14849.985      0.746      0.000      0.000    0.03431   24.78592           -0.50648       85.63188         2.562e-06 
  2055.650          92.095     -9.466   -139.683            7.322        14857.203      0.745      0.000      0.000    0.03396   24.78205           -0.50776       85.61976         2.588e-06 
  2056.650          92.030     -9.461   -139.618            7.319        14864.419      0.743      0.000      0.000    0.03361   24.77812           -0.50910       85.60766         2.615e-06 
  2057.650          91.964     -9.456   -139.552            7.315        14871.631      0.742      0.000      0.000    0.03327   24.77412           -0.51049       85.59557         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.312        14878.840      0.741      0.000      0.000    0.03292   24.77005           -0.51196       85.58349         2.671e-06 
  2059.650          91.834     -9.446   -139.422            7.309        14886.047      0.739      0.000      0.000    0.03258   24.76592           -0.51348       85.57142         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.306        14893.249      0.738      0.000      0.000    0.03224   24.76171           -0.51507       85.55937         2.727e-06 
  2061.650          91.702     -9.436   -139.291            7.302        14900.449      0.737      0.000      0.000    0.03191   24.75743           -0.51672       85.54732         2.756e-06 
  2062.650          91.637     -9.431   -139.225            7.299        14907.646      0.736      0.000      0.000    0.03157   24.75307           -0.51844       85.53529         2.786e-06 
  2063.650          91.570     -9.426   -139.160            7.295        14914.839      0.734      0.000      0.000    0.03124   24.74864           -0.52022       85.52327         2.815e-06 
  2064.650          91.504     -9.421   -139.095            7.292        14922.029      0.733      0.000      0.000    0.03091   24.74412           -0.52207       85.51126         2.846e-06 
  2065.650          91.437     -9.415   -139.030            7.289        14929.215      0.732      0.000      0.000    0.03058   24.73952           -0.52398       85.49926         2.876e-06 
  2066.650          91.371     -9.410   -138.964            7.285        14936.399      0.731      0.000      0.000    0.03026   24.73484           -0.52597       85.48728         2.907e-06 
  2067.650          91.304     -9.405   -138.899            7.282        14943.578      0.730      0.000      0.000    0.02994   24.73007           -0.52802       85.47530         2.939e-06 
  2068.650          91.237     -9.400   -138.834            7.278        14950.755      0.729      0.000      0.000    0.02961   24.72521           -0.53013       85.46334         2.971e-06 
  2069.650          91.169     -9.395   -138.769            7.275        14957.928      0.727      0.000      0.000    0.02930   24.72026           -0.53232       85.45139         3.003e-06 
  2070.650          91.101     -9.390   -138.704            7.271        14965.098      0.726      0.000      0.000    0.02898   24.71521           -0.53458       85.43946         3.036e-06 
