#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.MHS-MPU.71468af4-a456-44d2-960c-c3b22e2dabdf_Trajectory.txt
# RunID         : PySara
# ObjectID      : 71468af4-a456-44d2-960c-c3b22e2dabdf
# ObjectName    : MHS-MPU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.364      0.000      0.000    0.01126   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      1.364      0.000      0.000    0.01124   24.79754           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.126        16077.753      1.364      0.000      0.000    0.01116   24.78716           -0.90656       83.67383         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.118        16084.789      1.364      0.000      0.000    0.01097   24.76299           -0.91190       83.66327         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.111        16091.817      1.364      0.000      0.000    0.01076   24.73645           -0.91740       83.65273         2.647e-05 
  2228.750          77.559     -8.412   -128.442            7.102        16098.837      1.364      0.000      0.000    0.01057   24.70931           -0.92306       83.64221         2.696e-05 
  2229.750          77.444     -8.405   -128.379            7.094        16105.849      1.364      0.000      0.000    0.01037   24.68154           -0.92888       83.63172         2.747e-05 
  2230.750          77.329     -8.398   -128.316            7.086        16112.854      1.364      0.000      0.000    0.01018   24.65313           -0.93487       83.62125         2.799e-05 
  2231.750          77.213     -8.391   -128.253            7.077        16119.850      1.364      0.000      0.000    0.00999   24.62407           -0.94102       83.61080         2.852e-05 
  2232.750          77.097     -8.384   -128.190            7.069        16126.837      1.364      0.000      0.000    0.00980   24.59434           -0.94735       83.60038         2.907e-05 
  2233.750          76.980     -8.377   -128.127            7.060        16133.816      1.364      0.000      0.000    0.00962   24.56393           -0.95385       83.58998         2.963e-05 
  2234.750          76.862     -8.370   -128.064            7.051        16140.787      1.364      0.000      0.000    0.00944   24.53282           -0.96053       83.57960         3.020e-05 
  2235.750          76.743     -8.363   -128.001            7.042        16147.749      1.364      0.000      0.000    0.00926   24.50101           -0.96738       83.56924         3.078e-05 
  2236.750          76.624     -8.356   -127.938            7.033        16154.702      1.364      0.000      0.000    0.00908   24.46847           -0.97443       83.55891         3.138e-05 
  2237.750          76.504     -8.348   -127.876            7.023        16161.645      1.364      0.000      0.000    0.00891   24.43518           -0.98165       83.54861         3.199e-05 
  2238.750          76.383     -8.341   -127.813            7.014        16168.580      1.364      0.000      0.000    0.00873   24.40114           -0.98907       83.53833         3.262e-05 
  2239.750          76.262     -8.334   -127.751            7.004        16175.505      1.364      0.000      0.000    0.00856   24.36631           -0.99669       83.52808         3.327e-05 
  2240.750          76.140     -8.327   -127.688            6.994        16182.421      1.364      0.000      0.000    0.00840   24.33069           -1.00450       83.51785         3.393e-05 
  2241.750          76.017     -8.320   -127.626            6.984        16189.327      1.364      0.000      0.000    0.00823   24.29426           -1.01251       83.50765         3.461e-05 
  2242.750          75.893     -8.313   -127.564            6.974        16196.223      1.364      0.000      0.000    0.00807   24.25700           -1.02073       83.49747         3.530e-05 
  2243.750          75.768     -8.306   -127.502            6.964        16203.108      1.364      0.000      0.000    0.00791   24.21889           -1.02916       83.48733         3.602e-05 
  2244.750          75.643     -8.299   -127.440            6.953        16209.984      1.364      0.000      0.000    0.00775   24.17990           -1.03781       83.47721         3.675e-05 
  2245.750          75.516     -8.292   -127.378            6.942        16216.849      1.364      0.000      0.000    0.00760   24.14003           -1.04667       83.46711         3.750e-05 
  2246.750          75.389     -8.285   -127.316            6.931        16223.704      1.364      0.000      0.000    0.00745   24.09924           -1.05575       83.45705         3.827e-05 
  2247.750          75.261     -8.278   -127.254            6.920        16230.548      1.364      0.000      0.000    0.00730   24.05752           -1.06506       83.44701         3.906e-05 
  2248.750          75.132     -8.271   -127.193            6.909        16237.380      1.364      0.000      0.000    0.00715   24.01484           -1.07460       83.43701         3.987e-05 
  2249.750          75.002     -8.264   -127.131            6.897        16244.202      1.364      0.000      0.000    0.00700   23.97119           -1.08437       83.42703         4.071e-05 
  2250.750          74.871     -8.257   -127.070            6.885        16251.012      1.364      0.000      0.000    0.00686   23.92653           -1.09438       83.41708         4.156e-05 
  2251.750          74.739     -8.250   -127.008            6.873        16257.811      1.364      0.000      0.000    0.00671   23.88085           -1.10464       83.40716         4.244e-05 
  2252.750          74.606     -8.243   -126.947            6.861        16264.597      1.364      0.000      0.000    0.00657   23.83412           -1.11515       83.39726         4.335e-05 
  2253.750          74.472     -8.236   -126.886            6.848        16271.372      1.364      0.000      0.000    0.00644   23.78484           -1.12591       83.38741         4.428e-05 
  2254.750          74.336     -8.229   -126.825            6.835        16278.133      1.364      0.000      0.000    0.00630   23.73243           -1.13695       83.37758         4.523e-05 
  2255.750          74.200     -8.222   -126.764            6.820        16284.881      1.364      0.000      0.000    0.00617   23.67657           -1.14829       83.36779         4.621e-05 
  2256.750          74.063     -8.214   -126.704            6.804        16291.614      1.364      0.000      0.000    0.00603   23.61692           -1.15993       83.35804         4.722e-05 
  2257.750          73.925     -8.207   -126.643            6.788        16298.331      1.364      0.000      0.000    0.00591   23.55310           -1.17192       83.34834         4.826e-05 
  2258.750          73.785     -8.200   -126.583            6.770        16305.031      1.364      0.000      0.000    0.00578   23.48468           -1.18427       83.33867         4.932e-05 
  2259.750          73.645     -8.193   -126.523            6.750        16311.712      1.364      0.000      0.000    0.00565   23.41112           -1.19700       83.32906         5.042e-05 
  2260.750          73.503     -8.186   -126.463            6.729        16318.374      1.364      0.000      0.000    0.00553   23.33182           -1.21017       83.31949         5.155e-05 
  2261.750          73.361     -8.179   -126.403            6.707        16325.014      1.364      0.000      0.000    0.00541   23.24606           -1.22379       83.30998         5.271e-05 
  2262.750          73.217     -8.172   -126.343            6.682        16331.631      1.364      0.000      0.000    0.00529   23.15297           -1.23791       83.30052         5.390e-05 
  2263.750          73.072     -8.165   -126.284            6.655        16338.222      1.364      0.000      0.000    0.00517   23.05149           -1.25259       83.29113         5.513e-05 
  2264.750          72.926     -8.159   -126.225            6.625        16344.785      1.364      0.000      0.000    0.00505   22.94034           -1.26787       83.28182         5.639e-05 
  2265.750          72.779     -8.152   -126.166            6.592        16351.317      1.364      0.000      0.000    0.00494   22.81788           -1.28383       83.27258         5.769e-05 
  2266.750          72.631     -8.145   -126.107            6.555        16357.814      1.364      0.000      0.000    0.00483   22.68209           -1.30054       83.26344         5.902e-05 
