#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PLM.49858cb8-d8fb-4c9b-82b6-4699f85b8dcf_Trajectory.txt
# RunID         : PySara
# ObjectID      : 49858cb8-d8fb-4c9b-82b6-4699f85b8dcf
# ObjectName    : PLM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2084.650          90.146     -9.316   -137.783            7.320        15066.623      1.340      0.000      0.000    0.00988   24.98131           -0.54442       85.27022         3.549e-06 
  2084.750          90.139     -9.315   -137.776            7.320        15067.345      1.340      0.000      0.000    0.00987   24.98183           -0.54455       85.26903         3.553e-06 
  2085.200          90.108     -9.313   -137.747            7.320        15070.593      1.340      0.000      0.000    0.00983   24.98423           -0.54517       85.26366         3.569e-06 
  2086.200          90.038     -9.307   -137.681            7.319        15077.810      1.340      0.000      0.000    0.00973   24.98969           -0.54656       85.25172         3.607e-06 
  2087.200          89.968     -9.302   -137.616            7.319        15085.026      1.340      0.000      0.000    0.00962   24.99552           -0.54795       85.23980         3.648e-06 
  2088.200          89.898     -9.296   -137.550            7.319        15092.243      1.340      0.000      0.000    0.00951   25.00131           -0.54935       85.22788         3.690e-06 
  2089.200          89.828     -9.291   -137.485            7.318        15099.459      1.340      0.000      0.000    0.00940   25.00706           -0.55076       85.21597         3.732e-06 
  2090.200          89.757     -9.285   -137.419            7.318        15106.675      1.340      0.000      0.000    0.00929   25.01277           -0.55218       85.20406         3.775e-06 
  2091.200          89.687     -9.280   -137.354            7.318        15113.890      1.340      0.000      0.000    0.00919   25.01843           -0.55360       85.19217         3.819e-06 
  2092.200          89.616     -9.275   -137.289            7.317        15121.105      1.340      0.000      0.000    0.00908   25.02405           -0.55503       85.18028         3.863e-06 
  2093.200          89.545     -9.269   -137.223            7.317        15128.320      1.340      0.000      0.000    0.00898   25.02962           -0.55647       85.16840         3.908e-06 
  2094.200          89.474     -9.264   -137.158            7.316        15135.535      1.340      0.000      0.000    0.00888   25.03514           -0.55792       85.15653         3.953e-06 
  2095.200          89.403     -9.258   -137.092            7.316        15142.749      1.340      0.000      0.000    0.00878   25.04061           -0.55938       85.14467         4.000e-06 
  2096.200          89.331     -9.252   -137.027            7.316        15149.964      1.340      0.000      0.000    0.00867   25.04604           -0.56084       85.13281         4.046e-06 
  2097.200          89.259     -9.247   -136.961            7.315        15157.177      1.340      0.000      0.000    0.00857   25.05141           -0.56232       85.12096         4.094e-06 
  2098.200          89.188     -9.241   -136.896            7.315        15164.391      1.340      0.000      0.000    0.00847   25.05674           -0.56380       85.10912         4.142e-06 
  2099.200          89.115     -9.236   -136.831            7.314        15171.604      1.340      0.000      0.000    0.00838   25.06201           -0.56529       85.09729         4.191e-06 
  2100.200          89.043     -9.230   -136.765            7.314        15178.817      1.340      0.000      0.000    0.00828   25.06723           -0.56679       85.08547         4.241e-06 
  2101.200          88.971     -9.225   -136.700            7.313        15186.029      1.340      0.000      0.000    0.00818   25.07239           -0.56830       85.07365         4.291e-06 
  2102.200          88.898     -9.219   -136.634            7.313        15193.241      1.340      0.000      0.000    0.00809   25.07750           -0.56982       85.06185         4.342e-06 
  2103.200          88.825     -9.213   -136.569            7.313        15200.453      1.340      0.000      0.000    0.00799   25.08255           -0.57135       85.05005         4.394e-06 
  2104.200          88.752     -9.208   -136.504            7.312        15207.664      1.340      0.000      0.000    0.00790   25.08755           -0.57289       85.03825         4.447e-06 
  2105.200          88.679     -9.202   -136.438            7.312        15214.875      1.340      0.000      0.000    0.00780   25.09248           -0.57443       85.02647         4.500e-06 
  2106.200          88.606     -9.197   -136.373            7.311        15222.086      1.340      0.000      0.000    0.00771   25.09735           -0.57599       85.01470         4.554e-06 
  2107.200          88.532     -9.191   -136.308            7.311        15229.296      1.340      0.000      0.000    0.00762   25.10217           -0.57756       85.00293         4.609e-06 
  2108.200          88.458     -9.185   -136.242            7.310        15236.506      1.340      0.000      0.000    0.00753   25.10692           -0.57913       84.99117         4.665e-06 
  2109.200          88.384     -9.179   -136.177            7.310        15243.716      1.340      0.000      0.000    0.00744   25.11160           -0.58072       84.97942         4.722e-06 
  2110.200          88.310     -9.174   -136.112            7.309        15250.925      1.340      0.000      0.000    0.00735   25.11622           -0.58232       84.96768         4.779e-06 
  2111.200          88.236     -9.168   -136.046            7.309        15258.133      1.340      0.000      0.000    0.00726   25.12078           -0.58392       84.95594         4.838e-06 
  2112.200          88.161     -9.162   -135.981            7.308        15265.342      1.340      0.000      0.000    0.00717   25.12526           -0.58554       84.94422         4.897e-06 
  2113.200          88.086     -9.157   -135.916            7.308        15272.550      1.340      0.000      0.000    0.00708   25.12968           -0.58717       84.93250         4.957e-06 
  2114.200          88.011     -9.151   -135.850            7.307        15279.757      1.340      0.000      0.000    0.00700   25.13403           -0.58881       84.92079         5.018e-06 
  2115.200          87.936     -9.145   -135.785            7.307        15286.964      1.340      0.000      0.000    0.00691   25.13830           -0.59045       84.90909         5.080e-06 
  2116.200          87.861     -9.139   -135.720            7.306        15294.171      1.340      0.000      0.000    0.00683   25.14251           -0.59211       84.89740         5.143e-06 
  2117.200          87.785     -9.133   -135.654            7.306        15301.377      1.340      0.000      0.000    0.00675   25.14663           -0.59379       84.88571         5.207e-06 
  2118.200          87.709     -9.128   -135.589            7.305        15308.583      1.340      0.000      0.000    0.00666   25.15069           -0.59547       84.87404         5.272e-06 
  2119.200          87.633     -9.122   -135.524            7.305        15315.788      1.340      0.000      0.000    0.00658   25.15466           -0.59716       84.86237         5.338e-06 
  2120.200          87.557     -9.116   -135.458            7.304        15322.993      1.340      0.000      0.000    0.00650   25.15856           -0.59887       84.85071         5.405e-06 
  2121.200          87.481     -9.110   -135.393            7.304        15330.197      1.340      0.000      0.000    0.00642   25.16237           -0.60059       84.83906         5.473e-06 
  2122.200          87.404     -9.104   -135.328            7.303        15337.401      1.340      0.000      0.000    0.00634   25.16610           -0.60231       84.82742         5.542e-06 
  2123.200          87.327     -9.098   -135.263            7.302        15344.605      1.340      0.000      0.000    0.00626   25.16975           -0.60406       84.81579         5.613e-06 
  2124.200          87.250     -9.092   -135.197            7.302        15351.808      1.340      0.000      0.000    0.00618   25.17331           -0.60581       84.80417         5.684e-06 
  2125.200          87.173     -9.087   -135.132            7.301        15359.010      1.340      0.000      0.000    0.00610   25.17679           -0.60757       84.79255         5.756e-06 
  2126.200          87.095     -9.081   -135.067            7.301        15366.212      1.340      0.000      0.000    0.00603   25.18016           -0.60935       84.78094         5.830e-06 
  2127.200          87.017     -9.075   -135.002            7.300        15373.413      1.340      0.000      0.000    0.00595   25.18345           -0.61114       84.76934         5.904e-06 
  2128.200          86.939     -9.069   -134.936            7.299        15380.614      1.340      0.000      0.000    0.00588   25.18663           -0.61295       84.75776         5.980e-06 
  2129.200          86.861     -9.063   -134.871            7.299        15387.815      1.340      0.000      0.000    0.00580   25.18972           -0.61476       84.74617         6.057e-06 
  2130.200          86.783     -9.057   -134.806            7.298        15395.014      1.340      0.000      0.000    0.00573   25.19270           -0.61660       84.73460         6.136e-06 
  2131.200          86.704     -9.051   -134.741            7.297        15402.214      1.340      0.000      0.000    0.00565   25.19559           -0.61844       84.72304         6.215e-06 
  2132.200          86.625     -9.045   -134.676            7.297        15409.412      1.340      0.000      0.000    0.00558   25.19836           -0.62030       84.71149         6.296e-06 
  2133.200          86.546     -9.039   -134.610            7.296        15416.610      1.340      0.000      0.000    0.00551   25.20103           -0.62217       84.69994         6.378e-06 
  2134.200          86.467     -9.033   -134.545            7.295        15423.808      1.340      0.000      0.000    0.00544   25.20359           -0.62406       84.68840         6.462e-06 
  2135.200          86.387     -9.027   -134.480            7.295        15431.005      1.340      0.000      0.000    0.00537   25.20604           -0.62596       84.67688         6.546e-06 
  2136.200          86.307     -9.021   -134.415            7.294        15438.201      1.340      0.000      0.000    0.00530   25.20838           -0.62787       84.66536         6.632e-06 
  2137.200          86.227     -9.015   -134.350            7.293        15445.396      1.340      0.000      0.000    0.00523   25.21060           -0.62980       84.65385         6.720e-06 
  2138.200          86.147     -9.009   -134.285            7.292        15452.591      1.340      0.000      0.000    0.00516   25.21270           -0.63175       84.64235         6.809e-06 
  2139.200          86.067     -9.003   -134.219            7.292        15459.786      1.340      0.000      0.000    0.00509   25.21468           -0.63371       84.63086         6.899e-06 
  2140.200          85.986     -8.996   -134.154            7.291        15466.979      1.340      0.000      0.000    0.00503   25.21654           -0.63569       84.61937         6.991e-06 
  2141.200          85.905     -8.990   -134.089            7.290        15474.172      1.340      0.000      0.000    0.00496   25.21827           -0.63768       84.60790         7.085e-06 
  2142.200          85.824     -8.984   -134.024            7.289        15481.365      1.340      0.000      0.000    0.00490   25.21987           -0.63969       84.59644         7.180e-06 
  2143.200          85.742     -8.978   -133.959            7.289        15488.556      1.340      0.000      0.000    0.00483   25.22135           -0.64171       84.58498         7.276e-06 
  2144.200          85.660     -8.972   -133.894            7.288        15495.747      1.340      0.000      0.000    0.00477   25.22269           -0.64376       84.57353         7.375e-06 
  2145.200          85.578     -8.966   -133.829            7.287        15502.937      1.340      0.000      0.000    0.00470   25.22390           -0.64582       84.56210         7.474e-06 
  2146.200          85.496     -8.960   -133.764            7.286        15510.126      1.340      0.000      0.000    0.00464   25.22496           -0.64789       84.55067         7.576e-06 
  2147.200          85.413     -8.953   -133.699            7.285        15517.315      1.340      0.000      0.000    0.00458   25.22589           -0.64999       84.53925         7.679e-06 
  2148.200          85.331     -8.947   -133.633            7.284        15524.503      1.340      0.000      0.000    0.00469   24.95797           -0.65210       84.52784         7.489e-06 
  2149.200          85.248     -8.941   -133.568            7.283        15531.690      1.340      0.000      0.000    0.00463   24.96302           -0.65423       84.51644         7.593e-06 
