#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.RTU.5cd3572a-3218-4658-8521-d9804ced1e9f_Trajectory.txt
# RunID         : PySara
# ObjectID      : 5cd3572a-3218-4658-8521-d9804ced1e9f
# ObjectName    : RTU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.215      0.000      0.000    0.00846   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      1.215      0.000      0.000    0.00845   24.79740           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.126        16077.753      1.215      0.000      0.000    0.00838   24.78638           -0.90656       83.67382         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.118        16084.788      1.215      0.000      0.000    0.00824   24.76073           -0.91191       83.66326         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.109        16091.815      1.215      0.000      0.000    0.00809   24.73259           -0.91743       83.65273         2.647e-05 
  2228.750          77.559     -8.412   -128.443            7.101        16098.834      1.215      0.000      0.000    0.00794   24.70381           -0.92311       83.64221         2.696e-05 
  2229.750          77.445     -8.405   -128.379            7.092        16105.845      1.215      0.000      0.000    0.00779   24.67439           -0.92897       83.63172         2.747e-05 
  2230.750          77.329     -8.398   -128.316            7.083        16112.847      1.215      0.000      0.000    0.00765   24.64430           -0.93500       83.62125         2.799e-05 
  2231.750          77.213     -8.391   -128.253            7.074        16119.840      1.215      0.000      0.000    0.00751   24.61353           -0.94121       83.61080         2.852e-05 
  2232.750          77.097     -8.384   -128.190            7.065        16126.824      1.215      0.000      0.000    0.00737   24.58208           -0.94760       83.60038         2.907e-05 
  2233.750          76.980     -8.377   -128.127            7.056        16133.800      1.215      0.000      0.000    0.00723   24.54992           -0.95418       83.58998         2.963e-05 
  2234.750          76.862     -8.370   -128.064            7.046        16140.766      1.215      0.000      0.000    0.00709   24.51705           -0.96094       83.57961         3.020e-05 
  2235.750          76.743     -8.363   -128.001            7.037        16147.723      1.215      0.000      0.000    0.00696   24.48344           -0.96789       83.56926         3.078e-05 
  2236.750          76.624     -8.356   -127.939            7.027        16154.670      1.215      0.000      0.000    0.00682   24.44907           -0.97504       83.55894         3.138e-05 
  2237.750          76.504     -8.348   -127.876            7.017        16161.608      1.215      0.000      0.000    0.00669   24.41394           -0.98239       83.54864         3.199e-05 
  2238.750          76.383     -8.341   -127.814            7.007        16168.537      1.215      0.000      0.000    0.00656   24.37802           -0.98993       83.53837         3.262e-05 
  2239.750          76.262     -8.334   -127.751            6.997        16175.455      1.215      0.000      0.000    0.00644   24.34130           -0.99769       83.52813         3.327e-05 
  2240.750          76.140     -8.327   -127.689            6.986        16182.363      1.215      0.000      0.000    0.00631   24.30376           -1.00565       83.51791         3.393e-05 
  2241.750          76.017     -8.320   -127.627            6.976        16189.261      1.215      0.000      0.000    0.00619   24.26538           -1.01383       83.50772         3.461e-05 
  2242.750          75.893     -8.313   -127.565            6.965        16196.148      1.215      0.000      0.000    0.00607   24.22615           -1.02222       83.49756         3.530e-05 
  2243.750          75.768     -8.306   -127.503            6.954        16203.025      1.215      0.000      0.000    0.00595   24.18603           -1.03083       83.48742         3.601e-05 
  2244.750          75.643     -8.299   -127.441            6.943        16209.891      1.215      0.000      0.000    0.00583   24.14502           -1.03967       83.47732         3.675e-05 
  2245.750          75.516     -8.292   -127.379            6.931        16216.746      1.215      0.000      0.000    0.00571   24.10308           -1.04874       83.46724         3.750e-05 
  2246.750          75.389     -8.285   -127.317            6.920        16223.589      1.215      0.000      0.000    0.00560   24.06021           -1.05805       83.45719         3.827e-05 
  2247.750          75.261     -8.278   -127.255            6.908        16230.422      1.215      0.000      0.000    0.00548   24.01637           -1.06759       83.44717         3.906e-05 
  2248.750          75.132     -8.271   -127.194            6.896        16237.242      1.215      0.000      0.000    0.00537   23.97155           -1.07737       83.43718         3.987e-05 
  2249.750          75.001     -8.264   -127.133            6.884        16244.051      1.215      0.000      0.000    0.00526   23.92572           -1.08741       83.42722         4.071e-05 
  2250.750          74.870     -8.257   -127.071            6.872        16250.848      1.215      0.000      0.000    0.00515   23.87886           -1.09770       83.41729         4.156e-05 
  2251.750          74.738     -8.250   -127.010            6.859        16257.633      1.215      0.000      0.000    0.00505   23.83094           -1.10824       83.40739         4.244e-05 
  2252.750          74.605     -8.243   -126.949            6.846        16264.405      1.215      0.000      0.000    0.00494   23.78195           -1.11905       83.39752         4.335e-05 
  2253.750          74.471     -8.236   -126.888            6.833        16271.164      1.215      0.000      0.000    0.00484   23.73185           -1.13013       83.38768         4.428e-05 
  2254.750          74.335     -8.229   -126.827            6.820        16277.911      1.215      0.000      0.000    0.00473   23.68064           -1.14148       83.37788         4.524e-05 
  2255.750          74.199     -8.222   -126.767            6.806        16284.645      1.215      0.000      0.000    0.00463   23.62827           -1.15311       83.36810         4.622e-05 
  2256.750          74.061     -8.215   -126.706            6.792        16291.365      1.215      0.000      0.000    0.00453   23.57413           -1.16503       83.35836         4.723e-05 
  2257.750          73.923     -8.208   -126.646            6.778        16298.070      1.215      0.000      0.000    0.00444   23.51686           -1.17724       83.34865         4.827e-05 
  2258.750          73.783     -8.201   -126.585            6.762        16304.761      1.215      0.000      0.000    0.00434   23.45605           -1.18978       83.33898         4.934e-05 
  2259.750          73.642     -8.194   -126.525            6.745        16311.436      1.215      0.000      0.000    0.00425   23.39137           -1.20266       83.32936         5.044e-05 
  2260.750          73.500     -8.187   -126.465            6.727        16318.094      1.215      0.000      0.000    0.00415   23.32247           -1.21590       83.31977         5.158e-05 
  2261.750          73.356     -8.180   -126.405            6.708        16324.734      1.215      0.000      0.000    0.00406   23.24893           -1.22954       83.31023         5.274e-05 
  2262.750          73.212     -8.173   -126.346            6.687        16331.354      1.215      0.000      0.000    0.00397   23.17028           -1.24359       83.30074         5.394e-05 
