#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SAR-Rx.636de29e-d481-433b-81dd-49c440d46a45_Trajectory.txt
# RunID         : PySara
# ObjectID      : 636de29e-d481-433b-81dd-49c440d46a45
# ObjectName    : SAR-Rx
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      2.188      0.000      0.000    0.00663   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      2.188      0.000      0.000    0.00662   24.79687           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.125        16077.753      2.188      0.000      0.000    0.00657   24.78337           -0.90656       83.67382         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.115        16084.786      2.188      0.000      0.000    0.00646   24.75197           -0.91195       83.66325         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.105        16091.810      2.188      0.000      0.000    0.00634   24.71758           -0.91753       83.65271         2.647e-05 
  2228.750          77.559     -8.412   -128.443            7.094        16098.823      2.188      0.000      0.000    0.00622   24.68248           -0.92332       83.64220         2.696e-05 
  2229.750          77.445     -8.405   -128.379            7.084        16105.826      2.188      0.000      0.000    0.00611   24.64664           -0.92932       83.63171         2.747e-05 
  2230.750          77.330     -8.398   -128.316            7.073        16112.819      2.188      0.000      0.000    0.00600   24.61005           -0.93553       83.62124         2.799e-05 
  2231.750          77.214     -8.391   -128.253            7.062        16119.802      2.188      0.000      0.000    0.00588   24.57270           -0.94195       83.61080         2.852e-05 
  2232.750          77.097     -8.384   -128.190            7.051        16126.773      2.188      0.000      0.000    0.00577   24.53458           -0.94859       83.60039         2.907e-05 
  2233.750          76.980     -8.377   -128.128            7.040        16133.734      2.188      0.000      0.000    0.00567   24.49567           -0.95546       83.59001         2.962e-05 
  2234.750          76.863     -8.370   -128.065            7.029        16140.684      2.188      0.000      0.000    0.00556   24.45595           -0.96255       83.57966         3.019e-05 
  2235.750          76.744     -8.363   -128.002            7.017        16147.622      2.188      0.000      0.000    0.00545   24.41541           -0.96988       83.56933         3.078e-05 
  2236.750          76.625     -8.356   -127.940            7.005        16154.549      2.188      0.000      0.000    0.00535   24.37402           -0.97743       83.55903         3.137e-05 
  2237.750          76.505     -8.349   -127.877            6.993        16161.465      2.188      0.000      0.000    0.00525   24.33178           -0.98523       83.54876         3.199e-05 
  2238.750          76.385     -8.342   -127.815            6.981        16168.368      2.188      0.000      0.000    0.00515   24.28866           -0.99327       83.53852         3.262e-05 
  2239.750          76.263     -8.335   -127.753            6.969        16175.260      2.188      0.000      0.000    0.00505   24.24465           -1.00157       83.52831         3.326e-05 
  2240.750          76.141     -8.328   -127.691            6.956        16182.139      2.188      0.000      0.000    0.00495   24.19972           -1.01011       83.51814         3.392e-05 
  2241.750          76.018     -8.321   -127.629            6.943        16189.006      2.188      0.000      0.000    0.00485   24.15386           -1.01891       83.50799         3.460e-05 
  2242.750          75.894     -8.314   -127.567            6.931        16195.860      2.188      0.000      0.000    0.00476   24.10704           -1.02797       83.49787         3.530e-05 
  2243.750          75.769     -8.307   -127.505            6.917        16202.702      2.188      0.000      0.000    0.00466   24.05925           -1.03730       83.48779         3.601e-05 
  2244.750          75.643     -8.300   -127.444            6.904        16209.531      2.188      0.000      0.000    0.00457   24.01046           -1.04691       83.47774         3.674e-05 
  2245.750          75.517     -8.293   -127.382            6.890        16216.346      2.188      0.000      0.000    0.00448   23.96065           -1.05679       83.46772         3.749e-05 
  2246.750          75.389     -8.286   -127.321            6.876        16223.148      2.188      0.000      0.000    0.00439   23.90980           -1.06695       83.45773         3.827e-05 
  2247.750          75.261     -8.279   -127.260            6.862        16229.936      2.188      0.000      0.000    0.00430   23.85789           -1.07740       83.44778         3.906e-05 
  2248.750          75.131     -8.272   -127.199            6.848        16236.710      2.188      0.000      0.000    0.00421   23.80488           -1.08814       83.43786         3.987e-05 
  2249.750          75.001     -8.265   -127.138            6.833        16243.470      2.188      0.000      0.000    0.00412   23.75076           -1.09919       83.42797         4.071e-05 
  2250.750          74.869     -8.258   -127.077            6.819        16250.216      2.188      0.000      0.000    0.00404   23.69550           -1.11053       83.41812         4.157e-05 
  2251.750          74.736     -8.251   -127.016            6.804        16256.947      2.188      0.000      0.000    0.00395   23.63907           -1.12219       83.40830         4.246e-05 
  2252.750          74.603     -8.244   -126.956            6.788        16263.663      2.188      0.000      0.000    0.00387   23.58146           -1.13417       83.39852         4.337e-05 
  2253.750          74.468     -8.237   -126.895            6.773        16270.364      2.188      0.000      0.000    0.00379   23.52263           -1.14647       83.38877         4.430e-05 
  2254.750          74.332     -8.230   -126.835            6.757        16277.049      2.188      0.000      0.000    0.00371   23.46256           -1.15910       83.37906         4.526e-05 
  2255.750          74.194     -8.223   -126.775            6.741        16283.719      2.188      0.000      0.000    0.00363   23.40123           -1.17206       83.36939         4.625e-05 
  2256.750          74.056     -8.216   -126.715            6.724        16290.373      2.188      0.000      0.000    0.00355   23.33860           -1.18537       83.35975         4.727e-05 
  2257.750          73.916     -8.209   -126.655            6.708        16297.010      2.188      0.000      0.000    0.00347   23.27466           -1.19902       83.35014         4.832e-05 
  2258.750          73.775     -8.202   -126.595            6.691        16303.632      2.188      0.000      0.000    0.00340   23.20936           -1.21304       83.34057         4.940e-05 
  2259.750          73.633     -8.195   -126.536            6.673        16310.236      2.188      0.000      0.000    0.00332   23.14152           -1.22742       83.33104         5.052e-05 
  2260.750          73.489     -8.188   -126.477            6.654        16316.822      2.188      0.000      0.000    0.00325   23.06955           -1.24219       83.32156         5.166e-05 
  2261.750          73.344     -8.181   -126.417            6.634        16323.389      2.188      0.000      0.000    0.00318   22.99290           -1.25737       83.31212         5.284e-05 
  2262.750          73.198     -8.174   -126.358            6.613        16329.936      2.188      0.000      0.000    0.00311   22.91112           -1.27300       83.30274         5.406e-05 
  2263.750          73.050     -8.167   -126.300            6.590        16336.461      2.188      0.000      0.000    0.00303   22.82369           -1.28911       83.29340         5.531e-05 
  2264.750          72.902     -8.160   -126.241            6.565        16342.962      2.188      0.000      0.000    0.00297   22.73003           -1.30573       83.28412         5.660e-05 
  2265.750          72.751     -8.154   -126.183            6.538        16349.438      2.188      0.000      0.000    0.00290   22.62943           -1.32291       83.27491         5.793e-05 
  2266.750          72.600     -8.147   -126.124            6.510        16355.887      2.188      0.000      0.000    0.00283   22.52109           -1.34069       83.26576         5.930e-05 
  2267.392          72.502     -8.142   -126.087            6.490        16360.011      2.188      0.000      0.000    0.00279   22.44121           -1.35244       83.25992         6.027e-05 
  2268.392          72.348     -8.136   -126.030            6.457        16366.410      2.188      0.000      0.000    0.00274   22.32345           -1.37133       83.25089         6.134e-05 
  2269.392          72.193     -8.129   -125.972            6.421        16372.775      2.188      0.000      0.000    0.00267   22.19015           -1.39099       83.24194         6.281e-05 
  2270.392          72.036     -8.122   -125.915            6.382        16379.103      2.188      0.000      0.000    0.00261   22.04477           -1.41147       83.23309         6.433e-05 
  2271.392          71.878     -8.115   -125.859            6.339        16385.391      2.188      0.000      0.000    0.00255   21.88542           -1.43288       83.22433         6.590e-05 
  2272.392          71.719     -8.109   -125.802            6.291        16391.633      2.188      0.000      0.000    0.00249   21.70985           -1.45532       83.21569         6.751e-05 
  2273.392          71.559     -8.102   -125.747            6.237        16397.826      2.188      0.000      0.000    0.00243   21.51519           -1.47892       83.20718         6.917e-05 
  2274.392          71.397     -8.096   -125.691            6.177        16403.962      2.188      0.000      0.000    0.00237   21.29782           -1.50383       83.19881         7.088e-05 
  2275.392          71.235     -8.089   -125.637            6.109        16410.035      2.188      0.000      0.000    0.00231   21.05305           -1.53024       83.19063         7.264e-05 
  2276.392          71.071     -8.083   -125.583            6.031        16416.036      2.188      0.000      0.000    0.00225   20.77463           -1.55838       83.18264         7.445e-05 
  2277.392          70.907     -8.076   -125.529            5.940        16421.953      2.188      0.000      0.000    0.00220   20.45411           -1.58855       83.17492         7.630e-05 
  2278.392          70.742     -8.070   -125.477            5.833        16427.773      2.188      0.000      0.000    0.00215   20.07967           -1.62115       83.16750         7.820e-05 
  2279.392          70.577     -8.064   -125.425            5.705        16433.476      2.188      0.000      0.000    0.00209   19.63425           -1.65671       83.16050         8.015e-05 
  2280.392          70.412     -8.058   -125.375            5.548        16439.039      2.188      0.000      0.000    0.00204   19.09222           -1.69597       83.15406         8.213e-05 
  2281.392          70.249     -8.052   -125.327            5.349        16444.424      2.188      0.000      0.000    0.00199   18.41332           -1.74006       83.14840         8.414e-05 
  2282.392          70.088     -8.047   -125.280            5.088        16449.582      2.188      0.000      0.000    0.00195   17.53105           -1.79072       83.14397         8.617e-05 
