#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.TCU-internal.3831342f-7250-40c5-994b-3f3064440376_Trajectory.txt
# RunID         : PySara
# ObjectID      : 3831342f-7250-40c5-994b-3f3064440376
# ObjectName    : TCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2277.528          70.982     -8.067   -125.452            6.475        16430.523      1.905      0.000      0.000    0.00239   22.25963           -1.42525       83.15977         7.568e-05 
  2277.628          70.966     -8.066   -125.446            6.472        16431.163      1.905      0.000      0.000    0.00239   22.24721           -1.42714       83.15888         7.584e-05 
  2278.078          70.893     -8.063   -125.420            6.455        16434.039      1.905      0.000      0.000    0.00236   22.18934           -1.43577       83.15487         7.659e-05 
  2279.078          70.731     -8.056   -125.363            6.417        16440.403      1.905      0.000      0.000    0.00231   22.05545           -1.45553       83.14601         7.834e-05 
  2280.078          70.567     -8.050   -125.306            6.380        16446.729      1.905      0.000      0.000    0.00226   21.90979           -1.47612       83.13721         8.027e-05 
  2281.078          70.402     -8.043   -125.249            6.341        16453.018      1.905      0.000      0.000    0.00220   21.76216           -1.49758       83.12846         8.226e-05 
  2282.078          70.235     -8.036   -125.193            6.302        16459.269      1.905      0.000      0.000    0.00215   21.61256           -1.51991       83.11978         8.431e-05 
  2283.078          70.068     -8.029   -125.137            6.263        16465.481      1.905      0.000      0.000    0.00210   21.46098           -1.54313       83.11115         8.642e-05 
  2284.078          69.898     -8.023   -125.082            6.223        16471.654      1.905      0.000      0.000    0.00204   21.30744           -1.56727       83.10258         8.860e-05 
  2285.078          69.727     -8.016   -125.026            6.183        16477.788      1.905      0.000      0.000    0.00199   21.15193           -1.59233       83.09408         9.084e-05 
  2286.078          69.554     -8.009   -124.971            6.142        16483.882      1.905      0.000      0.000    0.00194   20.99445           -1.61834       83.08563         9.316e-05 
  2287.078          69.380     -8.003   -124.917            6.101        16489.935      1.905      0.000      0.000    0.00190   20.83498           -1.64532       83.07725         9.555e-05 
  2288.078          69.204     -7.996   -124.863            6.058        16495.947      1.905      0.000      0.000    0.00185   20.67118           -1.67329       83.06893         9.802e-05 
  2289.078          69.027     -7.990   -124.809            5.959        16501.889      1.905      0.000      0.000    0.00180   20.33864           -1.70301       83.06117         1.006e-04 
