#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.1.5 ) ----
#                                      ESA 2018
#
#                         final state of demising objects
#-------------------------------------------------------------------------------
# Filename      : demiseData.txt
# RunID         : PySara
# Content       : This file lists the demising objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1863.550         102.350    -10.162   -152.326            7.347        13468.332      0.842      0.000      0.000    0.01323   24.92807  adb3d021-599a-4dd0-bf28-2eb024bac78b  SolarP
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      0.861      0.000      0.000    0.00785   24.79057  cabd6692-2d4e-46c3-a962-8c7758ba78f6  SVM
  2194.363          80.653     -8.655   -130.703            7.050        15848.559      1.652      0.000      0.000    0.00731   24.45215  a084c8b2-97ee-470d-951a-1bebe0e2085c  RSJD
  2187.388          81.381     -8.701   -131.146            7.085        15799.448      1.200      0.000      0.000    0.01180   24.54595  ff1aaf73-80e2-4d35-8d64-7e51fe643ecf  EIU
  2164.273          83.258     -8.856   -132.688            6.893        15629.025      2.482      0.000      0.000    0.02841   23.78870  dc7dacaf-0684-4bc3-b79b-30d22b334b96  SADME
  2176.436          82.343     -8.774   -131.866            7.057        15719.863      1.070      0.000      0.000    0.01690   24.40212  1064ff79-1d6a-4300-aa63-8768f1fff65c  CCU
  2178.481          82.232     -8.760   -131.723            7.095        15735.695      1.177      0.000      0.000    0.01604   24.53818  0b78a548-49bc-4f2b-8b9f-999d24c804ae  BSP
  2172.418          82.657     -8.801   -132.133            7.043        15690.282      1.715      0.000      0.000    0.02459   24.33615  7312c8c9-199d-4646-8a04-8c0cf69512c6  EDR
  2180.456          81.914     -8.748   -131.611            7.041        15748.067      1.310      0.000      0.000    0.01644   24.36707  3d51e22b-0cbb-418c-b31d-4c8cc35d2a61  EPRM
  2159.361          83.968     -8.883   -132.966            7.095        15598.279      2.805      0.000      0.000    0.03779   24.42846  9be9abc7-df7e-49fe-9875-83ac0efa312c  BEG1
  2159.361          83.968     -8.883   -132.966            7.095        15598.279      2.805      0.000      0.000    0.03779   24.42846  744ed77b-395f-4e71-bb4d-25b2479d26c3  BEG2
  2159.361          83.968     -8.883   -132.966            7.095        15598.279      2.805      0.000      0.000    0.03779   24.42846  8a639930-64e9-49bd-bfb1-92dce15aa113  BEG3
  2159.361          83.968     -8.883   -132.966            7.095        15598.279      2.805      0.000      0.000    0.03779   24.42846  243185b5-5f9e-4ee9-937d-5570a5ce57e5  BEG4
  2176.477          82.425     -8.773   -131.852            7.101        15721.433      1.146      0.000      0.000    0.01771   24.54733  ef81eb2d-2aa0-42ee-801f-6c9d4f2836fc  T4S
  2190.381          81.046     -8.682   -130.958            7.065        15820.263      1.112      0.000      0.000    0.01040   24.48863  4cc46603-5b27-46f7-8342-2ca543cd9976  EAIM
  2192.409          80.913     -8.667   -130.820            7.081        15835.536      1.058      0.000      0.000    0.00871   24.55093  bb42edf0-7c27-4377-bfb8-3846f78f70cc  SADM1
  2184.650          81.851     -8.717   -131.299            7.166        15782.616      1.277      0.000      0.000    0.01452   24.80048  4254b2b9-f0f4-417f-bf3d-c6698423b687  SADM2
  2174.650          83.086     -8.779   -131.910            7.272        15714.960      1.288      0.000      0.000    0.01842   25.09504  7b197b99-20c6-4ffb-82a9-695090eacd9d  Battery1
  2174.650          83.086     -8.779   -131.910            7.272        15714.960      1.288      0.000      0.000    0.01842   25.09504  e3fbdc10-7494-49e4-884a-2f3ded98e300  Battery2
  2174.650          83.086     -8.779   -131.910            7.272        15714.960      1.288      0.000      0.000    0.01842   25.09504  e813dbdf-3048-4bd2-9678-4312889d58fe  Battery3
  2174.650          83.086     -8.779   -131.910            7.272        15714.960      1.288      0.000      0.000    0.01842   25.09504  47883bf6-dd97-4ab2-bcb1-a794ee346539  Battery4
  2174.650          83.086     -8.779   -131.910            7.272        15714.960      1.288      0.000      0.000    0.01842   25.09504  94bd48c4-b524-41c6-b291-026fc5402459  Battery5
  2084.650          90.146     -9.316   -137.783            7.320        15066.623      0.854      0.000      0.000    0.00811   24.98060  0ddd76e5-66e3-4ed3-89f1-f345cea9c803  IFring
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.340      0.000      0.000    0.00139   24.80139  49858cb8-d8fb-4c9b-82b6-4699f85b8dcf  PLM
  2269.337          72.242     -8.127   -125.957            6.435        16374.432      1.364      0.000      0.000    0.00457   22.24707  71468af4-a456-44d2-960c-c3b22e2dabdf  MHS-MPU
  2264.750          72.932     -8.159   -126.227            6.541        16344.518      1.639      0.000      0.000    0.00602   22.65810  3e1a3bf6-0bf1-4091-b46f-932c05131a28  ASCATEPC1
  2264.750          72.932     -8.159   -126.227            6.541        16344.518      1.639      0.000      0.000    0.00602   22.65810  51ca2e0e-86e5-454d-b0ac-78b4fce6a60f  ASCATEPC2
  2273.369          71.608     -8.100   -125.731            6.241        16399.591      1.246      0.000      0.000    0.00359   21.53785  8222289f-36de-4e97-98d5-b217f846667a  PMC1
  2273.369          71.608     -8.100   -125.731            6.241        16399.591      1.246      0.000      0.000    0.00359   21.53785  a917bf4a-b649-489d-9dc4-1adccbcbbd4e  PMC2
  2277.484          70.970     -8.069   -125.469            6.355        16428.612      1.568      0.000      0.000    0.00273   21.86698  0537ea03-4670-49e4-b264-15d92bab84c4  PDU1
  2277.484          70.970     -8.069   -125.469            6.355        16428.612      1.568      0.000      0.000    0.00273   21.86698  47d1276c-70e2-470f-92e3-ac9845e1d3a7  PDU2
  2275.397          71.281     -8.086   -125.615            6.179        16412.452      1.215      0.000      0.000    0.00297   21.30028  5cd3572a-3218-4658-8521-d9804ced1e9f  RTU
  2271.464          71.938     -8.110   -125.811            6.583        16390.710      1.515      0.000      0.000    0.00349   22.72794  d7bd5c03-f80b-461b-8af7-657d9b05204d  SARP-3
  2282.392          70.088     -8.047   -125.280            5.088        16449.582      2.188      0.000      0.000    0.00195   17.53105  636de29e-d481-433b-81dd-49c440d46a45  SAR-Rx
  2267.813          72.464     -8.142   -126.086            5.728        16360.204      1.177      0.000      0.000    0.00527   19.82034  0aa8a2c0-ec39-42e6-8da8-bc6cc699c606  ASCATRFU1
  2267.813          72.464     -8.142   -126.086            5.728        16360.204      1.177      0.000      0.000    0.00527   19.82034  47f10662-ff1d-49f1-a914-6c3ea10deb35  ASCATRFU2
  2271.446          71.936     -8.110   -125.816            6.550        16390.140      1.204      0.000      0.000    0.00381   22.61612  a53c29ba-6b71-4132-8edf-b7039bd44ad2  IASI-DPS
  2271.750          71.898     -8.107   -125.791            6.597        16392.930      1.132      0.000      0.000    0.00359   22.77361  da26e55e-0c11-45ad-8d3d-66652dd3723e  IASI-IMS
  2264.750          72.920     -8.162   -126.251            6.214        16341.834      2.657      0.000      0.000    0.00529   21.55547  689791a9-de13-4150-8f6a-c50e8cb6905a  DPU-SEM
  2275.489          71.300     -8.082   -125.578            6.464        16416.501      1.365      0.000      0.000    0.00229   22.26925  8f88f259-d6cf-4443-9cd6-698aef3f1114  PCU
  2277.528          70.982     -8.067   -125.452            6.475        16430.523      1.905      0.000      0.000    0.00240   22.27641  ec89d4c6-20df-4070-b733-9f1552d41c7e  TCU
  2279.529          70.646     -8.054   -125.341            6.393        16442.884      1.458      0.000      0.000    0.00228   21.96477  04515579-e5af-4cce-9bd7-ef29afced2c5  SSR
  2274.372          71.444     -8.094   -125.677            6.162        16405.506      1.131      0.000      0.000    0.00318   21.25900  bbc60374-ca13-4662-867d-3772cca49cf8  NIU
  2272.453          71.781     -8.103   -125.756            6.525        16396.756      1.496      0.000      0.000    0.00337   22.51703  46bd662e-534d-4e92-a802-86a723e35b28  ADCS-RPU
  2267.258          72.552     -8.142   -126.086            6.416        16360.147      2.440      0.000      0.000    0.00439   22.19352  42ac1896-26e7-4c09-a918-9352b410a3d4  ADCS-TXU
  2269.579          72.191     -8.129   -125.970            6.064        16372.987      1.195      0.000      0.000    0.00470   20.99276  87b8b918-9136-4203-8607-2a5c00b784eb  GRAS-GEU
  2263.750          73.080     -8.165   -126.284            6.597        16338.235      1.581      0.000      0.000    0.00597   22.86022  8078c3b2-2ac0-46a1-9d10-533e9ee10349  ASCATDPU1
  2263.750          73.080     -8.165   -126.284            6.597        16338.235      1.581      0.000      0.000    0.00597   22.86022  321236b2-de49-48ed-ba93-5fa72bcea46d  ASCATDPU2
