#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS-RPU-internal.4b346112-6fa3-4fb4-9c45-23962cc2bdaf_Trajectory.txt
# RunID         : PySara
# ObjectID      : 4b346112-6fa3-4fb4-9c45-23962cc2bdaf
# ObjectName    : ADCS-RPU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2600.750          67.696      9.966     97.530            6.266        18773.741      1.517      0.000      0.000    0.00200   21.26412           -1.55133       86.92148         1.225e-04 
  2600.850          67.679      9.966     97.536            6.262        18774.361      1.517      0.000      0.000    0.00200   21.25036           -1.55371       86.92265         1.228e-04 
  2601.300          67.602      9.968     97.561            6.244        18777.144      1.517      0.000      0.000    0.00198   21.18630           -1.56451       86.92786         1.240e-04 
  2602.300          67.431      9.970     97.617            6.203        18783.299      1.517      0.000      0.000    0.00193   21.03832           -1.58921       86.93941         1.268e-04 
  2603.300          67.258      9.973     97.673            6.162        18789.414      1.517      0.000      0.000    0.00189   20.87765           -1.61488       86.95089         1.299e-04 
  2604.300          67.084      9.976     97.728            6.120        18795.488      1.517      0.000      0.000    0.00184   20.71515           -1.64155       86.96230         1.331e-04 
  2605.300          66.907      9.979     97.783            6.077        18801.520      1.517      0.000      0.000    0.00180   20.55083           -1.66922       86.97364         1.364e-04 
  2606.300          66.730      9.982     97.838            6.035        18807.510      1.517      0.000      0.000    0.00175   20.38467           -1.69793       86.98492         1.398e-04 
  2607.300          66.550      9.985     97.892            5.991        18813.458      1.517      0.000      0.000    0.00171   20.21667           -1.72769       86.99612         1.433e-04 
  2608.300          66.368      9.988     97.945            5.948        18819.363      1.517      0.000      0.000    0.00167   20.04684           -1.75852       87.00725         1.470e-04 
  2609.300          66.185      9.990     97.999            5.904        18825.224      1.517      0.000      0.000    0.00163   19.87518           -1.79044       87.01830         1.507e-04 
  2610.300          65.999      9.993     98.052            5.859        18831.042      1.517      0.000      0.000    0.00159   19.70168           -1.82349       87.02928         1.546e-04 
  2611.300          65.812      9.996     98.104            5.814        18836.815      1.517      0.000      0.000    0.00155   19.52634           -1.85767       87.04019         1.585e-04 
  2612.300          65.623      9.999     98.157            5.742        18842.530      1.517      0.000      0.000    0.00151   19.27084           -1.89352       87.05118         1.627e-04 
  2613.300          65.438     10.001     98.206            5.343        18848.009      1.517      0.000      0.000    0.00147   18.04299           -1.93793       87.06404         1.668e-04 
