#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.L-SSPA1.763a5740-f52b-4032-a209-7105dc417fab_Trajectory.txt
# RunID         : PySara
# ObjectID      : 763a5740-f52b-4032-a209-7105dc417fab
# ObjectName    : L-SSPA1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      2.584      0.000      0.000    0.00796   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.075        18435.133      2.584      0.000      0.000    0.00795   24.61925           -0.93460       86.31183         4.249e-05 
  2550.750          74.661      9.787     94.476            7.069        18438.278      2.584      0.000      0.000    0.00789   24.59538           -0.93743       86.31737         4.280e-05 
  2551.750          74.546      9.791     94.540            7.054        18445.256      2.584      0.000      0.000    0.00776   24.54022           -0.94393       86.32969         4.354e-05 
  2552.750          74.429      9.795     94.603            7.038        18452.219      2.584      0.000      0.000    0.00762   24.48031           -0.95073       86.34198         4.435e-05 
  2553.750          74.312      9.799     94.667            7.023        18459.168      2.584      0.000      0.000    0.00748   24.41967           -0.95784       86.35427         4.518e-05 
  2554.750          74.194      9.803     94.730            7.008        18466.101      2.584      0.000      0.000    0.00734   24.35830           -0.96525       86.36654         4.603e-05 
  2555.750          74.076      9.807     94.793            6.992        18473.019      2.584      0.000      0.000    0.00720   24.29618           -0.97298       86.37880         4.690e-05 
  2556.750          73.957      9.811     94.855            6.976        18479.921      2.584      0.000      0.000    0.00707   24.23329           -0.98103       86.39104         4.778e-05 
  2557.750          73.837      9.815     94.918            6.960        18486.807      2.584      0.000      0.000    0.00694   24.16962           -0.98941       86.40327         4.869e-05 
  2558.750          73.716      9.819     94.980            6.943        18493.678      2.584      0.000      0.000    0.00681   24.10515           -0.99811       86.41548         4.963e-05 
  2559.750          73.595      9.822     95.043            6.926        18500.532      2.584      0.000      0.000    0.00668   24.03986           -1.00715       86.42768         5.058e-05 
  2560.750          73.473      9.826     95.105            6.909        18507.369      2.584      0.000      0.000    0.00655   23.97374           -1.01653       86.43987         5.156e-05 
  2561.750          73.350      9.830     95.167            6.892        18514.190      2.584      0.000      0.000    0.00643   23.90676           -1.02626       86.45203         5.257e-05 
  2562.750          73.226      9.834     95.229            6.875        18520.993      2.584      0.000      0.000    0.00630   23.83892           -1.03635       86.46419         5.360e-05 
  2563.750          73.101      9.838     95.291            6.857        18527.780      2.584      0.000      0.000    0.00618   23.77018           -1.04680       86.47632         5.465e-05 
  2564.750          72.975      9.841     95.352            6.839        18534.549      2.584      0.000      0.000    0.00606   23.70054           -1.05761       86.48844         5.574e-05 
  2565.750          72.849      9.845     95.414            6.821        18541.300      2.584      0.000      0.000    0.00594   23.62996           -1.06880       86.50055         5.685e-05 
  2566.750          72.721      9.849     95.475            6.802        18548.033      2.584      0.000      0.000    0.00583   23.55844           -1.08037       86.51263         5.799e-05 
  2567.750          72.592      9.853     95.536            6.784        18554.748      2.584      0.000      0.000    0.00571   23.48594           -1.09233       86.52470         5.917e-05 
  2568.647          72.476      9.856     95.591            6.766        18560.754      2.584      0.000      0.000    0.00562   23.41914           -1.10339       86.53551         6.010e-05 
  2569.544          72.358      9.859     95.645            6.749        18566.744      2.584      0.000      0.000    0.00552   23.35253           -1.11477       86.54631         6.120e-05 
  2570.544          72.227      9.863     95.706            6.730        18573.406      2.584      0.000      0.000    0.00541   23.27799           -1.12785       86.55832         6.245e-05 
  2571.544          72.094      9.866     95.766            6.710        18580.049      2.584      0.000      0.000    0.00530   23.20119           -1.14135       86.57033         6.374e-05 
  2572.544          71.959      9.870     95.827            6.689        18586.672      2.584      0.000      0.000    0.00519   23.12054           -1.15527       86.58232         6.508e-05 
  2573.544          71.824      9.873     95.887            6.666        18593.273      2.584      0.000      0.000    0.00508   23.03312           -1.16964       86.59430         6.645e-05 
  2574.544          71.687      9.877     95.947            6.641        18599.851      2.584      0.000      0.000    0.00498   22.93755           -1.18452       86.60628         6.786e-05 
  2575.544          71.549      9.881     96.006            6.613        18606.402      2.584      0.000      0.000    0.00488   22.83248           -1.19996       86.61826         6.930e-05 
  2576.544          71.410      9.884     96.066            6.582        18612.924      2.584      0.000      0.000    0.00477   22.71613           -1.21601       86.63024         7.079e-05 
  2577.544          71.270      9.887     96.125            6.547        18619.414      2.584      0.000      0.000    0.00467   22.58622           -1.23277       86.64223         7.232e-05 
  2578.544          71.129      9.891     96.184            6.507        18625.867      2.584      0.000      0.000    0.00457   22.43968           -1.25032       86.65423         7.389e-05 
  2579.544          70.986      9.894     96.242            6.460        18632.277      2.584      0.000      0.000    0.00448   22.27227           -1.26879       86.66624         7.550e-05 
  2580.544          70.842      9.898     96.300            6.406        18638.637      2.584      0.000      0.000    0.00438   22.07797           -1.28833       86.67829         7.715e-05 
  2581.544          70.698      9.901     96.357            6.342        18644.939      2.584      0.000      0.000    0.00429   21.84770           -1.30915       86.69040         7.885e-05 
  2582.544          70.553      9.904     96.414            6.262        18651.170      2.584      0.000      0.000    0.00419   21.56704           -1.33154       86.70260         8.059e-05 
  2583.544          70.407      9.907     96.470            6.159        18657.310      2.584      0.000      0.000    0.00410   21.21093           -1.35593       86.71500         8.236e-05 
  2584.544          70.262      9.910     96.525            6.018        18663.329      2.584      0.000      0.000    0.00401   20.73025           -1.38302       86.72778         8.417e-05 
  2585.544          70.118      9.913     96.578            5.802        18669.172      2.584      0.000      0.000    0.00393   20.00758           -1.41411       86.74147         8.601e-05 
  2586.544          69.978      9.916     96.628            5.381        18674.696      2.584      0.000      0.000    0.00385   18.62948           -1.45245       86.75827         8.782e-05 
  2586.744          69.953      9.917     96.637            4.612        18675.680      2.584      0.000      0.000    0.00383   16.10265           -1.45975       86.77543         8.833e-05 
