#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.MAC-Y.58c3bdfd-4512-4407-8fd3-89664a00dd56_Trajectory.txt
# RunID         : PySara
# ObjectID      : 58c3bdfd-4512-4407-8fd3-89664a00dd56
# ObjectName    : MAC-Y
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2353.100          90.144      8.697     81.622            7.337        17020.780      1.334      0.000      0.000    0.03740   26.58227           -0.44368       83.97378         3.336e-06 
  2353.200          90.139      8.698     81.628            7.337        17021.503      1.334      0.000      0.000    0.03737   26.58171           -0.44379       83.97489         3.339e-06 
  2353.650          90.113      8.701     81.658            7.336        17024.758      1.333      0.000      0.000    0.03723   26.57912           -0.44427       83.97991         3.352e-06 
  2354.650          90.056      8.708     81.723            7.335        17031.992      1.331      0.000      0.000    0.03690   26.57314           -0.44535       83.99107         3.382e-06 
  2355.650          89.999      8.714     81.789            7.334        17039.224      1.328      0.000      0.000    0.03655   26.56665           -0.44644       84.00223         3.415e-06 
  2356.650          89.942      8.721     81.854            7.333        17046.456      1.326      0.000      0.000    0.03620   26.56011           -0.44756       84.01340         3.448e-06 
  2357.650          89.885      8.728     81.919            7.332        17053.686      1.324      0.000      0.000    0.03585   26.55349           -0.44870       84.02458         3.481e-06 
  2358.650          89.827      8.735     81.985            7.331        17060.916      1.321      0.000      0.000    0.03550   26.54681           -0.44986       84.03577         3.515e-06 
  2359.650          89.769      8.742     82.050            7.330        17068.144      1.319      0.000      0.000    0.03516   26.54007           -0.45104       84.04697         3.550e-06 
  2360.650          89.712      8.748     82.115            7.329        17075.372      1.317      0.000      0.000    0.03482   26.53326           -0.45224       84.05817         3.585e-06 
  2361.650          89.654      8.755     82.181            7.328        17082.599      1.314      0.000      0.000    0.03448   26.52638           -0.45346       84.06938         3.620e-06 
  2362.650          89.596      8.762     82.246            7.327        17089.824      1.312      0.000      0.000    0.03415   26.51944           -0.45470       84.08060         3.655e-06 
  2363.650          89.537      8.769     82.311            7.326        17097.049      1.310      0.000      0.000    0.03382   26.51243           -0.45596       84.09182         3.692e-06 
