#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PCU.ec290029-8b8b-41f1-84b5-0156600c4465_Trajectory.txt
# RunID         : PySara
# ObjectID      : ec290029-8b8b-41f1-84b5-0156600c4465
# ObjectName    : PCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      1.366      0.000      0.000    0.00396   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.076        18435.133      1.366      0.000      0.000    0.00395   24.62133           -0.93460       86.31182         4.249e-05 
  2550.750          74.661      9.787     94.476            7.072        18438.279      1.366      0.000      0.000    0.00392   24.60715           -0.93744       86.31735         4.280e-05 
  2551.750          74.545      9.791     94.540            7.064        18445.264      1.366      0.000      0.000    0.00385   24.57438           -0.94385       86.32964         4.354e-05 
  2552.750          74.429      9.795     94.604            7.056        18452.241      1.366      0.000      0.000    0.00378   24.53876           -0.95043       86.34191         4.435e-05 
  2553.750          74.311      9.799     94.667            7.048        18459.211      1.366      0.000      0.000    0.00371   24.50268           -0.95717       86.35419         4.518e-05 
  2554.750          74.193      9.803     94.730            7.039        18466.172      1.366      0.000      0.000    0.00364   24.46614           -0.96408       86.36645         4.604e-05 
  2555.750          74.074      9.807     94.793            7.031        18473.124      1.366      0.000      0.000    0.00358   24.42912           -0.97116       86.37872         4.691e-05 
  2556.750          73.955      9.811     94.857            7.022        18480.069      1.366      0.000      0.000    0.00351   24.39160           -0.97841       86.39097         4.780e-05 
  2557.750          73.835      9.815     94.920            7.013        18487.005      1.366      0.000      0.000    0.00344   24.35358           -0.98584       86.40323         4.871e-05 
  2558.750          73.714      9.819     94.983            7.004        18493.932      1.366      0.000      0.000    0.00338   24.31503           -0.99345       86.41547         4.965e-05 
  2559.750          73.592      9.823     95.046            6.995        18500.850      1.366      0.000      0.000    0.00332   24.27595           -1.00124       86.42771         5.061e-05 
  2560.750          73.469      9.827     95.109            6.986        18507.759      1.366      0.000      0.000    0.00325   24.23633           -1.00922       86.43995         5.159e-05 
  2561.750          73.346      9.830     95.171            6.976        18514.659      1.366      0.000      0.000    0.00319   24.19613           -1.01738       86.45218         5.260e-05 
  2562.750          73.221      9.834     95.234            6.967        18521.550      1.366      0.000      0.000    0.00313   24.15536           -1.02575       86.46440         5.363e-05 
  2563.750          73.096      9.838     95.297            6.957        18528.431      1.366      0.000      0.000    0.00307   24.11399           -1.03430       86.47662         5.469e-05 
  2564.750          72.970      9.842     95.359            6.947        18535.303      1.366      0.000      0.000    0.00301   24.07201           -1.04306       86.48883         5.578e-05 
  2565.750          72.843      9.846     95.422            6.937        18542.165      1.366      0.000      0.000    0.00295   24.02940           -1.05203       86.50103         5.690e-05 
  2566.750          72.715      9.849     95.484            6.926        18549.016      1.366      0.000      0.000    0.00289   23.98615           -1.06120       86.51322         5.804e-05 
  2567.750          72.587      9.853     95.546            6.916        18555.858      1.366      0.000      0.000    0.00283   23.94223           -1.07059       86.52541         5.922e-05 
  2568.750          72.457      9.857     95.608            6.905        18562.689      1.366      0.000      0.000    0.00278   23.89763           -1.08019       86.53759         6.026e-05 
  2569.750          72.326      9.861     95.671            6.894        18569.510      1.366      0.000      0.000    0.00273   23.85227           -1.09002       86.54976         6.149e-05 
  2570.750          72.195      9.864     95.733            6.883        18576.320      1.366      0.000      0.000    0.00267   23.80592           -1.10007       86.56193         6.276e-05 
  2571.750          72.062      9.868     95.794            6.872        18583.119      1.366      0.000      0.000    0.00262   23.75859           -1.11035       86.57408         6.406e-05 
  2572.750          71.928      9.872     95.856            6.861        18589.907      1.366      0.000      0.000    0.00257   23.71024           -1.12086       86.58623         6.539e-05 
  2573.750          71.794      9.875     95.918            6.849        18596.684      1.366      0.000      0.000    0.00251   23.66088           -1.13162       86.59837         6.676e-05 
  2574.750          71.658      9.879     95.979            6.837        18603.450      1.366      0.000      0.000    0.00246   23.61047           -1.14262       86.61049         6.816e-05 
  2575.750          71.521      9.883     96.041            6.825        18610.203      1.366      0.000      0.000    0.00241   23.55899           -1.15386       86.62261         6.961e-05 
  2576.750          71.383      9.886     96.102            6.813        18616.945      1.366      0.000      0.000    0.00236   23.50644           -1.16536       86.63472         7.109e-05 
  2577.750          71.244      9.890     96.164            6.801        18623.675      1.366      0.000      0.000    0.00231   23.45278           -1.17712       86.64682         7.261e-05 
  2578.750          71.103      9.893     96.225            6.788        18630.392      1.366      0.000      0.000    0.00226   23.39801           -1.18915       86.65891         7.417e-05 
  2579.750          70.962      9.897     96.286            6.775        18637.097      1.366      0.000      0.000    0.00221   23.34209           -1.20144       86.67098         7.577e-05 
  2580.750          70.819      9.900     96.347            6.762        18643.789      1.366      0.000      0.000    0.00217   23.28501           -1.21402       86.68305         7.742e-05 
  2581.750          70.675      9.904     96.407            6.748        18650.468      1.366      0.000      0.000    0.00212   23.22675           -1.22687       86.69510         7.912e-05 
  2582.750          70.530      9.907     96.468            6.735        18657.133      1.366      0.000      0.000    0.00208   23.16729           -1.24001       86.70714         8.086e-05 
  2583.750          70.384      9.911     96.529            6.721        18663.786      1.366      0.000      0.000    0.00203   23.10660           -1.25344       86.71917         8.265e-05 
  2584.750          70.236      9.914     96.589            6.706        18670.424      1.366      0.000      0.000    0.00199   23.04376           -1.26718       86.73118         8.449e-05 
  2585.750          70.087      9.918     96.649            6.691        18677.047      1.366      0.000      0.000    0.00194   22.97813           -1.28123       86.74319         8.638e-05 
  2586.750          69.937      9.921     96.710            6.675        18683.656      1.366      0.000      0.000    0.00190   22.90948           -1.29561       86.75518         8.833e-05 
  2587.750          69.785      9.924     96.770            6.658        18690.248      1.366      0.000      0.000    0.00186   22.83762           -1.31035       86.76717         9.033e-05 
  2588.750          69.633      9.928     96.830            6.641        18696.824      1.366      0.000      0.000    0.00182   22.76234           -1.32545       86.77914         9.239e-05 
  2589.750          69.478      9.931     96.889            6.622        18703.381      1.366      0.000      0.000    0.00178   22.68339           -1.34095       86.79109         9.451e-05 
  2590.750          69.323      9.934     96.949            6.602        18709.920      1.366      0.000      0.000    0.00174   22.60054           -1.35687       86.80303         9.669e-05 
  2591.750          69.166      9.938     97.008            6.581        18716.439      1.366      0.000      0.000    0.00170   22.51350           -1.37323       86.81496         9.893e-05 
  2592.750          69.007      9.941     97.067            6.559        18722.936      1.366      0.000      0.000    0.00166   22.42195           -1.39005       86.82686         1.012e-04 
