#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SAR-Rx-internal.1dcdc0b7-5a99-4983-bf05-64fc5adb56cc_Trajectory.txt
# RunID         : PySara
# ObjectID      : 1dcdc0b7-5a99-4983-bf05-64fc5adb56cc
# ObjectName    : SAR-Rx-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2615.750          64.908      9.999     98.167            3.720        18843.695      2.268      0.000      0.000    0.00099   12.42371           -2.52573       87.07993         1.796e-04 
  2615.850          64.891      9.999     98.170            3.692        18844.062      2.268      0.000      0.000    0.00098   12.34109           -2.53692       87.08101         1.799e-04 
  2616.300          64.818     10.000     98.185            3.571        18845.678      2.268      0.000      0.000    0.00097   11.96941           -2.58897       87.08584         1.815e-04 
  2617.300          64.659     10.001     98.216            3.324        18849.084      2.268      0.000      0.000    0.00096   11.18535           -2.71469       87.09623         1.851e-04 
  2618.300          64.503     10.003     98.245            3.105        18852.260      2.268      0.000      0.000    0.00094   10.43510           -2.85426       87.10620         1.890e-04 
  2619.300          64.349     10.004     98.272            2.909        18855.231      2.268      0.000      0.000    0.00092    9.76548           -3.00769       87.11582         1.929e-04 
  2620.300          64.197     10.005     98.298            2.733        18858.018      2.268      0.000      0.000    0.00090    9.16448           -3.17504       87.12511         1.968e-04 
  2621.300          64.047     10.007     98.321            2.574        18860.638      2.268      0.000      0.000    0.00088    8.62229           -3.35637       87.13413         2.007e-04 
  2622.300          63.896     10.008     98.344            2.429        18863.109      2.268      0.000      0.000    0.00086    8.13087           -3.55180       87.14290         2.047e-04 
  2623.300          63.745     10.009     98.365            2.298        18865.443      2.268      0.000      0.000    0.00085    7.68354           -3.76143       87.15146         2.087e-04 
  2624.300          63.595     10.010     98.385            2.161        18867.644      2.268      0.000      0.000    0.00083    7.22475           -3.98754       87.16032         2.128e-04 
  2625.300          63.446     10.011     98.404            1.987        18869.690      2.268      0.000      0.000    0.00082    6.65938           -4.23748       87.17065         2.170e-04 
  2626.300          63.303     10.011     98.421            1.776        18871.544      2.268      0.000      0.000    0.00080    5.97218           -4.52240       87.18325         2.210e-04 
  2627.300          63.168     10.012     98.436            1.547        18873.179      2.268      0.000      0.000    0.00079    5.21752           -4.85594       87.19867         2.250e-04 
  2628.300          63.042     10.013     98.449            1.336        18874.596      2.268      0.000      0.000    0.00077    4.51583           -5.24799       87.21609         2.287e-04 
  2629.300          62.923     10.013     98.460            1.172        18875.829      2.268      0.000      0.000    0.00076    3.95569           -5.69986       87.23367         2.322e-04 
