#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATDPU1.da9d6c91-6d62-4349-a53f-1129d18d391d_Trajectory.txt
# RunID         : PySara
# ObjectID      : da9d6c91-6d62-4349-a53f-1129d18d391d
# ObjectName    : ASCATDPU1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      1.579      0.000      0.000    0.00292   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.890        19876.626      1.579      0.000      0.000    0.00292   23.93283           -1.15388       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.883        19879.690      1.579      0.000      0.000    0.00289   23.90355           -1.15844       97.30915         8.191e-05 
  2751.750          70.249      7.819     57.776            6.866        19886.488      1.579      0.000      0.000    0.00284   23.83563           -1.16883       97.31863         8.354e-05 
  2752.750          70.109      7.812     57.837            6.849        19893.270      1.579      0.000      0.000    0.00278   23.76140           -1.17957       97.32809         8.534e-05 
  2753.750          69.967      7.804     57.898            6.832        19900.035      1.579      0.000      0.000    0.00272   23.68584           -1.19067       97.33751         8.718e-05 
  2754.750          69.825      7.796     57.959            6.814        19906.783      1.579      0.000      0.000    0.00266   23.60892           -1.20213       97.34691         8.907e-05 
  2755.750          69.682      7.788     58.019            6.796        19913.513      1.579      0.000      0.000    0.00260   23.53062           -1.21397       97.35628         9.101e-05 
  2756.750          69.537      7.780     58.080            6.778        19920.226      1.579      0.000      0.000    0.00255   23.45093           -1.22618       97.36563         9.300e-05 
  2757.750          69.391      7.773     58.140            6.760        19926.920      1.579      0.000      0.000    0.00249   23.36982           -1.23877       97.37494         9.504e-05 
  2758.750          69.245      7.765     58.200            6.741        19933.597      1.579      0.000      0.000    0.00244   23.28728           -1.25177       97.38423         9.713e-05 
  2759.750          69.097      7.757     58.260            6.722        19940.255      1.579      0.000      0.000    0.00239   23.20329           -1.26516       97.39349         9.928e-05 
  2760.750          68.948      7.749     58.320            6.702        19946.893      1.579      0.000      0.000    0.00233   23.11781           -1.27896       97.40272         1.015e-04 
  2761.750          68.798      7.742     58.379            6.683        19953.513      1.579      0.000      0.000    0.00228   23.03084           -1.29319       97.41193         1.038e-04 
  2762.750          68.646      7.734     58.438            6.663        19960.113      1.579      0.000      0.000    0.00223   22.94236           -1.30784       97.42110         1.061e-04 
  2763.750          68.494      7.726     58.498            6.642        19966.693      1.579      0.000      0.000    0.00218   22.85233           -1.32293       97.43025         1.085e-04 
  2764.750          68.340      7.719     58.557            6.621        19973.254      1.579      0.000      0.000    0.00214   22.76075           -1.33846       97.43936         1.109e-04 
  2765.750          68.184      7.711     58.615            6.600        19979.793      1.579      0.000      0.000    0.00209   22.66758           -1.35445       97.44845         1.134e-04 
  2766.750          68.028      7.703     58.674            6.579        19986.312      1.579      0.000      0.000    0.00204   22.57281           -1.37090       97.45750         1.160e-04 
  2767.750          67.869      7.696     58.732            6.557        19992.809      1.579      0.000      0.000    0.00200   22.47641           -1.38782       97.46652         1.187e-04 
  2768.750          67.710      7.688     58.790            6.535        19999.285      1.579      0.000      0.000    0.00195   22.37837           -1.40523       97.47552         1.215e-04 
  2769.750          67.549      7.680     58.848            6.513        20005.738      1.579      0.000      0.000    0.00191   22.27865           -1.42314       97.48448         1.243e-04 
  2770.750          67.386      7.673     58.906            6.490        20012.170      1.579      0.000      0.000    0.00186   22.17724           -1.44154       97.49341         1.272e-04 
  2771.750          67.222      7.665     58.964            6.466        20018.579      1.579      0.000      0.000    0.00182   22.07412           -1.46046       97.50231         1.302e-04 
  2772.750          67.057      7.658     59.021            6.443        20024.964      1.579      0.000      0.000    0.00178   21.96925           -1.47991       97.51118         1.332e-04 
  2773.750          66.890      7.650     59.078            6.419        20031.327      1.579      0.000      0.000    0.00174   21.86263           -1.49989       97.52002         1.364e-04 
  2774.750          66.721      7.643     59.135            6.394        20037.665      1.579      0.000      0.000    0.00170   21.75408           -1.52043       97.52882         1.397e-04 
  2775.750          66.550      7.635     59.192            6.368        20043.979      1.579      0.000      0.000    0.00166   21.64047           -1.54153       97.53760         1.430e-04 
  2776.750          66.378      7.628     59.249            6.341        20050.266      1.579      0.000      0.000    0.00162   21.52097           -1.56325       97.54635         1.465e-04 
  2777.750          66.204      7.620     59.305            6.312        20056.525      1.579      0.000      0.000    0.00158   21.39511           -1.58563       97.55507         1.500e-04 
  2778.750          66.029      7.613     59.361            6.280        20062.754      1.579      0.000      0.000    0.00154   21.26235           -1.60871       97.56376         1.537e-04 
  2779.750          65.852      7.606     59.416            6.247        20068.951      1.579      0.000      0.000    0.00150   21.12211           -1.63255       97.57242         1.575e-04 
