#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EDR-internal.33042274-6bb2-4c16-a86e-865ac32f7092_Trajectory.txt
# RunID         : PySara
# ObjectID      : 33042274-6bb2-4c16-a86e-865ac32f7092
# ObjectName    : EDR-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2673.650          78.265      8.426     52.758            6.953        19329.325      1.674      0.000      0.000    0.00955   24.59869           -0.89293       96.51796         2.302e-05 
  2673.750          78.254      8.426     52.764            6.952        19330.012      1.674      0.000      0.000    0.00954   24.59457           -0.89380       96.51898         2.306e-05 
  2674.200          78.205      8.423     52.792            6.946        19333.101      1.674      0.000      0.000    0.00947   24.57537           -0.89775       96.52357         2.323e-05 
  2675.200          78.096      8.415     52.854            6.934        19339.956      1.674      0.000      0.000    0.00931   24.53095           -0.90670       96.53375         2.362e-05 
  2676.200          77.985      8.408     52.916            6.922        19346.800      1.674      0.000      0.000    0.00914   24.48260           -0.91589       96.54390         2.406e-05 
  2677.200          77.874      8.401     52.977            6.909        19353.631      1.674      0.000      0.000    0.00897   24.43356           -0.92534       96.55403         2.451e-05 
  2678.200          77.762      8.394     53.039            6.896        19360.449      1.674      0.000      0.000    0.00880   24.38381           -0.93505       96.56414         2.497e-05 
  2679.200          77.649      8.387     53.100            6.883        19367.255      1.674      0.000      0.000    0.00864   24.33335           -0.94502       96.57421         2.544e-05 
  2680.200          77.535      8.380     53.161            6.870        19374.048      1.674      0.000      0.000    0.00848   24.28215           -0.95526       96.58426         2.593e-05 
  2681.200          77.420      8.373     53.223            6.856        19380.828      1.674      0.000      0.000    0.00832   24.23019           -0.96577       96.59428         2.643e-05 
  2682.200          77.304      8.366     53.284            6.843        19387.595      1.674      0.000      0.000    0.00816   24.17747           -0.97655       96.60427         2.694e-05 
  2683.200          77.187      8.359     53.344            6.829        19394.348      1.674      0.000      0.000    0.00800   24.12395           -0.98762       96.61424         2.747e-05 
  2684.200          77.069      8.352     53.405            6.815        19401.088      1.674      0.000      0.000    0.00785   24.06963           -0.99897       96.62418         2.802e-05 
  2685.200          76.949      8.345     53.466            6.801        19407.814      1.674      0.000      0.000    0.00769   24.01448           -1.01062       96.63409         2.858e-05 
  2686.200          76.829      8.338     53.526            6.786        19414.525      1.674      0.000      0.000    0.00754   23.95849           -1.02256       96.64397         2.915e-05 
  2687.200          76.707      8.331     53.587            6.771        19421.223      1.674      0.000      0.000    0.00739   23.90162           -1.03480       96.65383         2.975e-05 
  2688.200          76.584      8.324     53.647            6.752        19427.903      1.674      0.000      0.000    0.00724   23.83005           -1.04737       96.66363         3.036e-05 
  2689.200          76.460      8.317     53.707            6.707        19434.552      1.674      0.000      0.000    0.00710   23.67742           -1.06047       96.67322         3.099e-05 
